Subtotal Area	JULIÁN CASTRO	MICHAEL A. ELLINGER	ELIZABETH WARREN	MARIANNE WILLIAMSON	ANDREW YANG	ROQUE "ROCKY" DE LA FUENTE III	JOHN K. DELANEY	AMY KLOBUCHAR	BERNIE SANDERS	JOE SESTAK	TOM STEYER	DEVAL PATRICK	MICHAEL BENNET	MICHAEL R. BLOOMBERG	MOSIE BOYD	CORY BOOKER	PETE BUTTIGIEG	JOSEPH R. BIDEN	TULSI GABBARD	MARK STEWART GREENSTEIN	NAKIA L. ANTHONY	DAPHNE DENISE BRADFORD	WILLIE FELIX CARTER	MICHAEL DENAME	JEFFREY H. DROBMAN	ROBERT JORDAN	HEATHER MARIE STAGG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9407 - Election Day	0	0	27	0	1	0	0	0	48	0	0	0	0	12	0	0	0	33	1	0	0	0	0	0	0	0	0	201	122	0	0	0	122	0
Precinct 9407	0	0	91	1	7	0	0	9	179	0	1	0	1	34	0	0	11	68	3	0	0	0	0	0	0	0	0	913	407	0	1	1	405	0
Precinct 9408 - Vote By Mail	0	0	51	1	3	0	1	3	158	0	1	0	0	18	0	0	13	22	2	0	0	0	0	0	0	0	0	711	274	0	0	1	273	0
Precinct 9408 - Election Day	0	0	25	1	1	0	0	0	62	0	0	0	0	5	0	1	1	19	2	0	0	0	0	0	0	0	0	152	117	0	0	0	117	0
Precinct 9408	0	0	76	2	4	0	1	3	220	0	1	0	0	23	0	1	14	41	4	0	0	0	0	0	0	0	0	863	391	0	0	1	390	0
Precinct 9409 - Vote By Mail	0	0	25	0	4	0	0	5	84	0	2	0	0	18	0	0	5	38	0	0	0	0	0	0	0	0	0	443	184	0	0	3	181	0
Precinct 9409 - Election Day	1	0	38	0	1	0	0	0	45	0	0	0	0	5	0	0	0	25	1	0	0	0	0	0	0	0	0	158	117	0	0	1	116	0
Precinct 9409	1	0	63	0	5	0	0	5	129	0	2	0	0	23	0	0	5	63	1	0	0	0	0	0	0	0	0	601	301	0	0	4	297	0
Precinct 9411 - Vote By Mail	0	0	77	0	3	0	0	6	127	0	2	0	0	24	0	1	21	48	2	0	0	0	0	0	0	0	0	816	312	0	1	0	311	0
Precinct 9411 - Election Day	0	0	25	0	2	0	1	0	64	0	0	0	0	5	0	0	0	29	0	0	0	0	0	0	0	0	0	191	126	0	0	0	126	0
Precinct 9411	0	0	102	0	5	0	1	6	191	0	2	0	0	29	0	1	21	77	2	0	0	0	0	0	0	0	0	1,007	438	0	1	0	437	0
Precinct 9412 - Vote By Mail	1	0	56	1	7	0	0	1	92	0	1	0	0	33	0	0	10	39	4	0	0	0	0	0	0	0	0	668	253	0	3	5	245	0
Precinct 9412 - Election Day	0	0	32	0	0	0	0	0	45	0	1	0	0	12	0	0	0	33	2	0	0	0	0	0	0	0	0	202	126	0	0	0	126	1
Precinct 9412	1	0	88	1	7	0	0	1	137	0	2	0	0	45	0	0	10	72	6	0	0	0	0	0	0	0	0	870	379	0	3	5	371	1
Precinct 9413 - Vote By Mail	0	0	55	0	10	0	0	8	107	0	5	0	0	38	0	0	15	50	4	0	0	0	0	0	0	0	0	757	293	0	0	1	292	0
Precinct 9413 - Election Day	0	0	19	0	4	0	0	0	50	0	0	0	0	15	0	0	0	24	0	0	0	0	0	0	0	0	0	179	112	0	0	0	112	0
Precinct 9413	0	0	74	0	14	0	0	8	157	0	5	0	0	53	0	0	15	74	4	0	0	0	0	0	0	0	0	936	405	0	0	1	404	0
Precinct 9414 - Vote By Mail	0	0	66	0	6	0	0	5	96	0	4	0	2	36	0	1	7	38	2	0	0	0	0	0	0	0	0	734	265	0	0	2	263	0
Precinct 9414 - Election Day	0	0	22	0	0	0	0	0	38	0	0	0	0	9	0	0	0	27	1	0	0	0	0	0	0	0	0	186	97	0	0	0	97	0
Precinct 9414	0	0	88	0	6	0	0	5	134	0	4	0	2	45	0	1	7	65	3	0	0	0	0	0	0	0	0	920	362	0	0	2	360	0
Precinct 9415 - Vote By Mail	0	0	57	0	6	0	0	7	70	0	1	0	0	31	0	1	14	39	1	0	0	0	0	0	0	0	0	634	230	0	0	3	227	0
Precinct 9415 - Election Day	0	0	24	0	0	0	0	1	33	0	0	0	0	11	0	0	0	22	1	0	0	0	0	0	0	0	0	154	92	0	0	0	92	0
Precinct 9415	0	0	81	0	6	0	0	8	103	0	1	0	0	42	0	1	14	61	2	0	0	0	0	0	0	0	0	788	322	0	0	3	319	0
Precinct 9416 - Vote By Mail	0	0	61	0	10	0	0	5	121	0	1	0	1	41	0	0	9	41	4	0	0	0	0	0	0	0	0	769	295	0	0	1	294	0
Precinct 9416 - Election Day	0	0	37	0	0	0	0	0	48	0	0	0	1	6	0	0	1	37	0	0	0	0	0	0	0	0	0	230	131	0	1	0	130	0
Precinct 9416	0	0	98	0	10	0	0	5	169	0	1	0	2	47	0	0	10	78	4	0	0	0	0	0	0	0	0	999	426	0	1	1	424	0
Precinct 9417 - Vote By Mail	0	0	43	0	5	0	0	2	93	0	3	0	0	23	0	0	6	45	2	1	0	0	0	0	0	0	0	629	224	0	0	1	223	0
Precinct 9417 - Election Day	0	0	28	0	0	0	0	0	38	0	0	0	0	13	0	0	0	19	1	0	0	0	0	0	0	0	0	145	99	0	0	0	99	0
Precinct 9417	0	0	71	0	5	0	0	2	131	0	3	0	0	36	0	0	6	64	3	1	0	0	0	0	0	0	0	774	323	0	0	1	322	0
Precinct 9418 - Vote By Mail	0	0	32	0	8	0	0	10	65	0	4	0	0	33	0	0	9	44	0	0	0	0	0	0	0	0	0	631	209	0	0	4	205	0
Precinct 9418 - Election Day	0	0	10	0	3	0	0	0	41	0	1	0	0	19	0	0	0	38	1	0	0	0	0	0	0	0	0	188	115	0	0	2	113	0
Precinct 9418	0	0	42	0	11	0	0	10	106	0	5	0	0	52	0	0	9	82	1	0	0	0	0	0	0	0	0	819	324	0	0	6	318	0
Precinct 9419 - Vote By Mail	0	1	49	0	5	0	0	1	75	0	5	0	0	36	0	0	13	61	2	0	0	0	0	0	0	0	0	736	254	0	0	6	248	0
Precinct 9419 - Election Day	0	0	17	0	1	0	0	1	32	0	0	0	0	16	0	0	0	23	0	0	0	0	0	0	0	0	0	173	90	0	0	0	90	0
Precinct 9419	0	1	66	0	6	0	0	2	107	0	5	0	0	52	0	0	13	84	2	0	0	0	0	0	0	0	0	909	344	0	0	6	338	0
Precinct 9421 - Vote By Mail	2	0	59	0	9	0	0	4	78	0	1	0	0	35	0	0	5	52	1	0	0	0	0	0	0	0	0	752	247	0	0	1	246	0
Precinct 9421 - Election Day	0	0	24	0	0	0	1	0	38	0	0	0	0	6	0	0	0	29	0	0	0	0	0	0	0	0	0	173	99	0	0	1	98	0
Precinct 9421	2	0	83	0	9	0	1	4	116	0	1	0	0	41	0	0	5	81	1	0	0	0	0	0	0	0	0	925	346	0	0	2	344	0
Precinct 9422 - Vote By Mail	0	0	58	0	8	0	0	5	109	0	7	0	0	30	0	0	14	49	0	0	0	0	0	0	0	0	0	831	283	0	0	3	280	0
Precinct 9422 - Election Day	1	0	34	0	0	0	0	0	40	0	0	0	0	7	0	0	1	43	2	0	0	0	0	0	0	0	0	270	128	0	0	0	128	0
Precinct 9422	1	0	92	0	8	0	0	5	149	0	7	0	0	37	0	0	15	92	2	0	0	0	0	0	0	0	0	1,101	411	0	0	3	408	0
Precinct 9423 - Vote By Mail	0	0	45	0	5	0	0	5	90	0	4	0	0	19	0	0	16	55	3	0	0	0	0	0	0	0	0	714	246	0	1	3	242	0
Precinct 9423 - Election Day	0	0	27	0	1	0	0	0	51	0	0	0	0	5	0	0	0	23	0	0	0	0	0	0	0	0	0	190	108	0	1	0	107	0
Precinct 9423	0	0	72	0	6	0	0	5	141	0	4	0	0	24	0	0	16	78	3	0	0	0	0	0	0	0	0	904	354	0	2	3	349	0
Precinct 9424 - Vote By Mail	0	0	50	0	13	0	0	7	94	0	2	0	0	40	0	1	6	53	1	1	0	0	0	0	0	0	0	799	272	0	0	4	268	0
Precinct 9424 - Election Day	0	0	26	0	1	0	0	0	40	0	0	0	0	3	0	0	0	29	0	1	0	0	0	0	0	0	0	210	100	0	0	0	100	0
Precinct 9424	0	0	76	0	14	0	0	7	134	0	2	0	0	43	0	1	6	82	1	2	0	0	0	0	0	0	0	1,009	372	0	0	4	368	0
Precinct 9425 - Vote By Mail	0	0	41	0	11	0	0	7	74	0	3	0	1	30	0	1	7	42	5	0	0	0	0	0	0	0	0	789	225	0	1	2	222	0
Precinct 9425 - Election Day	0	0	20	0	0	0	0	0	43	0	0	0	0	10	0	0	0	26	1	0	0	0	0	0	0	0	0	187	100	0	0	0	100	0
Precinct 9425	0	0	61	0	11	0	0	7	117	0	3	0	1	40	0	1	7	68	6	0	0	0	0	0	0	0	0	976	325	0	1	2	322	0
Precinct 9426 - Vote By Mail	0	0	37	0	11	0	0	3	80	0	5	0	0	19	0	0	5	44	2	1	0	0	0	0	0	0	0	697	213	0	0	6	207	0
Precinct 9426 - Election Day	0	0	14	0	0	0	0	0	30	0	0	0	0	7	0	0	0	33	0	0	0	0	0	0	0	0	0	156	85	0	0	1	84	0
Precinct 9426	0	0	51	0	11	0	0	3	110	0	5	0	0	26	0	0	5	77	2	1	0	0	0	0	0	0	0	853	298	0	0	7	291	0
Precinct 9427 - Vote By Mail	0	0	45	0	6	0	0	4	75	0	5	0	2	39	0	0	9	52	3	0	0	0	0	0	0	0	0	799	244	0	0	4	240	0
Precinct 9427 - Election Day	0	0	16	0	1	0	0	0	30	0	0	0	0	10	0	0	0	36	1	0	0	0	0	0	0	0	0	188	95	0	0	1	94	0
Precinct 9427	0	0	61	0	7	0	0	4	105	0	5	0	2	49	0	0	9	88	4	0	0	0	0	0	0	0	0	987	339	0	0	5	334	0
Precinct 9428 - Vote By Mail	0	0	43	0	13	0	0	2	85	0	2	0	0	41	0	0	10	45	2	0	0	0	0	0	0	0	0	811	247	0	0	4	243	0
Precinct 9428 - Election Day	0	0	20	0	1	0	0	2	45	0	0	0	0	8	0	0	0	26	0	0	0	0	0	0	0	0	0	179	102	0	0	0	102	0
Precinct 9428	0	0	63	0	14	0	0	4	130	0	2	0	0	49	0	0	10	71	2	0	0	0	0	0	0	0	0	990	349	0	0	4	345	0
Precinct 9429 - Vote By Mail	0	0	40	0	7	0	0	7	101	0	3	0	0	36	0	0	12	39	5	0	0	0	0	0	0	0	0	709	254	0	0	4	250	0
Precinct 9429 - Election Day	0	0	18	0	1	0	1	1	39	0	0	0	0	11	0	1	0	33	1	1	0	0	0	0	0	0	0	197	108	0	0	1	107	0
Precinct 9429	0	0	58	0	8	0	1	8	140	0	3	0	0	47	0	1	12	72	6	1	0	0	0	0	0	0	0	906	362	0	0	5	357	0
Precinct 9431 - Vote By Mail	0	0	41	0	14	0	1	9	81	0	0	0	0	44	0	1	15	72	1	0	0	0	0	0	0	0	0	832	284	0	1	4	279	0
Precinct 9431 - Election Day	0	0	23	0	0	0	0	0	38	0	1	0	0	12	0	0	0	31	1	0	0	0	0	0	0	0	0	204	106	0	0	0	106	0
Precinct 9431	0	0	64	0	14	0	1	9	119	0	1	0	0	56	0	1	15	103	2	0	0	0	0	0	0	0	0	1,036	390	0	1	4	385	0
Precinct 9432 - Vote By Mail	0	0	42	0	8	0	0	2	83	0	3	0	0	51	0	0	8	66	2	0	0	0	0	0	0	0	0	743	267	0	0	2	265	0
Precinct 9432 - Election Day	1	0	14	0	2	0	0	0	38	0	0	0	0	14	0	0	0	35	0	0	0	0	0	0	0	0	0	215	104	0	0	0	104	0
Precinct 9432	1	0	56	0	10	0	0	2	121	0	3	0	0	65	0	0	8	101	2	0	0	0	0	0	0	0	0	958	371	0	0	2	369	0
Precinct 9433 - Vote By Mail	0	0	32	1	17	0	0	6	88	0	3	0	0	28	1	0	13	62	0	0	0	0	0	0	0	0	0	794	255	0	0	4	251	0
Precinct 9433 - Election Day	0	0	15	0	1	0	0	0	25	0	0	0	0	11	0	0	0	19	1	0	0	0	0	0	0	0	0	164	74	0	0	1	73	1
Precinct 9433	0	0	47	1	18	0	0	6	113	0	3	0	0	39	1	0	13	81	1	0	0	0	0	0	0	0	0	958	329	0	0	5	324	1
Precinct 9434 - Vote By Mail	0	0	63	1	3	0	0	3	90	0	4	0	0	30	0	1	7	66	3	2	0	0	0	0	0	0	0	785	277	0	0	4	273	0
Precinct 9434 - Election Day	0	1	37	0	0	0	0	0	55	0	1	0	0	11	0	0	0	47	2	0	0	0	0	0	0	0	0	227	156	0	0	2	154	0
Precinct 9434	0	1	100	1	3	0	0	3	145	0	5	0	0	41	0	1	7	113	5	2	0	0	0	0	0	0	0	1,012	433	0	0	6	427	0
Precinct 9435 - Vote By Mail	0	0	44	0	9	0	0	5	110	0	4	0	0	31	0	0	5	44	1	0	0	0	0	0	0	0	0	779	257	0	1	3	253	0
Precinct 9435 - Election Day	0	0	31	0	0	0	0	0	47	0	1	0	0	17	0	0	0	35	0	0	0	0	0	0	0	0	0	225	132	0	0	0	132	1
Precinct 9435	0	0	75	0	9	0	0	5	157	0	5	0	0	48	0	0	5	79	1	0	0	0	0	0	0	0	0	1,004	389	0	1	3	385	1
Precinct 9436 - Vote By Mail	0	0	34	0	18	0	0	3	115	1	1	0	0	47	0	0	10	45	1	0	0	0	0	0	0	0	0	842	279	0	0	4	275	0
Precinct 9436 - Election Day	0	2	25	0	2	0	0	1	39	0	0	0	0	8	0	0	0	37	1	0	0	0	0	0	0	0	0	226	120	0	0	4	116	1
Precinct 9436	0	2	59	0	20	0	0	4	154	1	1	0	0	55	0	0	10	82	2	0	0	0	0	0	0	0	0	1,068	399	0	0	8	391	1
Precinct 9437 - Vote By Mail	0	0	52	0	4	0	0	6	104	0	7	0	0	30	0	0	17	39	1	0	0	0	0	0	0	0	0	736	264	0	0	4	260	0
Precinct 9437 - Election Day	0	0	30	0	2	0	0	0	40	0	0	0	0	8	0	0	0	32	0	0	0	0	0	0	0	0	0	191	112	0	0	0	112	0
Precinct 9437	0	0	82	0	6	0	0	6	144	0	7	0	0	38	0	0	17	71	1	0	0	0	0	0	0	0	0	927	376	0	0	4	372	0
Precinct 9438 - Vote By Mail	0	0	62	0	15	0	0	5	97	0	2	0	0	38	0	0	11	56	2	0	0	0	0	0	0	0	0	837	290	0	0	2	288	0
Precinct 9438 - Election Day	0	0	11	0	0	0	0	0	33	0	1	0	0	6	0	0	0	20	0	0	0	0	0	0	0	0	0	152	71	0	0	0	71	0
Precinct 9438	0	0	73	0	15	0	0	5	130	0	3	0	0	44	0	0	11	76	2	0	0	0	0	0	0	0	0	989	361	0	0	2	359	0
Precinct 9439 - Vote By Mail	0	0	45	0	6	0	0	5	74	0	6	0	0	31	0	0	10	48	1	0	0	0	0	0	0	0	0	718	233	0	0	7	226	0
Precinct 9439 - Election Day	0	0	14	0	1	0	0	0	34	0	0	0	0	7	0	0	0	32	0	0	0	0	0	0	0	0	0	199	88	0	0	0	88	0
Precinct 9439	0	0	59	0	7	0	0	5	108	0	6	0	0	38	0	0	10	80	1	0	0	0	0	0	0	0	0	917	321	0	0	7	314	0
Precinct 9441 - Vote By Mail	1	0	47	0	9	0	0	6	114	0	4	0	0	41	0	0	10	42	7	0	0	0	0	0	0	0	0	778	287	0	0	6	281	0
Precinct 9441 - Election Day	0	0	20	0	1	0	0	0	46	0	0	0	0	8	0	0	0	33	0	0	0	0	0	0	0	0	0	193	109	0	1	0	108	0
Precinct 9441	1	0	67	0	10	0	0	6	160	0	4	0	0	49	0	0	10	75	7	0	0	0	0	0	0	0	0	971	396	0	1	6	389	0
Precinct 9442 - Vote By Mail	1	0	51	0	10	1	0	4	113	0	2	1	1	26	0	0	8	49	0	0	0	0	0	0	0	0	0	830	271	0	0	4	267	0
Precinct 9442 - Election Day	0	0	27	0	0	0	0	0	48	0	0	0	0	12	0	0	0	49	0	0	0	0	0	0	0	0	0	210	136	0	0	0	136	0
Precinct 9442	1	0	78	0	10	1	0	4	161	0	2	1	1	38	0	0	8	98	0	0	0	0	0	0	0	0	0	1,040	407	0	0	4	403	0
Precinct 9443 - Vote By Mail	1	0	44	0	7	1	0	6	117	0	4	0	0	34	0	1	9	59	2	0	0	0	0	0	0	0	0	759	289	0	0	4	285	0
Precinct 9443 - Election Day	0	0	21	0	0	0	0	0	27	0	0	0	0	7	0	0	0	34	0	0	0	0	0	0	0	0	0	196	90	0	0	0	90	1
Precinct 9443	1	0	65	0	7	1	0	6	144	0	4	0	0	41	0	1	9	93	2	0	0	0	0	0	0	0	0	955	379	0	0	4	375	1
Precinct 9444 - Vote By Mail	0	0	37	0	9	0	0	3	67	0	3	0	0	39	0	0	11	49	0	0	0	0	0	0	0	0	0	768	223	0	1	4	218	0
Precinct 9444 - Election Day	0	0	17	0	0	0	0	0	42	0	0	0	0	8	0	0	0	10	1	0	0	0	0	0	0	0	0	197	78	0	0	0	78	0
Precinct 9444	0	0	54	0	9	0	0	3	109	0	3	0	0	47	0	0	11	59	1	0	0	0	0	0	0	0	0	965	301	0	1	4	296	0
Precinct 9445 - Vote By Mail	0	0	55	0	13	0	0	14	120	0	4	0	0	28	0	0	11	42	1	0	0	0	0	0	0	0	0	829	295	0	0	7	288	0
Precinct 9445 - Election Day	0	0	14	0	1	0	0	0	45	0	0	0	0	13	0	0	0	23	0	0	0	0	0	0	0	0	0	167	97	0	0	0	97	1
Precinct 9445	0	0	69	0	14	0	0	14	165	0	4	0	0	41	0	0	11	65	1	0	0	0	0	0	0	0	0	996	392	0	0	7	385	1
Precinct 9446 - Vote By Mail	0	0	47	2	17	0	0	11	109	0	2	1	0	53	0	0	11	73	4	0	0	0	0	0	0	0	0	900	333	0	0	3	330	0
Precinct 9446 - Election Day	0	0	26	0	1	0	0	0	53	0	0	0	0	9	0	0	1	50	0	0	0	0	0	0	0	0	0	216	140	0	0	0	140	0
Precinct 9446	0	0	73	2	18	0	0	11	162	0	2	1	0	62	0	0	12	123	4	0	0	0	0	0	0	0	0	1,116	473	0	0	3	470	0
Precinct 9447 - Vote By Mail	0	0	54	0	4	0	0	1	103	0	2	0	0	41	0	0	10	60	2	1	0	0	0	0	0	0	0	729	284	0	1	5	278	0
Precinct 9447 - Election Day	0	0	27	0	1	0	0	0	49	0	0	0	1	12	0	0	1	34	0	0	0	0	0	0	0	0	0	192	126	0	0	1	125	0
Precinct 9447	0	0	81	0	5	0	0	1	152	0	2	0	1	53	0	0	11	94	2	1	0	0	0	0	0	0	0	921	410	0	1	6	403	0
Precinct 9448 - Vote By Mail	0	0	44	0	12	0	0	4	99	0	2	0	0	26	0	0	10	48	3	0	0	0	0	0	0	0	0	742	252	0	0	4	248	0
Precinct 9448 - Election Day	0	0	20	0	0	0	0	0	52	0	0	0	0	10	0	0	0	29	1	0	0	0	0	0	0	0	0	198	113	0	0	0	113	1
Precinct 9448	0	0	64	0	12	0	0	4	151	0	2	0	0	36	0	0	10	77	4	0	0	0	0	0	0	0	0	940	365	0	0	4	361	1
Precinct 9449 - Vote By Mail	0	0	43	0	9	0	0	5	86	0	3	0	0	40	0	0	3	54	0	0	0	0	0	0	0	0	0	719	246	0	0	3	243	0
Precinct 9449 - Election Day	0	0	19	0	0	0	0	0	35	0	0	0	0	5	0	0	0	26	0	0	0	0	0	0	0	0	0	162	85	0	0	0	85	0
Precinct 9449	0	0	62	0	9	0	0	5	121	0	3	0	0	45	0	0	3	80	0	0	0	0	0	0	0	0	0	881	331	0	0	3	328	0
Precinct 9451 - Vote By Mail	0	0	16	0	1	0	0	3	33	0	0	0	0	17	0	0	13	34	4	0	0	0	0	0	0	0	0	353	123	0	0	2	121	0
Precinct 9451 - Election Day	0	0	7	0	0	0	0	0	16	0	0	0	0	4	0	0	0	20	0	0	0	0	0	0	0	0	0	88	47	0	0	0	47	0
Precinct 9451	0	0	23	0	1	0	0	3	49	0	0	0	0	21	0	0	13	54	4	0	0	0	0	0	0	0	0	441	170	0	0	2	168	0
Precinct 9452 - Vote By Mail	0	0	58	0	3	0	0	6	75	0	3	0	0	32	0	0	8	63	1	0	0	0	0	0	0	0	0	647	254	0	0	5	249	0
Precinct 9452 - Election Day	0	0	14	0	0	0	0	0	38	0	0	0	0	15	0	0	0	44	1	0	0	0	0	0	0	0	0	195	115	0	1	2	112	0
Precinct 9452	0	0	72	0	3	0	0	6	113	0	3	0	0	47	0	0	8	107	2	0	0	0	0	0	0	0	0	842	369	0	1	7	361	0
Precinct 9453 - Vote By Mail	0	0	27	0	7	0	0	2	38	0	2	0	0	39	0	0	7	27	0	0	0	0	0	0	0	0	0	409	151	0	1	1	149	0
Precinct 9453 - Election Day	0	0	9	0	1	0	0	0	14	0	1	0	0	3	0	0	0	27	0	0	0	0	0	0	0	0	0	115	56	0	0	0	56	1
Precinct 9453	0	0	36	0	8	0	0	2	52	0	3	0	0	42	0	0	7	54	0	0	0	0	0	0	0	0	0	524	207	0	1	1	205	1
Precinct 9501 MB - Vote By Mail	0	0	8	0	0	0	0	6	17	0	2	0	1	14	0	0	5	16	1	0	0	0	0	0	0	0	0	158	71	0	0	1	70	0
Precinct 9501 MB - Election Day	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-8	2	0	0	0	2	0
Precinct 9501 MB	0	0	8	0	0	0	0	6	18	0	2	0	1	14	0	0	5	17	1	0	0	0	0	0	0	0	0	150	73	0	0	1	72	0
Precinct 9502 MB - Vote By Mail	1	0	34	0	0	0	0	2	43	0	3	0	0	13	0	0	4	20	1	0	0	0	0	0	0	0	0	294	121	0	0	0	121	0
Precinct 9502 MB - Election Day	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-43	1	0	0	0	1	0
Precinct 9502 MB	1	0	34	0	0	0	0	2	44	0	3	0	0	13	0	0	4	20	1	0	0	0	0	0	0	0	0	251	122	0	0	0	122	0
Precinct 9503/9504 - Vote By Mail	0	0	59	0	1	0	0	9	70	0	1	0	0	36	0	0	18	35	0	2	0	0	0	0	0	0	0	550	232	0	0	1	231	0
Precinct 9503/9504 - Election Day	0	0	24	0	0	0	0	1	19	0	0	0	0	3	0	0	0	31	1	0	0	0	0	0	0	0	0	150	79	0	0	0	79	0
Precinct 9503/9504	0	0	83	0	1	0	0	10	89	0	1	0	0	39	0	0	18	66	1	2	0	0	0	0	0	0	0	700	311	0	0	1	310	0
Precinct 9505 - Vote By Mail	0	0	42	1	2	0	0	2	87	0	10	0	0	26	0	0	20	62	1	0	0	0	0	0	0	0	0	589	255	0	0	2	253	0
Precinct 9505 - Election Day	0	0	25	0	0	0	0	0	26	0	0	0	0	8	0	0	0	44	0	0	0	0	0	0	0	0	0	176	103	0	0	0	103	0
Precinct 9505	0	0	67	1	2	0	0	2	113	0	10	0	0	34	0	0	20	106	1	0	0	0	0	0	0	0	0	765	358	0	0	2	356	0
Precinct 9506 - Vote By Mail	0	0	67	1	1	0	1	3	54	0	4	0	0	19	0	0	5	46	0	0	0	0	0	0	0	0	0	547	203	0	0	2	201	0
Precinct 9506 - Election Day	0	1	19	0	1	0	0	0	55	0	0	0	0	9	0	0	1	43	1	0	0	0	0	0	0	0	0	207	130	0	0	0	130	0
Precinct 9506	0	1	86	1	2	0	1	3	109	0	4	0	0	28	0	0	6	89	1	0	0	0	0	0	0	0	0	754	333	0	0	2	331	0
Precinct 9507 - Vote By Mail	0	0	82	0	1	0	0	6	95	0	2	0	0	21	0	0	22	43	0	0	0	0	0	0	0	0	0	556	272	0	0	0	272	0
Precinct 9507 - Election Day	0	0	48	0	0	0	0	0	52	0	0	0	0	7	0	0	0	44	0	0	0	0	0	0	0	0	0	160	151	0	0	0	151	0
Precinct 9507	0	0	130	0	1	0	0	6	147	0	2	0	0	28	0	0	22	87	0	0	0	0	0	0	0	0	0	716	423	0	0	0	423	0
Precinct 9508 - Vote By Mail	0	0	107	0	1	0	0	1	84	0	1	0	0	15	0	0	25	54	0	0	0	0	0	0	0	0	0	632	289	0	0	1	288	0
Precinct 9508 - Election Day	0	0	38	0	0	0	0	1	61	0	0	0	0	4	0	0	0	30	2	0	0	0	0	0	0	0	0	148	137	0	0	0	137	1
Precinct 9508	0	0	145	0	1	0	0	2	145	0	1	0	0	19	0	0	25	84	2	0	0	0	0	0	0	0	0	780	426	0	0	1	425	1
Precinct 9509 - Vote By Mail	0	0	87	0	1	0	0	5	87	0	0	0	0	21	0	0	18	49	0	0	0	0	0	0	0	0	0	585	269	0	0	1	268	0
Precinct 9509 - Election Day	0	0	41	0	1	0	0	0	46	0	0	0	0	5	0	0	0	36	0	0	0	0	0	0	0	0	0	142	131	0	0	2	129	0
Precinct 9509	0	0	128	0	2	0	0	5	133	0	0	0	0	26	0	0	18	85	0	0	0	0	0	0	0	0	0	727	400	0	0	3	397	0
Precinct 9511 - Vote By Mail	0	0	78	0	0	0	0	2	71	0	0	0	0	14	0	0	9	35	0	1	0	0	0	0	0	0	0	458	212	0	0	2	210	0
Precinct 9511 - Election Day	0	0	30	0	1	0	0	0	42	0	0	0	0	7	0	0	0	34	0	0	0	0	0	0	0	0	0	176	114	0	0	0	114	0
Precinct 9511	0	0	108	0	1	0	0	2	113	0	0	0	0	21	0	0	9	69	0	1	0	0	0	0	0	0	0	634	326	0	0	2	324	0
Precinct 9512 - Vote By Mail	0	0	95	0	2	0	0	4	96	0	3	0	1	34	0	0	18	50	0	0	0	0	0	0	0	0	0	617	305	0	0	2	303	0
Precinct 9512 - Election Day	0	0	44	0	0	0	0	0	51	0	0	0	0	8	0	0	0	27	0	0	0	0	0	0	0	0	0	160	130	0	0	0	130	0
Precinct 9512	0	0	139	0	2	0	0	4	147	0	3	0	1	42	0	0	18	77	0	0	0	0	0	0	0	0	0	777	435	0	0	2	433	0
Precinct 9513 - Vote By Mail	0	0	92	0	0	0	0	5	105	0	0	0	0	27	0	0	11	54	2	0	0	0	0	0	0	0	0	686	298	0	1	1	296	0
Precinct 9513 - Election Day	0	0	41	0	0	0	0	0	49	0	1	0	0	3	0	0	0	36	1	0	0	0	0	0	0	0	0	191	131	0	0	0	131	0
Precinct 9513	0	0	133	0	0	0	0	5	154	0	1	0	0	30	0	0	11	90	3	0	0	0	0	0	0	0	0	877	429	0	1	1	427	0
Precinct 9514/9522 - Vote By Mail	0	0	112	1	2	0	0	8	117	0	0	0	0	19	0	0	9	56	1	0	0	0	0	0	0	0	0	713	326	0	1	0	325	0
Precinct 9514/9522 - Election Day	0	0	44	0	0	0	0	0	68	0	0	0	0	11	0	0	0	43	1	0	0	0	0	0	0	0	0	183	167	0	0	0	167	0
Precinct 9514/9522	0	0	156	1	2	0	0	8	185	0	0	0	0	30	0	0	9	99	2	0	0	0	0	0	0	0	0	896	493	0	1	0	492	0
Precinct 9515 - Vote By Mail	0	0	71	0	3	0	0	7	87	0	5	1	0	16	0	0	14	47	1	0	0	0	0	0	0	0	0	543	254	0	0	2	252	0
Precinct 9515 - Election Day	0	0	32	0	1	0	0	0	57	0	0	0	0	7	0	0	1	26	0	0	0	0	0	0	0	0	0	169	124	0	0	0	124	0
Precinct 9515	0	0	103	0	4	0	0	7	144	0	5	1	0	23	0	0	15	73	1	0	0	0	0	0	0	0	0	712	378	0	0	2	376	0
Precinct 9516 - Vote By Mail	0	0	70	1	5	0	0	10	114	0	2	0	0	28	0	0	21	53	1	0	0	0	0	0	0	0	0	705	307	0	0	2	305	0
Precinct 9516 - Election Day	0	0	25	0	0	0	0	0	54	0	0	0	0	10	0	0	2	42	1	0	0	0	0	0	0	0	0	184	134	0	0	0	134	0
Precinct 9516	0	0	95	1	5	0	0	10	168	0	2	0	0	38	0	0	23	95	2	0	0	0	0	0	0	0	0	889	441	0	0	2	439	0
