Subtotal Area	DEANNA LORRAINE	JOHN DENNIS	NANCY PELOSI	AGATHA BACELAR	SHAHID BUTTAR	TOM GALLAGHER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7931 - Vote By Mail	2	7	289	2	46	11	610	378	0	1	20	357	0
Precinct 7931 - Election Day	1	3	119	2	16	3	141	150	0	1	5	144	0
Precinct 7931	3	10	408	4	62	14	751	528	0	2	25	501	0
Precinct 7932 - Vote By Mail	2	16	195	10	35	4	443	277	0	0	15	262	0
Precinct 7932 - Election Day	0	2	69	0	18	7	118	96	0	0	0	96	0
Precinct 7932	2	18	264	10	53	11	561	373	0	0	15	358	0
Precinct 7933 MB - Vote By Mail	1	0	3	0	1	0	9	6	0	0	1	5	0
Precinct 7933 MB - Election Day	0	0	0	0	0	0	-1	0	0	0	0	0	0
Precinct 7933 MB	1	0	3	0	1	0	8	6	0	0	1	5	0
Precinct 7934 - Vote By Mail	1	11	289	3	84	5	702	409	0	1	15	393	0
Precinct 7934 - Election Day	2	6	94	2	45	4	182	156	0	0	3	153	0
Precinct 7934	3	17	383	5	129	9	884	565	0	1	18	546	0
Precinct 7935 - Vote By Mail	2	13	333	5	58	9	716	436	0	2	14	420	0
Precinct 7935 - Election Day	1	4	168	2	42	5	227	227	0	0	5	222	0
Precinct 7935	3	17	501	7	100	14	943	663	0	2	19	642	0
Precinct 7936 - Vote By Mail	4	8	272	3	65	5	620	370	0	0	13	357	0
Precinct 7936 - Election Day	3	8	152	1	46	6	236	221	0	0	5	216	0
Precinct 7936	7	16	424	4	111	11	856	591	0	0	18	573	0
Precinct 7937 - Vote By Mail	0	17	303	8	60	4	698	406	0	1	13	392	0
Precinct 7937 - Election Day	0	3	118	0	41	8	202	172	0	0	2	170	0
Precinct 7937	0	20	421	8	101	12	900	578	0	1	15	562	0
Precinct 7938 - Vote By Mail	7	4	195	3	72	7	536	301	0	0	13	288	0
Precinct 7938 - Election Day	4	4	83	0	21	3	215	121	0	0	6	115	0
Precinct 7938	11	8	278	3	93	10	751	422	0	0	19	403	0
Precinct 7939 - Vote By Mail	2	7	220	2	45	5	481	289	0	1	7	281	0
Precinct 7939 - Election Day	3	4	136	2	33	4	205	191	0	0	9	182	0
Precinct 7939	5	11	356	4	78	9	686	480	0	1	16	463	0
Precinct 7941 - Vote By Mail	2	8	224	7	45	4	576	304	0	1	13	290	0
Precinct 7941 - Election Day	1	1	134	0	29	5	196	173	0	0	2	171	1
Precinct 7941	3	9	358	7	74	9	772	477	0	1	15	461	1
Precinct 7942 - Vote By Mail	5	16	235	2	49	6	658	333	0	0	20	313	0
Precinct 7942 - Election Day	1	6	97	0	31	2	274	141	0	0	4	137	0
Precinct 7942	6	22	332	2	80	8	932	474	0	0	24	450	0
Precinct 7943 - Vote By Mail	14	21	263	7	35	16	687	368	0	1	11	356	0
Precinct 7943 - Election Day	1	7	117	5	21	1	213	158	0	0	6	152	0
Precinct 7943	15	28	380	12	56	17	900	526	0	1	17	508	0
Precinct 7944 - Vote By Mail	9	9	237	11	59	5	584	342	0	0	12	330	0
Precinct 7944 - Election Day	2	3	144	1	37	3	230	197	0	0	7	190	0
Precinct 7944	11	12	381	12	96	8	814	539	0	0	19	520	0
Precinct 7945 - Vote By Mail	5	16	233	4	52	4	726	338	0	0	24	314	0
Precinct 7945 - Election Day	1	3	66	1	12	0	228	85	0	0	2	83	0
Precinct 7945	6	19	299	5	64	4	954	423	0	0	26	397	0
Precinct 7946 - Vote By Mail	12	33	255	4	33	10	779	366	0	1	18	347	0
Precinct 7946 - Election Day	6	0	84	2	12	7	206	115	0	0	4	111	0
Precinct 7946	18	33	339	6	45	17	985	481	0	1	22	458	0
Precinct 7947 - Vote By Mail	17	46	189	11	40	11	792	332	0	1	17	314	0
Precinct 7947 - Election Day	2	12	68	1	9	0	194	95	0	0	3	92	0
Precinct 7947	19	58	257	12	49	11	986	427	0	1	20	406	0
Precinct 7948 - Vote By Mail	8	48	248	1	33	6	730	373	0	2	27	344	0
Precinct 7948 - Election Day	4	8	77	1	17	7	200	119	0	0	5	114	0
Precinct 7948	12	56	325	2	50	13	930	492	0	2	32	458	0
Precinct 7949 - Vote By Mail	8	33	154	0	16	4	484	233	0	3	15	215	0
Precinct 7949 - Election Day	4	6	39	0	4	1	106	57	0	0	3	54	0
Precinct 7949	12	39	193	0	20	5	590	290	0	3	18	269	0
Precinct 7951 - Vote By Mail	22	67	197	5	37	8	731	366	0	2	28	336	0
Precinct 7951 - Election Day	6	5	66	0	11	1	156	90	0	0	1	89	0
Precinct 7951	28	72	263	5	48	9	887	456	0	2	29	425	0
Precinct 7952 - Vote By Mail	13	38	167	6	45	6	730	292	0	1	16	275	0
Precinct 7952 - Election Day	4	14	47	2	11	2	182	86	0	0	6	80	0
Precinct 7952	17	52	214	8	56	8	912	378	0	1	22	355	0
Precinct 7953 - Vote By Mail	19	43	205	4	39	7	669	331	0	1	13	317	0
Precinct 7953 - Election Day	2	7	81	2	9	2	161	106	0	0	3	103	0
Precinct 7953	21	50	286	6	48	9	830	437	0	1	16	420	0
Precinct 7955 - Vote By Mail	12	36	223	8	27	18	774	350	0	2	24	324	0
Precinct 7955 - Election Day	3	12	68	0	9	6	173	101	0	0	2	99	1
Precinct 7955	15	48	291	8	36	24	947	451	0	2	26	423	1
Precinct 7956 - Vote By Mail	18	42	150	1	22	10	699	267	0	0	24	243	0
Precinct 7956 - Election Day	5	1	21	0	9	3	170	42	0	0	3	39	0
Precinct 7956	23	43	171	1	31	13	869	309	0	0	27	282	0
Precinct 7957 - Vote By Mail	9	24	163	6	39	3	538	261	0	0	17	244	0
Precinct 7957 - Election Day	1	1	69	1	6	2	135	85	0	0	5	80	0
Precinct 7957	10	25	232	7	45	5	673	346	0	0	22	324	0
Precinct 7958 MB - Vote By Mail	5	8	69	1	11	2	320	104	0	2	6	96	0
Precinct 7958 MB - Election Day	0	0	0	0	0	0	-23	0	0	0	0	0	0
Precinct 7958 MB	5	8	69	1	11	2	297	104	0	2	6	96	0
Precinct 7959 - Vote By Mail	2	8	151	7	46	6	541	230	0	0	10	220	0
Precinct 7959 - Election Day	0	1	43	0	20	1	145	68	0	1	2	65	0
Precinct 7959	2	9	194	7	66	7	686	298	0	1	12	285	0
Precinct 9101 - Vote By Mail	12	54	245	2	35	3	712	378	0	1	26	351	0
Precinct 9101 - Election Day	1	21	134	1	24	4	201	195	0	0	10	185	0
Precinct 9101	13	75	379	3	59	7	913	573	0	1	36	536	0
Precinct 9102 - Vote By Mail	10	49	263	5	39	5	788	393	0	2	20	371	0
Precinct 9102 - Election Day	5	18	123	0	19	5	204	175	0	0	5	170	0
Precinct 9102	15	67	386	5	58	10	992	568	0	2	25	541	0
Precinct 9103 - Vote By Mail	3	47	264	3	33	7	719	381	0	0	24	357	0
Precinct 9103 - Election Day	6	17	133	3	20	4	238	194	0	1	10	183	0
Precinct 9103	9	64	397	6	53	11	957	575	0	1	34	540	0
Precinct 9104 - Vote By Mail	11	50	245	4	39	6	810	382	0	2	25	355	0
Precinct 9104 - Election Day	4	18	119	1	26	4	220	181	0	0	9	172	0
Precinct 9104	15	68	364	5	65	10	1,030	563	0	2	34	527	0
Precinct 9105 - Vote By Mail	3	52	286	5	32	8	719	413	0	2	25	386	0
Precinct 9105 - Election Day	2	17	157	5	27	3	199	223	0	1	11	211	0
Precinct 9105	5	69	443	10	59	11	918	636	0	3	36	597	0
Precinct 9106 - Vote By Mail	2	44	288	5	37	3	748	397	0	0	18	379	0
Precinct 9106 - Election Day	2	22	156	3	29	4	198	225	0	0	9	216	0
Precinct 9106	4	66	444	8	66	7	946	622	0	0	27	595	0
Precinct 9107 - Vote By Mail	8	35	200	7	35	9	636	305	0	0	11	294	0
Precinct 9107 - Election Day	2	12	111	2	27	3	208	166	0	0	9	157	0
Precinct 9107	10	47	311	9	62	12	844	471	0	0	20	451	0
Precinct 9108 - Vote By Mail	2	34	226	2	56	2	610	337	0	0	15	322	0
Precinct 9108 - Election Day	4	6	101	1	23	1	200	143	0	0	7	136	0
Precinct 9108	6	40	327	3	79	3	810	480	0	0	22	458	0
Precinct 9109 - Vote By Mail	4	21	207	2	39	6	672	300	0	2	19	279	0
Precinct 9109 - Election Day	8	21	132	2	25	4	211	199	0	0	7	192	0
Precinct 9109	12	42	339	4	64	10	883	499	0	2	26	471	0
Precinct 9111 - Vote By Mail	8	37	196	10	43	6	639	317	0	0	17	300	0
Precinct 9111 - Election Day	3	10	109	1	32	3	195	170	0	0	12	158	0
Precinct 9111	11	47	305	11	75	9	834	487	0	0	29	458	0
Precinct 9112 - Vote By Mail	6	25	236	2	63	7	742	351	0	0	12	339	0
Precinct 9112 - Election Day	3	15	156	1	19	5	219	207	0	1	7	199	0
Precinct 9112	9	40	392	3	82	12	961	558	0	1	19	538	0
Precinct 9113 - Vote By Mail	5	33	269	6	39	6	796	371	0	0	13	358	0
Precinct 9113 - Election Day	3	24	174	3	28	2	208	245	0	0	10	235	1
Precinct 9113	8	57	443	9	67	8	1,004	616	0	0	23	593	1
Precinct 9114 - Vote By Mail	8	34	195	4	35	2	659	291	0	4	9	278	0
Precinct 9114 - Election Day	0	11	121	2	37	5	231	184	0	0	8	176	0
Precinct 9114	8	45	316	6	72	7	890	475	0	4	17	454	0
Precinct 9115 - Vote By Mail	4	24	213	5	54	9	699	322	0	0	13	309	0
Precinct 9115 - Election Day	3	10	111	5	45	1	182	180	0	0	5	175	0
Precinct 9115	7	34	324	10	99	10	881	502	0	0	18	484	0
Precinct 9116 - Vote By Mail	2	30	228	9	57	4	782	346	0	2	14	330	0
Precinct 9116 - Election Day	2	14	120	4	26	4	179	181	0	0	11	170	0
Precinct 9116	4	44	348	13	83	8	961	527	0	2	25	500	0
Precinct 9117 - Vote By Mail	8	36	232	4	26	3	629	328	0	0	19	309	0
Precinct 9117 - Election Day	3	21	132	4	24	3	171	195	0	0	8	187	0
Precinct 9117	11	57	364	8	50	6	800	523	0	0	27	496	0
Precinct 9118 - Vote By Mail	6	43	216	9	38	5	742	340	0	0	23	317	0
Precinct 9118 - Election Day	6	22	147	3	29	7	242	228	0	1	13	214	0
Precinct 9118	12	65	363	12	67	12	984	568	0	1	36	531	0
Precinct 9119 - Vote By Mail	7	61	229	12	50	10	703	387	0	0	18	369	0
Precinct 9119 - Election Day	4	9	113	3	24	1	197	160	0	0	6	154	0
Precinct 9119	11	70	342	15	74	11	900	547	0	0	24	523	0
Precinct 9121 - Vote By Mail	8	42	213	8	37	8	735	335	0	0	19	316	0
Precinct 9121 - Election Day	2	18	124	4	27	5	218	185	0	0	5	180	0
Precinct 9121	10	60	337	12	64	13	953	520	0	0	24	496	0
Precinct 9122 - Vote By Mail	10	61	219	8	42	8	775	364	0	1	15	348	0
Precinct 9122 - Election Day	4	9	119	2	18	3	192	161	0	1	5	155	0
Precinct 9122	14	70	338	10	60	11	967	525	0	2	20	503	0
Precinct 9123 - Vote By Mail	12	45	206	3	31	8	661	319	0	1	13	305	0
Precinct 9123 - Election Day	0	17	131	2	25	6	191	190	0	1	8	181	0
Precinct 9123	12	62	337	5	56	14	852	509	0	2	21	486	0
Precinct 9124 - Vote By Mail	6	50	221	2	43	5	736	351	0	0	24	327	0
Precinct 9124 - Election Day	3	8	106	0	33	3	167	161	0	0	8	153	0
Precinct 9124	9	58	327	2	76	8	903	512	0	0	32	480	0
Precinct 9125 - Vote By Mail	8	38	243	5	37	10	681	358	0	0	17	341	0
Precinct 9125 - Election Day	5	11	109	1	22	2	188	154	0	0	4	150	0
Precinct 9125	13	49	352	6	59	12	869	512	0	0	21	491	0
Precinct 9126 - Vote By Mail	8	49	250	3	39	10	819	385	0	0	26	359	0
Precinct 9126 - Election Day	2	21	139	5	27	1	194	200	0	0	5	195	0
Precinct 9126	10	70	389	8	66	11	1,013	585	0	0	31	554	0
Precinct 9127 - Vote By Mail	9	44	261	4	48	2	748	382	0	1	13	368	0
Precinct 9127 - Election Day	3	16	163	0	24	7	223	221	0	1	7	213	0
Precinct 9127	12	60	424	4	72	9	971	603	0	2	20	581	0
Precinct 9128 - Vote By Mail	6	51	227	2	35	2	628	333	0	0	10	323	0
Precinct 9128 - Election Day	3	13	150	3	20	3	190	196	0	0	4	192	0
Precinct 9128	9	64	377	5	55	5	818	529	0	0	14	515	0
Precinct 9129 - Vote By Mail	3	29	186	5	32	4	587	272	0	2	11	259	0
Precinct 9129 - Election Day	1	7	117	1	21	1	151	154	0	1	5	148	0
Precinct 9129	4	36	303	6	53	5	738	426	0	3	16	407	0
Precinct 9131 - Vote By Mail	10	28	185	5	41	7	596	285	0	0	9	276	0
Precinct 9131 - Election Day	4	8	109	1	20	7	138	154	0	0	5	149	0
Precinct 9131	14	36	294	6	61	14	734	439	0	0	14	425	0
Precinct 9132 - Vote By Mail	4	19	168	4	44	8	627	262	0	2	13	247	0
Precinct 9132 - Election Day	0	7	113	6	35	1	194	172	0	0	10	162	0
Precinct 9132	4	26	281	10	79	9	821	434	0	2	23	409	0
Precinct 9133 - Vote By Mail	4	36	250	5	56	11	808	382	0	0	20	362	0
Precinct 9133 - Election Day	4	12	151	4	32	6	209	214	0	0	5	209	0
Precinct 9133	8	48	401	9	88	17	1,017	596	0	0	25	571	0
Precinct 9134 - Vote By Mail	4	39	213	6	45	2	736	327	0	0	18	309	0
Precinct 9134 - Election Day	3	8	69	1	18	4	155	106	0	0	3	103	0
Precinct 9134	7	47	282	7	63	6	891	433	0	0	21	412	0
Precinct 9135 - Vote By Mail	14	49	188	6	25	8	640	305	0	3	12	290	0
Precinct 9135 - Election Day	1	20	95	3	21	7	182	159	0	2	10	147	0
Precinct 9135	15	69	283	9	46	15	822	464	0	5	22	437	0
Precinct 9136 - Vote By Mail	6	36	243	7	46	6	706	368	0	0	24	344	0
Precinct 9136 - Election Day	1	5	117	5	24	4	212	165	0	0	9	156	0
Precinct 9136	7	41	360	12	70	10	918	533	0	0	33	500	0
Precinct 9137 - Vote By Mail	6	46	261	5	45	8	806	389	0	1	17	371	0
Precinct 9137 - Election Day	0	17	101	2	40	7	209	176	0	0	9	167	0
Precinct 9137	6	63	362	7	85	15	1,015	565	0	1	26	538	0
Precinct 9138 - Vote By Mail	8	52	278	4	35	7	770	398	0	3	11	384	0
Precinct 9138 - Election Day	2	10	101	5	20	3	175	150	0	0	8	142	1
Precinct 9138	10	62	379	9	55	10	945	548	0	3	19	526	1
Precinct 9139 - Vote By Mail	7	75	262	4	47	10	828	423	0	0	18	405	0
Precinct 9139 - Election Day	3	21	114	1	28	5	190	178	0	0	6	172	0
Precinct 9139	10	96	376	5	75	15	1,018	601	0	0	24	577	0
Precinct 9141 - Vote By Mail	7	59	270	7	49	3	789	418	0	0	23	395	0
Precinct 9141 - Election Day	1	17	120	2	22	5	184	173	0	0	6	167	0
Precinct 9141	8	76	390	9	71	8	973	591	0	0	29	562	0
Precinct 9142 - Vote By Mail	1	35	248	7	54	8	747	364	0	1	10	353	0
Precinct 9142 - Election Day	0	19	146	2	30	4	239	210	0	1	8	201	0
Precinct 9142	1	54	394	9	84	12	986	574	0	2	18	554	0
Precinct 9143 - Vote By Mail	17	52	231	3	40	3	705	360	0	1	13	346	0
Precinct 9143 - Election Day	5	13	120	2	22	4	209	172	0	1	5	166	0
Precinct 9143	22	65	351	5	62	7	914	532	0	2	18	512	0
Precinct 9144 - Vote By Mail	0	43	254	5	52	6	767	376	0	1	15	360	0
Precinct 9144 - Election Day	4	14	152	1	33	7	203	215	0	0	4	211	0
Precinct 9144	4	57	406	6	85	13	970	591	0	1	19	571	0
Precinct 9145 - Vote By Mail	4	36	240	3	42	2	681	334	0	1	6	327	0
Precinct 9145 - Election Day	0	14	125	3	30	2	194	178	0	0	4	174	0
Precinct 9145	4	50	365	6	72	4	875	512	0	1	10	501	0
Precinct 9146 - Vote By Mail	6	24	245	2	57	2	725	353	0	0	17	336	0
Precinct 9146 - Election Day	1	7	135	1	32	9	160	194	0	0	9	185	0
Precinct 9146	7	31	380	3	89	11	885	547	0	0	26	521	0
Precinct 9147 - Vote By Mail	10	24	244	6	67	9	765	373	0	0	13	360	0
Precinct 9147 - Election Day	0	18	143	2	35	3	225	211	0	0	10	201	0
Precinct 9147	10	42	387	8	102	12	990	584	0	0	23	561	0
Precinct 9148 - Vote By Mail	5	25	259	16	63	6	779	397	0	0	23	374	0
Precinct 9148 - Election Day	3	13	166	2	34	2	235	230	0	0	10	220	0
Precinct 9148	8	38	425	18	97	8	1,014	627	0	0	33	594	0
Precinct 9149 - Vote By Mail	7	22	265	3	62	12	813	385	0	2	12	371	0
Precinct 9149 - Election Day	3	9	172	1	51	6	178	252	0	0	9	243	1
Precinct 9149	10	31	437	4	113	18	991	637	0	2	21	614	1
Precinct 9151 - Vote By Mail	6	24	264	8	30	7	693	351	0	0	12	339	0
Precinct 9151 - Election Day	2	8	84	3	12	3	168	116	0	0	3	113	1
Precinct 9151	8	32	348	11	42	10	861	467	0	0	15	452	1
Precinct 9152 - Vote By Mail	2	18	130	5	26	5	550	196	0	0	10	186	0
Precinct 9152 - Election Day	1	6	105	5	16	5	187	143	0	0	5	138	0
Precinct 9152	3	24	235	10	42	10	737	339	0	0	15	324	0
Precinct 9201 - Vote By Mail	3	18	245	10	54	13	785	358	0	1	14	343	0
Precinct 9201 - Election Day	4	8	157	5	33	12	186	228	0	0	9	219	0
Precinct 9201	7	26	402	15	87	25	971	586	0	1	23	562	0
Precinct 9202 - Vote By Mail	7	31	260	7	43	7	819	368	0	1	12	355	0
Precinct 9202 - Election Day	4	14	173	2	23	2	177	228	0	0	10	218	0
Precinct 9202	11	45	433	9	66	9	996	596	0	1	22	573	0
Precinct 9203 - Vote By Mail	11	81	244	1	10	5	847	373	0	0	21	352	0
Precinct 9203 - Election Day	7	31	122	5	7	3	155	191	0	0	16	175	0
Precinct 9203	18	112	366	6	17	8	1,002	564	0	0	37	527	0
Precinct 9204 - Vote By Mail	7	72	205	6	5	3	686	309	0	1	10	298	0
Precinct 9204 - Election Day	2	22	145	5	9	2	176	198	0	0	13	185	0
Precinct 9204	9	94	350	11	14	5	862	507	0	1	23	483	0
Precinct 9205 - Vote By Mail	1	37	214	7	11	2	621	288	0	1	15	272	0
Precinct 9205 - Election Day	4	21	109	1	7	2	115	154	0	0	9	145	1
Precinct 9205	5	58	323	8	18	4	736	442	0	1	24	417	1
Precinct 9206 - Vote By Mail	6	81	237	0	10	1	741	351	0	0	16	335	0
Precinct 9206 - Election Day	3	36	126	1	6	2	188	194	0	1	19	174	0
Precinct 9206	9	117	363	1	16	3	929	545	0	1	35	509	0
Precinct 9207 - Vote By Mail	5	69	253	5	11	3	824	370	0	2	22	346	0
Precinct 9207 - Election Day	4	32	138	2	5	5	165	194	0	0	8	186	0
Precinct 9207	9	101	391	7	16	8	989	564	0	2	30	532	0
Precinct 9208 - Vote By Mail	1	61	260	6	12	2	808	357	0	1	14	342	0
Precinct 9208 - Election Day	3	21	137	2	8	1	179	179	0	1	6	172	0
Precinct 9208	4	82	397	8	20	3	987	536	0	2	20	514	0
Precinct 9209 - Vote By Mail	7	49	182	2	13	2	615	276	0	0	21	255	0
Precinct 9209 - Election Day	1	20	121	3	8	6	156	172	0	0	13	159	0
Precinct 9209	8	69	303	5	21	8	771	448	0	0	34	414	0
Precinct 9211 - Vote By Mail	6	45	232	4	16	2	730	314	0	0	9	305	0
Precinct 9211 - Election Day	2	23	111	1	5	3	161	155	0	0	10	145	0
Precinct 9211	8	68	343	5	21	5	891	469	0	0	19	450	0
Precinct 9212 - Vote By Mail	4	44	196	3	22	3	671	284	0	0	12	272	0
Precinct 9212 - Election Day	6	14	119	3	12	8	137	175	0	0	13	162	0
Precinct 9212	10	58	315	6	34	11	808	459	0	0	25	434	0
Precinct 9213 - Vote By Mail	4	49	252	6	23	1	776	350	0	1	14	335	0
Precinct 9213 - Election Day	5	15	156	0	11	4	161	200	0	0	8	192	1
Precinct 9213	9	64	408	6	34	5	937	550	0	1	22	527	1
Precinct 9214 - Vote By Mail	4	51	164	2	4	2	517	236	0	0	9	227	0
Precinct 9214 - Election Day	2	23	97	4	2	0	110	136	0	0	8	128	0
Precinct 9214	6	74	261	6	6	2	627	372	0	0	17	355	0
Precinct 9215 - Vote By Mail	2	39	184	1	6	5	524	246	0	0	9	237	0
Precinct 9215 - Election Day	2	18	95	3	2	3	120	131	0	0	8	123	0
Precinct 9215	4	57	279	4	8	8	644	377	0	0	17	360	0
Precinct 9216 - Vote By Mail	2	52	183	2	7	2	669	264	0	0	16	248	0
Precinct 9216 - Election Day	1	22	132	2	3	3	155	173	0	0	10	163	0
Precinct 9216	3	74	315	4	10	5	824	437	0	0	26	411	0
Precinct 9217 - Vote By Mail	6	37	201	1	7	1	588	268	0	1	14	253	0
Precinct 9217 - Election Day	0	23	97	0	4	2	117	134	0	1	7	126	0
Precinct 9217	6	60	298	1	11	3	705	402	0	2	21	379	0
Precinct 9218 - Vote By Mail	4	44	198	5	6	5	652	278	0	0	16	262	0
Precinct 9218 - Election Day	1	19	120	1	7	3	164	160	0	0	9	151	0
Precinct 9218	5	63	318	6	13	8	816	438	0	0	25	413	0
Precinct 9219 - Vote By Mail	3	28	217	5	11	7	646	288	0	1	16	271	0
Precinct 9219 - Election Day	5	17	125	0	9	2	144	172	0	0	14	158	0
Precinct 9219	8	45	342	5	20	9	790	460	0	1	30	429	0
Precinct 9221 - Vote By Mail	6	69	217	0	9	1	562	322	0	1	19	302	0
Precinct 9221 - Election Day	1	15	113	2	1	0	89	140	0	0	8	132	0
Precinct 9221	7	84	330	2	10	1	651	462	0	1	27	434	0
Precinct 9222 - Vote By Mail	11	58	273	3	6	2	773	373	0	0	20	353	0
Precinct 9222 - Election Day	3	20	129	2	8	4	137	176	0	0	10	166	0
Precinct 9222	14	78	402	5	14	6	910	549	0	0	30	519	0
Precinct 9223 - Vote By Mail	7	42	195	2	11	2	558	266	0	1	6	259	0
Precinct 9223 - Election Day	1	11	92	2	3	0	109	115	0	2	4	109	0
Precinct 9223	8	53	287	4	14	2	667	381	0	3	10	368	0
Precinct 9224 - Vote By Mail	4	60	286	4	14	2	768	380	0	0	10	370	0
Precinct 9224 - Election Day	4	27	122	0	5	4	181	168	0	0	6	162	0
Precinct 9224	8	87	408	4	19	6	949	548	0	0	16	532	0
Precinct 9225 - Vote By Mail	6	41	210	9	22	4	757	303	0	0	11	292	0
Precinct 9225 - Election Day	4	22	157	2	16	4	169	219	0	0	14	205	0
Precinct 9225	10	63	367	11	38	8	926	522	0	0	25	497	0
Precinct 9226 - Vote By Mail	2	58	259	2	12	2	741	355	0	2	18	335	0
Precinct 9226 - Election Day	5	23	131	1	7	3	155	179	0	0	9	170	0
Precinct 9226	7	81	390	3	19	5	896	534	0	2	27	505	0
Precinct 9227 - Vote By Mail	7	54	271	6	18	4	605	372	0	0	12	360	0
Precinct 9227 - Election Day	2	18	107	2	14	3	124	149	0	0	3	146	0
Precinct 9227	9	72	378	8	32	7	729	521	0	0	15	506	0
Precinct 9228 - Vote By Mail	3	55	229	0	14	4	578	314	0	0	9	305	0
Precinct 9228 - Election Day	2	17	143	2	10	1	160	180	0	0	5	175	0
Precinct 9228	5	72	372	2	24	5	738	494	0	0	14	480	0
Precinct 9229 - Vote By Mail	4	38	190	4	12	3	460	257	0	0	6	251	0
Precinct 9229 - Election Day	2	12	101	0	2	1	119	122	0	1	3	118	0
Precinct 9229	6	50	291	4	14	4	579	379	0	1	9	369	0
Precinct 9231 - Vote By Mail	7	23	279	4	18	5	726	352	0	1	15	336	0
Precinct 9231 - Election Day	0	20	211	1	17	7	236	264	0	0	8	256	0
Precinct 9231	7	43	490	5	35	12	962	616	0	1	23	592	0
Precinct 9232 - Vote By Mail	4	30	225	1	19	3	608	293	0	0	11	282	0
Precinct 9232 - Election Day	3	17	119	1	12	2	126	157	0	0	3	154	0
Precinct 9232	7	47	344	2	31	5	734	450	0	0	14	436	0
Precinct 9233 - Vote By Mail	6	51	240	2	15	1	668	332	0	0	17	315	0
Precinct 9233 - Election Day	3	22	144	4	9	1	150	188	0	0	5	183	0
Precinct 9233	9	73	384	6	24	2	818	520	0	0	22	498	0
Precinct 9234 - Vote By Mail	5	42	226	3	19	2	643	319	0	0	22	297	0
Precinct 9234 - Election Day	1	13	106	3	8	4	91	145	0	0	10	135	0
Precinct 9234	6	55	332	6	27	6	734	464	0	0	32	432	0
Precinct 9235 - Vote By Mail	5	60	259	7	11	0	703	365	0	1	22	342	0
Precinct 9235 - Election Day	1	23	153	0	11	1	160	195	0	0	6	189	0
Precinct 9235	6	83	412	7	22	1	863	560	0	1	28	531	0
Precinct 9236 - Vote By Mail	2	29	232	1	10	2	537	283	0	0	7	276	0
Precinct 9236 - Election Day	1	8	114	1	6	2	136	137	0	0	5	132	0
Precinct 9236	3	37	346	2	16	4	673	420	0	0	12	408	0
Precinct 9237 - Vote By Mail	4	51	304	4	11	2	779	395	0	1	18	376	0
Precinct 9237 - Election Day	3	19	145	1	7	2	118	183	0	0	6	177	0
Precinct 9237	7	70	449	5	18	4	897	578	0	1	24	553	0
Precinct 9238 - Vote By Mail	5	55	245	1	9	2	687	330	0	1	12	317	0
Precinct 9238 - Election Day	4	12	130	2	8	3	118	174	0	1	14	159	0
Precinct 9238	9	67	375	3	17	5	805	504	0	2	26	476	0
Precinct 9239 - Vote By Mail	4	66	280	5	13	1	740	391	0	1	21	369	0
Precinct 9239 - Election Day	1	18	122	0	5	0	124	161	0	0	15	146	0
Precinct 9239	5	84	402	5	18	1	864	552	0	1	36	515	0
Precinct 9241 - Vote By Mail	5	51	285	7	23	4	819	403	0	0	28	375	0
Precinct 9241 - Election Day	4	21	144	0	10	4	141	196	0	0	13	183	0
Precinct 9241	9	72	429	7	33	8	960	599	0	0	41	558	0
Precinct 9242 - Vote By Mail	5	39	269	2	16	4	771	349	0	1	13	335	0
Precinct 9242 - Election Day	4	21	154	5	16	1	172	215	0	0	14	201	0
Precinct 9242	9	60	423	7	32	5	943	564	0	1	27	536	0
Precinct 9243 - Vote By Mail	0	20	195	3	18	3	480	242	0	0	3	239	0
Precinct 9243 - Election Day	3	12	109	1	9	1	123	141	0	0	6	135	0
Precinct 9243	3	32	304	4	27	4	603	383	0	0	9	374	0
Precinct 9244 - Vote By Mail	0	28	318	6	22	3	756	396	0	1	18	377	0
Precinct 9244 - Election Day	0	7	147	3	15	7	154	186	0	0	7	179	0
Precinct 9244	0	35	465	9	37	10	910	582	0	1	25	556	0
Precinct 9245 - Vote By Mail	0	33	232	2	18	1	616	300	0	0	14	286	0
Precinct 9245 - Election Day	2	9	103	1	7	1	98	129	0	1	5	123	0
Precinct 9245	2	42	335	3	25	2	714	429	0	1	19	409	0
Precinct 9246 - Vote By Mail	6	55	317	4	22	7	815	430	0	0	19	411	0
Precinct 9246 - Election Day	3	12	156	4	10	3	155	196	0	0	8	188	0
Precinct 9246	9	67	473	8	32	10	970	626	0	0	27	599	0
Precinct 9247 - Vote By Mail	8	39	290	4	22	4	764	381	0	0	14	367	0
Precinct 9247 - Election Day	0	19	154	5	14	1	148	205	0	0	12	193	0
Precinct 9247	8	58	444	9	36	5	912	586	0	0	26	560	0
Precinct 9248 - Vote By Mail	4	36	269	5	26	2	757	358	0	0	16	342	0
Precinct 9248 - Election Day	1	5	152	4	16	5	150	192	0	0	9	183	0
Precinct 9248	5	41	421	9	42	7	907	550	0	0	25	525	0
Precinct 9249 - Vote By Mail	5	47	262	7	34	2	724	379	0	0	22	357	0
Precinct 9249 - Election Day	2	19	160	2	19	2	191	214	0	0	10	204	0
Precinct 9249	7	66	422	9	53	4	915	593	0	0	32	561	0
