Subtotal Area	KEN ARMSTRONG	MAX ABRAMSON	SAM ROBB	KIM RUFF	STEVEN A RICHEY	JACOB HORNBERGER	SOURAYA FAAS	KEENAN WALLACE DUNHAM	ADAM KOKESH	VERMIN SUPREME	JO JORGENSEN	DAN BEHRMAN	ERIK CHASE GERHARDT	NICHOLAS D'ARTAGNAN DUMAS	GEBY EVA ESPINOSA	JAMES ORLANDO OGLE	SORINNE ARDELEANU	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Writein Votes
Precinct 7344 - Vote By Mail	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1,064	4	0	0	1	3	0
Precinct 7344 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,064	0	0	0	0	0	0
Precinct 7344	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1,064	4	0	0	1	3	0
Precinct 7345 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,114	0	0	0	0	0	0
Precinct 7345 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,114	1	0	0	0	1	1
Precinct 7345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,114	1	0	0	0	1	1
Precinct 7346 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889	0	0	0	0	0	0
Precinct 7346 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889	0	0	0	0	0	0
Precinct 7346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889	0	0	0	0	0	0
Precinct 7347 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,003	1	0	0	1	0	0
Precinct 7347 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,003	0	0	0	0	0	0
Precinct 7347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,003	1	0	0	1	0	0
Precinct 7348 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	843	0	0	0	0	0	0
Precinct 7348 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	843	0	0	0	0	0	0
Precinct 7348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	843	0	0	0	0	0	0
Precinct 7349 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	912	1	0	0	1	0	0
Precinct 7349 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	912	0	0	0	0	0	0
Precinct 7349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	912	1	0	0	1	0	0
Precinct 7501 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	0
Precinct 7501 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	0
Precinct 7501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	0
Precinct 7502 - Vote By Mail	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	789	1	0	0	0	1	0
Precinct 7502 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	789	0	0	0	0	0	0
Precinct 7502	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	789	1	0	0	0	1	0
Precinct 7503 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762	0	0	0	0	0	0
Precinct 7503 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762	0	0	0	0	0	0
Precinct 7503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762	0	0	0	0	0	0
Precinct 7504 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	0
Precinct 7504 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	0
Precinct 7504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	0
Precinct 7505 - Vote By Mail	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862	2	0	0	1	1	0
Precinct 7505 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862	0	0	0	0	0	0
Precinct 7505	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862	2	0	0	1	1	0
Precinct 7506 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,000	0	0	0	0	0	0
Precinct 7506 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,000	0	0	0	0	0	0
Precinct 7506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,000	0	0	0	0	0	0
Precinct 7507 - Vote By Mail	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	956	1	0	0	0	1	0
Precinct 7507 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	0	0	0	0	0	0
Precinct 7507	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	956	1	0	0	0	1	0
Precinct 7508 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744	0	0	0	0	0	0
Precinct 7508 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	744	1	0	0	0	1	0
Precinct 7508	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	744	1	0	0	0	1	0
Precinct 7509/7511 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	929	1	0	0	0	1	0
Precinct 7509/7511 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	0	0	0	0	0	0
Precinct 7509/7511	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	929	1	0	0	0	1	0
Precinct 7512 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0
Precinct 7512 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0
Precinct 7512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0
Precinct 7513 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806	0	0	0	0	0	0
Precinct 7513 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806	0	0	0	0	0	0
Precinct 7513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806	0	0	0	0	0	0
Precinct 7514 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	916	1	0	0	1	0	0
Precinct 7514 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	916	0	0	0	0	0	0
Precinct 7514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	916	1	0	0	1	0	0
Precinct 7515 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864	0	0	0	0	0	0
Precinct 7515 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864	0	0	0	0	0	0
Precinct 7515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864	0	0	0	0	0	0
Precinct 7516 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	920	0	0	0	0	0	0
Precinct 7516 - Election Day	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	920	1	0	0	0	1	0
Precinct 7516	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	920	1	0	0	0	1	0
Precinct 7517 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	868	0	0	0	0	0	0
Precinct 7517 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	868	0	0	0	0	0	0
Precinct 7517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	868	0	0	0	0	0	0
Precinct 7518 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926	0	0	0	0	0	0
Precinct 7518 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926	0	0	0	0	0	0
Precinct 7518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926	0	0	0	0	0	0
Precinct 7519 - Vote By Mail	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	715	2	0	0	0	2	0
Precinct 7519 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715	0	0	0	0	0	0
Precinct 7519	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	715	2	0	0	0	2	0
Precinct 7521 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	779	0	0	0	0	0	0
Precinct 7521 - Election Day	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	779	2	0	0	0	2	1
Precinct 7521	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	779	2	0	0	0	2	1
Precinct 7522 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	759	0	0	0	0	0	0
Precinct 7522 - Election Day	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	759	1	0	0	0	1	0
Precinct 7522	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	759	1	0	0	0	1	0
Precinct 7523 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744	0	0	0	0	0	0
Precinct 7523 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744	1	0	0	1	0	0
Precinct 7523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744	1	0	0	1	0	0
Precinct 7524 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	624	0	0	0	0	0	0
Precinct 7524 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	624	0	0	0	0	0	0
Precinct 7524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	624	0	0	0	0	0	0
Precinct 7525 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764	0	0	0	0	0	0
Precinct 7525 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764	0	0	0	0	0	0
Precinct 7525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764	0	0	0	0	0	0
Precinct 7526 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988	0	0	0	0	0	0
Precinct 7526 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988	0	0	0	0	0	0
Precinct 7526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988	0	0	0	0	0	0
Precinct 7527/7528 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710	0	0	0	0	0	0
Precinct 7527/7528 - Election Day	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710	1	0	0	0	1	0
Precinct 7527/7528	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710	1	0	0	0	1	0
Precinct 7529 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	903	0	0	0	0	0	0
Precinct 7529 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	903	1	0	0	0	1	1
Precinct 7529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	903	1	0	0	0	1	1
Precinct 7531 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	0	0	0	0	0	0
Precinct 7531 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	0	0	0	0	0	0
Precinct 7531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	0	0	0	0	0	0
Precinct 7532 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	835	1	0	0	1	0	0
Precinct 7532 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	835	0	0	0	0	0	0
Precinct 7532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	835	1	0	0	1	0	0
Precinct 7533 - Vote By Mail	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	970	1	0	0	0	1	0
Precinct 7533 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	0	0	0	0	0	0
Precinct 7533	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	970	1	0	0	0	1	0
Precinct 7534 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	903	0	0	0	0	0	0
Precinct 7534 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	903	0	0	0	0	0	0
Precinct 7534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	903	0	0	0	0	0	0
Precinct 7535 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	1	0	0	1	0	0
Precinct 7535 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	0	0	0	0	0	0
Precinct 7535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	1	0	0	1	0	0
Precinct 7536 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833	0	0	0	0	0	0
Precinct 7536 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833	0	0	0	0	0	0
Precinct 7536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833	0	0	0	0	0	0
Precinct 7537 - Vote By Mail	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	745	1	0	0	0	1	0
Precinct 7537 - Election Day	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	745	1	0	0	0	1	0
Precinct 7537	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	745	2	0	0	0	2	0
Precinct 7538 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	0	0	0	0	0	0
Precinct 7538 - Election Day	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	751	3	0	0	1	2	1
Precinct 7538	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	751	3	0	0	1	2	1
Precinct 7539 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921	0	0	0	0	0	0
Precinct 7539 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921	0	0	0	0	0	0
Precinct 7539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921	0	0	0	0	0	0
Precinct 7541 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	0	0	0	0	0	0
Precinct 7541 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	0	0	0	0	0	0
Precinct 7541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	0	0	0	0	0	0
Precinct 7542 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	0	0	0	0
Precinct 7542 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	0	0	0	0
Precinct 7542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	0	0	0	0
Precinct 7543 - Vote By Mail	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	924	1	0	0	0	1	0
Precinct 7543 - Election Day	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	924	1	0	0	0	1	0
Precinct 7543	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	924	2	0	0	0	2	0
Precinct 7544 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	899	0	0	0	0	0	0
Precinct 7544 - Election Day	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	899	2	0	0	1	1	0
Precinct 7544	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	899	2	0	0	1	1	0
Precinct 7545 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	0	0	0	0	0	0
Precinct 7545 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	1	0	0	0	1	1
Precinct 7545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	1	0	0	0	1	1
Precinct 7546 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953	0	0	0	0	0	0
Precinct 7546 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953	0	0	0	0	0	0
Precinct 7546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953	0	0	0	0	0	0
Precinct 7547 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	1	0	0	1	0	0
Precinct 7547 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	0	0	0	0	0	0
Precinct 7547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	1	0	0	1	0	0
Precinct 7548 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,051	0	0	0	0	0	0
Precinct 7548 - Election Day	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1,051	1	0	0	0	1	0
Precinct 7548	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1,051	1	0	0	0	1	0
Precinct 7549 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	806	1	0	0	0	1	0
Precinct 7549 - Election Day	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806	1	0	0	0	1	0
Precinct 7549	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	806	2	0	0	0	2	0
Precinct 7551 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0
Precinct 7551 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0
Precinct 7551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0
Precinct 7552 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685	0	0	0	0	0	0
Precinct 7552 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685	0	0	0	0	0	0
Precinct 7552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685	0	0	0	0	0	0
Precinct 7553 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0
Precinct 7553 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0
Precinct 7553 MB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0
Precinct 7554 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	821	0	0	0	0	0	0
Precinct 7554 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	821	0	0	0	0	0	0
Precinct 7554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	821	0	0	0	0	0	0
Precinct 7555 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	872	0	0	0	0	0	0
Precinct 7555 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	872	0	0	0	0	0	0
Precinct 7555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	872	0	0	0	0	0	0
Precinct 7556/7557 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	966	0	0	0	0	0	0
Precinct 7556/7557 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	966	1	0	0	0	1	1
Precinct 7556/7557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	966	1	0	0	0	1	1
Precinct 7601 - Vote By Mail	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	677	1	0	0	0	1	0
Precinct 7601 - Election Day	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677	2	0	0	0	2	1
Precinct 7601	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	677	3	0	0	0	3	1
Precinct 7602 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	0	0	0	0	0	0
Precinct 7602 - Election Day	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	886	1	0	0	0	1	0
Precinct 7602	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	886	1	0	0	0	1	0
Precinct 7603 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815	0	0	0	0	0	0
Precinct 7603 - Election Day	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	815	3	0	0	1	2	1
Precinct 7603	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	815	3	0	0	1	2	1
Precinct 7604 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	0	0	0	0	0	0
Precinct 7604 - Election Day	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	944	2	0	0	0	2	0
Precinct 7604	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	944	2	0	0	0	2	0
Precinct 7605 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0
Precinct 7605 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0
Precinct 7605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0
Precinct 7606 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	0	0	0	0	0	0
Precinct 7606 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	0	0	0	0	0	0
Precinct 7606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	0	0	0	0	0	0
Precinct 7607 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	919	0	0	0	0	0	0
Precinct 7607 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	919	0	0	0	0	0	0
Precinct 7607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	919	0	0	0	0	0	0
Precinct 7608 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0
Precinct 7608 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0
Precinct 7608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0
Precinct 7609 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	884	3	0	0	3	0	0
Precinct 7609 - Election Day	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	884	1	0	0	0	1	0
Precinct 7609	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	884	4	0	0	3	1	0
Precinct 7611 - Vote By Mail	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	788	2	0	0	0	2	0
Precinct 7611 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	0	0	0	0	0	0
Precinct 7611	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	788	2	0	0	0	2	0
Precinct 7612 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0	0	0	0	0	0
Precinct 7612 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0	0	0	0	0	0
Precinct 7612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0	0	0	0	0	0
Precinct 7613 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	883	1	0	0	0	1	0
Precinct 7613 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	0	0	0	0	0	0
Precinct 7613	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	883	1	0	0	0	1	0
Precinct 7614 - Vote By Mail	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	916	2	0	0	1	1	0
Precinct 7614 - Election Day	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	916	1	0	0	0	1	0
Precinct 7614	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	916	3	0	0	1	2	0
Precinct 7615 - Vote By Mail	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	750	2	0	1	0	1	0
Precinct 7615 - Election Day	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	750	2	0	0	0	2	0
Precinct 7615	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	750	4	0	1	0	3	0
Precinct 7616 - Vote By Mail	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	836	1	0	0	0	1	0
Precinct 7616 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	836	1	0	0	0	1	0
Precinct 7616	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	836	2	0	0	0	2	0
Precinct 7617 - Vote By Mail	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	752	2	0	0	0	2	0
Precinct 7617 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	752	0	0	0	0	0	0
Precinct 7617	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	752	2	0	0	0	2	0
Precinct 7618 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	0	0	0	0	0	0
Precinct 7618 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	0	0	0	0	0	0
Precinct 7618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	0	0	0	0	0	0
Precinct 7619 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,107	0	0	0	0	0	0
Precinct 7619 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,107	0	0	0	0	0	0
Precinct 7619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,107	0	0	0	0	0	0
Precinct 7621 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,155	0	0	0	0	0	0
Precinct 7621 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,155	0	0	0	0	0	0
Precinct 7621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,155	0	0	0	0	0	0
Precinct 7622 - Vote By Mail	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	960	1	0	0	0	1	0
