Subtotal Area	SCOTT WIENER	ERIN SMITH	JACKIE FIELDER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9133 - Vote By Mail	206	34	112	808	381	0	0	29	352	0
Precinct 9133 - Election Day	92	16	85	209	211	0	0	18	193	0
Precinct 9133	298	50	197	1,017	592	0	0	47	545	0
Precinct 9134 - Vote By Mail	158	39	96	736	327	0	0	34	293	0
Precinct 9134 - Election Day	38	10	39	155	103	0	1	15	87	0
Precinct 9134	196	49	135	891	430	0	1	49	380	0
Precinct 9135 - Vote By Mail	146	63	72	640	304	0	0	23	281	0
Precinct 9135 - Election Day	64	20	55	182	154	0	0	15	139	0
Precinct 9135	210	83	127	822	458	0	0	38	420	0
Precinct 9136 - Vote By Mail	180	37	111	706	368	0	0	40	328	0
Precinct 9136 - Election Day	65	10	70	212	162	0	0	17	145	0
Precinct 9136	245	47	181	918	530	0	0	57	473	0
Precinct 9137 - Vote By Mail	162	60	128	806	387	0	1	36	350	0
Precinct 9137 - Election Day	58	17	79	209	175	0	0	19	156	2
Precinct 9137	220	77	207	1,015	562	0	1	55	506	2
Precinct 9138 - Vote By Mail	198	57	118	770	398	0	0	25	373	0
Precinct 9138 - Election Day	63	12	56	175	149	0	0	17	132	1
Precinct 9138	261	69	174	945	547	0	0	42	505	1
Precinct 9139 - Vote By Mail	200	80	106	828	422	0	0	36	386	0
Precinct 9139 - Election Day	79	22	60	190	174	0	0	13	161	0
Precinct 9139	279	102	166	1,018	596	0	0	49	547	0
Precinct 9141 - Vote By Mail	202	57	110	789	418	0	0	49	369	0
Precinct 9141 - Election Day	64	19	71	184	172	0	0	17	155	1
Precinct 9141	266	76	181	973	590	0	0	66	524	1
Precinct 9142 - Vote By Mail	177	32	127	747	364	0	0	28	336	0
Precinct 9142 - Election Day	92	18	74	239	204	0	0	20	184	0
Precinct 9142	269	50	201	986	568	0	0	48	520	0
Precinct 9143 - Vote By Mail	176	62	90	705	359	0	0	31	328	0
Precinct 9143 - Election Day	88	18	52	209	170	0	0	11	159	1
Precinct 9143	264	80	142	914	529	0	0	42	487	1
Precinct 9144 - Vote By Mail	193	48	105	767	376	0	0	30	346	0
Precinct 9144 - Election Day	103	14	83	203	213	0	1	12	200	0
Precinct 9144	296	62	188	970	589	0	1	42	546	0
Precinct 9145 - Vote By Mail	176	43	91	681	334	0	0	24	310	0
Precinct 9145 - Election Day	81	22	61	194	176	0	0	11	165	1
Precinct 9145	257	65	152	875	510	0	0	35	475	1
Precinct 9146 - Vote By Mail	189	31	115	725	353	0	0	18	335	0
Precinct 9146 - Election Day	81	13	82	160	189	0	0	13	176	0
Precinct 9146	270	44	197	885	542	0	0	31	511	0
Precinct 9147 - Vote By Mail	177	37	136	765	373	0	0	23	350	0
Precinct 9147 - Election Day	78	16	89	225	208	0	0	24	184	1
Precinct 9147	255	53	225	990	581	0	0	47	534	1
Precinct 9148 - Vote By Mail	183	39	142	779	397	0	1	32	364	0
Precinct 9148 - Election Day	108	11	85	235	226	0	0	22	204	0
Precinct 9148	291	50	227	1,014	623	0	1	54	568	0
Precinct 9149 - Vote By Mail	201	26	128	813	384	0	0	29	355	0
Precinct 9149 - Election Day	102	10	109	178	248	0	0	25	223	2
Precinct 9149	303	36	237	991	632	0	0	54	578	2
Precinct 9151 - Vote By Mail	192	29	92	693	351	0	0	38	313	0
Precinct 9151 - Election Day	61	12	33	168	114	0	0	8	106	0
Precinct 9151	253	41	125	861	465	0	0	46	419	0
Precinct 9152 - Vote By Mail	88	12	71	550	196	0	0	25	171	0
Precinct 9152 - Election Day	46	7	73	187	142	0	1	15	126	0
Precinct 9152	134	19	144	737	338	0	1	40	297	0
Precinct 9201 - Vote By Mail	193	16	127	785	357	0	0	21	336	0
Precinct 9201 - Election Day	116	10	85	186	226	0	0	15	211	0
Precinct 9201	309	26	212	971	583	0	0	36	547	0
Precinct 9202 - Vote By Mail	200	37	101	819	368	0	0	30	338	0
Precinct 9202 - Election Day	111	22	64	177	223	0	1	24	198	1
Precinct 9202	311	59	165	996	591	0	1	54	536	1
Precinct 9203 - Vote By Mail	183	97	45	847	373	0	1	47	325	0
Precinct 9203 - Election Day	93	35	29	155	188	0	0	31	157	0
Precinct 9203	276	132	74	1,002	561	0	1	78	482	0
Precinct 9204 - Vote By Mail	159	77	41	686	309	0	0	32	277	0
Precinct 9204 - Election Day	117	29	29	176	195	0	0	19	176	1
Precinct 9204	276	106	70	862	504	0	0	51	453	1
Precinct 9205 - Vote By Mail	172	35	52	621	288	0	0	29	259	0
Precinct 9205 - Election Day	79	24	29	115	150	0	0	17	133	1
Precinct 9205	251	59	81	736	438	0	0	46	392	1
Precinct 9206 - Vote By Mail	177	89	50	741	350	0	0	34	316	0
Precinct 9206 - Election Day	87	41	25	188	194	0	0	40	154	1
Precinct 9206	264	130	75	929	544	0	0	74	470	1
Precinct 9207 - Vote By Mail	196	71	65	824	369	0	0	37	332	0
Precinct 9207 - Election Day	87	40	40	165	192	0	0	25	167	0
Precinct 9207	283	111	105	989	561	0	0	62	499	0
Precinct 9208 - Vote By Mail	207	60	58	808	357	0	0	32	325	0
Precinct 9208 - Election Day	107	26	27	179	179	0	0	19	160	0
Precinct 9208	314	86	85	987	536	0	0	51	485	0
Precinct 9209 - Vote By Mail	135	54	50	615	275	0	0	36	239	0
Precinct 9209 - Election Day	92	23	29	156	170	0	0	26	144	0
Precinct 9209	227	77	79	771	445	0	0	62	383	0
Precinct 9211 - Vote By Mail	165	53	57	730	314	0	0	39	275	0
Precinct 9211 - Election Day	86	21	28	161	154	0	0	17	137	2
Precinct 9211	251	74	85	891	468	0	0	56	412	2
Precinct 9212 - Vote By Mail	144	47	63	671	284	0	0	30	254	0
Precinct 9212 - Election Day	81	20	32	137	170	0	0	37	133	0
Precinct 9212	225	67	95	808	454	0	0	67	387	0
Precinct 9213 - Vote By Mail	189	47	78	776	349	0	1	34	314	0
Precinct 9213 - Election Day	110	19	41	161	195	0	0	25	170	0
Precinct 9213	299	66	119	937	544	0	1	59	484	0
Precinct 9214 - Vote By Mail	124	51	45	517	236	0	0	16	220	0
Precinct 9214 - Election Day	69	28	16	110	135	0	1	21	113	0
Precinct 9214	193	79	61	627	371	0	1	37	333	0
Precinct 9215 - Vote By Mail	123	43	53	524	246	0	0	27	219	0
Precinct 9215 - Election Day	67	29	17	120	131	0	0	18	113	0
Precinct 9215	190	72	70	644	377	0	0	45	332	0
Precinct 9216 - Vote By Mail	136	52	45	669	264	0	0	31	233	0
Precinct 9216 - Election Day	89	21	34	155	172	0	0	28	144	0
Precinct 9216	225	73	79	824	436	0	0	59	377	0
Precinct 9217 - Vote By Mail	154	41	49	588	268	0	0	24	244	0
Precinct 9217 - Election Day	67	22	25	117	133	0	0	17	116	2
Precinct 9217	221	63	74	705	401	0	0	41	360	2
Precinct 9218 - Vote By Mail	158	39	44	652	278	0	0	37	241	0
Precinct 9218 - Election Day	85	20	33	164	158	0	0	20	138	0
Precinct 9218	243	59	77	816	436	0	0	57	379	0
Precinct 9219 - Vote By Mail	154	36	66	646	288	0	0	32	256	0
Precinct 9219 - Election Day	96	19	31	144	168	0	0	21	147	1
Precinct 9219	250	55	97	790	456	0	0	53	403	1
Precinct 9221 - Vote By Mail	153	72	55	562	322	0	0	42	280	0
Precinct 9221 - Election Day	76	24	18	89	140	0	0	21	119	1
Precinct 9221	229	96	73	651	462	0	0	63	399	1
Precinct 9222 - Vote By Mail	201	68	68	773	373	0	0	36	337	0
Precinct 9222 - Election Day	90	24	31	137	174	0	0	29	145	0
Precinct 9222	291	92	99	910	547	0	0	65	482	0
Precinct 9223 - Vote By Mail	155	52	32	558	266	0	1	26	239	0
Precinct 9223 - Election Day	64	14	19	109	113	0	0	16	97	0
Precinct 9223	219	66	51	667	379	0	1	42	336	0
Precinct 9224 - Vote By Mail	229	73	47	768	380	0	0	31	349	0
Precinct 9224 - Election Day	93	33	23	181	166	0	0	16	150	1
Precinct 9224	322	106	70	949	546	0	0	47	499	1
Precinct 9225 - Vote By Mail	160	43	75	757	303	0	0	25	278	0
Precinct 9225 - Election Day	118	26	52	169	219	0	0	22	197	1
Precinct 9225	278	69	127	926	522	0	0	47	475	1
Precinct 9226 - Vote By Mail	215	53	54	741	355	0	0	33	322	0
Precinct 9226 - Election Day	75	22	33	155	148	0	0	18	130	0
Precinct 9226	290	75	87	896	503	0	0	51	452	0
Precinct 9227 - Vote By Mail	199	65	72	605	371	0	0	35	336	0
Precinct 9227 - Election Day	91	18	33	124	149	0	0	7	142	0
Precinct 9227	290	83	105	729	520	0	0	42	478	0
Precinct 9228 - Vote By Mail	170	61	48	578	314	0	0	35	279	0
Precinct 9228 - Election Day	108	19	32	160	179	0	0	20	159	0
Precinct 9228	278	80	80	738	493	0	0	55	438	0
Precinct 9229 - Vote By Mail	136	44	48	460	257	0	0	29	228	0
Precinct 9229 - Election Day	69	15	21	119	122	0	0	16	106	1
Precinct 9229	205	59	69	579	379	0	0	45	334	1
Precinct 9231 - Vote By Mail	230	30	61	726	352	0	0	31	321	0
Precinct 9231 - Election Day	153	16	53	236	255	0	0	33	222	0
Precinct 9231	383	46	114	962	607	0	0	64	543	0
Precinct 9232 - Vote By Mail	174	32	52	608	293	0	0	35	258	0
Precinct 9232 - Election Day	83	21	36	126	155	0	0	14	141	1
Precinct 9232	257	53	88	734	448	0	0	49	399	1
Precinct 9233 - Vote By Mail	189	59	44	668	330	0	0	38	292	0
Precinct 9233 - Election Day	118	20	27	150	186	0	0	20	166	1
Precinct 9233	307	79	71	818	516	0	0	58	458	1
Precinct 9234 - Vote By Mail	177	46	62	643	319	0	0	34	285	0
Precinct 9234 - Election Day	77	18	28	91	144	0	0	21	123	0
Precinct 9234	254	64	90	734	463	0	0	55	408	0
Precinct 9235 - Vote By Mail	196	72	54	703	365	0	0	43	322	0
Precinct 9235 - Election Day	112	28	35	160	194	0	0	19	175	0
Precinct 9235	308	100	89	863	559	0	0	62	497	0
Precinct 9236 - Vote By Mail	182	27	44	537	282	0	0	29	253	0
Precinct 9236 - Election Day	76	10	22	136	137	0	0	29	108	0
Precinct 9236	258	37	66	673	419	0	0	58	361	0
Precinct 9237 - Vote By Mail	236	56	59	779	395	0	0	44	351	0
Precinct 9237 - Election Day	101	18	36	118	182	0	0	27	155	0
Precinct 9237	337	74	95	897	577	0	0	71	506	0
Precinct 9238 - Vote By Mail	196	62	37	687	330	0	0	35	295	0
Precinct 9238 - Election Day	99	21	29	118	174	0	0	25	149	0
Precinct 9238	295	83	66	805	504	0	0	60	444	0
Precinct 9239 - Vote By Mail	236	72	46	740	390	0	0	36	354	0
Precinct 9239 - Election Day	88	24	23	124	157	0	0	22	135	0
Precinct 9239	324	96	69	864	547	0	0	58	489	0
Precinct 9241 - Vote By Mail	244	58	57	819	403	0	0	44	359	0
Precinct 9241 - Election Day	122	19	30	141	195	0	1	23	171	0
Precinct 9241	366	77	87	960	598	0	1	67	530	0
Precinct 9242 - Vote By Mail	208	43	65	771	348	0	0	32	316	0
Precinct 9242 - Election Day	121	26	38	172	213	0	0	28	185	0
Precinct 9242	329	69	103	943	561	0	0	60	501	0
Precinct 9243 - Vote By Mail	145	22	52	480	241	0	0	22	219	0
Precinct 9243 - Election Day	66	18	31	123	138	0	0	23	115	0
Precinct 9243	211	40	83	603	379	0	0	45	334	0
Precinct 9244 - Vote By Mail	234	31	73	756	394	0	0	56	338	0
Precinct 9244 - Election Day	113	10	42	154	182	0	0	16	166	1
Precinct 9244	347	41	115	910	576	0	0	72	504	1
Precinct 9245 - Vote By Mail	171	31	55	616	300	0	0	43	257	0
Precinct 9245 - Election Day	73	9	36	98	127	0	0	9	118	0
Precinct 9245	244	40	91	714	427	0	0	52	375	0
Precinct 9246 - Vote By Mail	247	64	78	815	430	0	0	41	389	0
Precinct 9246 - Election Day	115	20	35	155	194	0	0	24	170	0
Precinct 9246	362	84	113	970	624	0	0	65	559	0
Precinct 9247 - Vote By Mail	215	49	85	764	380	0	0	31	349	0
Precinct 9247 - Election Day	121	13	43	148	204	0	0	26	178	1
Precinct 9247	336	62	128	912	584	0	0	57	527	1
Precinct 9248 - Vote By Mail	202	36	82	757	358	0	0	38	320	0
Precinct 9248 - Election Day	102	7	59	150	190	0	0	22	168	0
Precinct 9248	304	43	141	907	548	0	0	60	488	0
Precinct 9249 - Vote By Mail	200	41	93	724	379	0	0	45	334	0
Precinct 9249 - Election Day	108	21	61	191	213	0	0	21	192	2
Precinct 9249	308	62	154	915	592	0	0	66	526	2
Precinct 9251 - Vote By Mail	213	46	93	792	392	0	0	40	352	0
Precinct 9251 - Election Day	125	35	54	174	235	0	0	21	214	0
Precinct 9251	338	81	147	966	627	0	0	61	566	0
Precinct 9252 - Vote By Mail	201	55	79	811	381	0	0	46	335	0
Precinct 9252 - Election Day	94	18	44	142	175	0	0	19	156	0
Precinct 9252	295	73	123	953	556	0	0	65	491	0
Precinct 9253 - Vote By Mail	174	47	59	599	300	0	2	18	280	0
Precinct 9253 - Election Day	76	19	34	162	148	0	0	19	129	0
Precinct 9253	250	66	93	761	448	0	2	37	409	0
Precinct 9254 - Vote By Mail	267	30	83	758	414	0	0	34	380	0
Precinct 9254 - Election Day	98	15	48	163	181	0	1	19	161	0
Precinct 9254	365	45	131	921	595	0	1	53	541	0
Precinct 9255 - Vote By Mail	103	24	53	436	196	0	0	16	180	0
Precinct 9255 - Election Day	64	6	48	114	133	0	0	15	118	0
Precinct 9255	167	30	101	550	329	0	0	31	298	0
Precinct 9256 - Vote By Mail	95	12	49	367	169	0	0	13	156	0
Precinct 9256 - Election Day	62	11	33	95	114	0	0	8	106	0
Precinct 9256	157	23	82	462	283	0	0	21	262	0
Precinct 9257 MB - Vote By Mail	80	12	57	359	161	0	0	12	149	0
Precinct 9257 MB - Election Day	3	0	3	-39	6	0	0	0	6	0
Precinct 9257 MB	83	12	60	320	167	0	0	12	155	0
Precinct 9258 - Vote By Mail	185	25	72	583	306	0	0	24	282	0
Precinct 9258 - Election Day	69	9	54	120	145	0	0	13	132	0
Precinct 9258	254	34	126	703	451	0	0	37	414	0
Precinct 9401 - Vote By Mail	150	31	147	796	358	0	0	30	328	0
Precinct 9401 - Election Day	60	11	97	242	177	0	0	9	168	0
Precinct 9401	210	42	244	1,038	535	0	0	39	496	0
Precinct 9402 - Vote By Mail	151	48	158	775	377	0	0	20	357	0
Precinct 9402 - Election Day	57	11	79	242	159	0	0	12	147	0
Precinct 9402	208	59	237	1,017	536	0	0	32	504	0
Precinct 9403 - Vote By Mail	127	55	138	731	346	0	0	26	320	0
Precinct 9403 - Election Day	50	11	54	190	126	0	0	11	115	0
Precinct 9403	177	66	192	921	472	0	0	37	435	0
Precinct 9404 - Vote By Mail	162	58	104	753	345	0	0	21	324	0
Precinct 9404 - Election Day	65	14	63	191	155	0	0	13	142	0
Precinct 9404	227	72	167	944	500	0	0	34	466	0
Precinct 9405 - Vote By Mail	136	41	77	629	276	0	0	22	254	0
Precinct 9405 - Election Day	53	13	31	151	104	0	0	7	97	0
Precinct 9405	189	54	108	780	380	0	0	29	351	0
Precinct 9406 - Vote By Mail	155	45	96	695	327	0	0	31	296	0
Precinct 9406 - Election Day	68	20	50	188	152	0	0	14	138	0
Precinct 9406	223	65	146	883	479	0	0	45	434	0
Precinct 9407 - Vote By Mail	162	45	133	712	368	0	1	27	340	0
Precinct 9407 - Election Day	69	10	45	201	132	0	0	8	124	0
Precinct 9407	231	55	178	913	500	0	1	35	464	0
Precinct 9408 - Vote By Mail	139	18	142	711	321	0	0	22	299	0
Precinct 9408 - Election Day	51	9	58	152	126	0	0	8	118	0
Precinct 9408	190	27	200	863	447	0	0	30	417	0
Precinct 9409 - Vote By Mail	103	19	77	443	226	0	1	26	199	0
Precinct 9409 - Election Day	49	9	57	158	127	0	0	12	115	0
Precinct 9409	152	28	134	601	353	0	1	38	314	0
Precinct 9411 - Vote By Mail	159	33	147	816	376	0	1	36	339	0
Precinct 9411 - Election Day	46	11	68	191	135	0	0	10	125	0
Precinct 9411	205	44	215	1,007	511	0	1	46	464	0
Precinct 9412 - Vote By Mail	150	53	102	668	339	0	0	34	305	0
Precinct 9412 - Election Day	53	11	63	202	139	0	0	12	127	0
Precinct 9412	203	64	165	870	478	0	0	46	432	0
Precinct 9413 - Vote By Mail	166	47	117	757	375	0	0	45	330	0
Precinct 9413 - Election Day	61	11	47	179	127	0	0	8	119	0
Precinct 9413	227	58	164	936	502	0	0	53	449	0
Precinct 9414 - Vote By Mail	172	53	108	734	360	0	0	27	333	0
Precinct 9414 - Election Day	51	14	35	186	108	0	0	6	102	2
Precinct 9414	223	67	143	920	468	0	0	33	435	2
Precinct 9415 - Vote By Mail	137	52	93	634	314	0	0	32	282	0
Precinct 9415 - Election Day	39	10	37	154	98	0	0	12	86	0
Precinct 9415	176	62	130	788	412	0	0	44	368	0
Precinct 9416 - Vote By Mail	195	50	99	769	391	0	1	46	344	0
Precinct 9416 - Election Day	81	11	44	230	143	0	0	7	136	0
Precinct 9416	276	61	143	999	534	0	1	53	480	0
Precinct 9417 - Vote By Mail	145	57	88	629	321	0	0	31	290	0
Precinct 9417 - Election Day	39	11	46	145	110	0	0	14	96	0
Precinct 9417	184	68	134	774	431	0	0	45	386	0
Precinct 9418 - Vote By Mail	136	58	81	631	310	0	0	35	275	0
Precinct 9418 - Election Day	55	12	45	188	122	0	0	9	113	1
Precinct 9418	191	70	126	819	432	0	0	44	388	1
Precinct 9419 - Vote By Mail	180	79	89	736	369	0	0	21	348	0
Precinct 9419 - Election Day	44	22	31	173	108	0	0	11	97	0
Precinct 9419	224	101	120	909	477	0	0	32	445	0
Precinct 9421 - Vote By Mail	155	62	91	752	338	0	0	30	308	0
Precinct 9421 - Election Day	51	17	33	173	112	0	0	11	101	0
Precinct 9421	206	79	124	925	450	0	0	41	409	0
Precinct 9422 - Vote By Mail	201	84	93	831	412	0	0	34	378	0
Precinct 9422 - Election Day	66	24	42	270	148	0	0	16	132	0
Precinct 9422	267	108	135	1,101	560	0	0	50	510	0
Precinct 9423 - Vote By Mail	140	42	109	714	316	0	0	25	291	0
Precinct 9423 - Election Day	57	14	43	190	121	0	0	7	114	0
Precinct 9423	197	56	152	904	437	0	0	32	405	0
Precinct 9424 - Vote By Mail	180	58	109	799	384	0	0	37	347	0
Precinct 9424 - Election Day	42	16	46	210	116	0	0	11	105	1
Precinct 9424	222	74	155	1,009	500	0	0	48	452	1
Precinct 9425 - Vote By Mail	147	70	92	789	346	0	0	37	309	0
Precinct 9425 - Election Day	52	5	46	187	115	0	0	11	104	1
Precinct 9425	199	75	138	976	461	0	0	48	413	1
Precinct 9426 - Vote By Mail	122	69	95	697	323	0	0	37	286	0
Precinct 9426 - Election Day	34	13	39	156	104	0	1	16	87	1
Precinct 9426	156	82	134	853	427	0	1	53	373	1
Precinct 9427 - Vote By Mail	164	84	94	799	381	0	0	39	342	0
Precinct 9427 - Election Day	53	12	28	188	115	0	0	22	93	0
Precinct 9427	217	96	122	987	496	0	0	61	435	0
Precinct 9428 - Vote By Mail	155	75	82	811	351	0	0	39	312	0
Precinct 9428 - Election Day	39	15	48	179	115	0	0	13	102	0
Precinct 9428	194	90	130	990	466	0	0	52	414	0
Precinct 9429 - Vote By Mail	143	58	105	709	343	0	1	36	306	0
Precinct 9429 - Election Day	47	18	43	197	124	0	0	15	109	1
Precinct 9429	190	76	148	906	467	0	1	51	415	1
Precinct 9431 - Vote By Mail	204	90	78	832	411	0	0	39	372	0
Precinct 9431 - Election Day	59	16	36	204	125	0	0	13	112	1
Precinct 9431	263	106	114	1,036	536	0	0	52	484	1
Precinct 9432 - Vote By Mail	173	56	85	743	358	0	0	44	314	0
Precinct 9432 - Election Day	54	18	37	215	118	0	0	9	109	0
Precinct 9432	227	74	122	958	476	0	0	53	423	0
Precinct 9433 - Vote By Mail	170	64	91	794	373	0	0	48	325	0
Precinct 9433 - Election Day	42	18	27	164	95	0	0	7	88	1
Precinct 9433	212	82	118	958	468	0	0	55	413	1
Precinct 9434 - Vote By Mail	187	56	108	785	387	0	0	36	351	0
Precinct 9434 - Election Day	76	15	53	227	163	0	0	18	145	1
Precinct 9434	263	71	161	1,012	550	0	0	54	496	1
Precinct 9435 - Vote By Mail	192	56	77	779	366	0	0	41	325	0
Precinct 9435 - Election Day	56	21	63	225	158	0	0	17	141	1
Precinct 9435	248	77	140	1,004	524	0	0	58	466	1
Precinct 9436 - Vote By Mail	185	76	82	842	386	0	0	43	343	0
Precinct 9436 - Election Day	68	12	35	226	129	0	0	14	115	0
Precinct 9436	253	88	117	1,068	515	0	0	57	458	0
Precinct 9437 - Vote By Mail	159	67	106	736	376	0	0	44	332	0
Precinct 9437 - Election Day	58	21	45	191	130	0	0	5	125	1
Precinct 9437	217	88	151	927	506	0	0	49	457	1
Precinct 9438 - Vote By Mail	203	76	101	837	416	0	0	36	380	0
Precinct 9438 - Election Day	30	13	37	152	84	0	0	4	80	0
Precinct 9438	233	89	138	989	500	0	0	40	460	0
Precinct 9439 - Vote By Mail	146	69	89	718	343	0	3	36	304	0
Precinct 9439 - Election Day	45	22	37	199	112	0	0	8	104	0
Precinct 9439	191	91	126	917	455	0	3	44	408	0
Precinct 9441 - Vote By Mail	176	66	115	778	396	0	0	39	357	0
Precinct 9441 - Election Day	50	11	50	193	125	0	0	14	111	0
Precinct 9441	226	77	165	971	521	0	0	53	468	0
Precinct 9442 - Vote By Mail	158	72	120	830	378	0	1	27	350	0
Precinct 9442 - Election Day	69	20	57	210	159	0	0	13	146	0
Precinct 9442	227	92	177	1,040	537	0	1	40	496	0
Precinct 9443 - Vote By Mail	159	52	120	759	362	0	1	30	331	0
Precinct 9443 - Election Day	47	14	39	196	109	0	0	8	101	1
Precinct 9443	206	66	159	955	471	0	1	38	432	1
Precinct 9444 - Vote By Mail	149	81	81	768	340	0	0	29	311	0
Precinct 9444 - Election Day	37	14	30	197	94	0	0	13	81	0
Precinct 9444	186	95	111	965	434	0	0	42	392	0
Precinct 9445 - Vote By Mail	203	69	92	829	405	0	0	41	364	0
Precinct 9445 - Election Day	44	17	44	167	114	0	0	9	105	0
Precinct 9445	247	86	136	996	519	0	0	50	469	0
Precinct 9446 - Vote By Mail	194	103	121	900	465	0	0	47	418	0
Precinct 9446 - Election Day	57	15	64	216	146	0	0	10	136	0
Precinct 9446	251	118	185	1,116	611	0	0	57	554	0
Precinct 9447 - Vote By Mail	197	68	90	729	392	0	1	36	355	0
Precinct 9447 - Election Day	67	22	50	192	146	0	0	7	139	0
Precinct 9447	264	90	140	921	538	0	1	43	494	0
Precinct 9448 - Vote By Mail	150	53	111	742	346	0	0	32	314	0
Precinct 9448 - Election Day	51	13	54	198	128	0	0	9	119	1
Precinct 9448	201	66	165	940	474	0	0	41	433	1
Precinct 9449 - Vote By Mail	134	53	100	719	340	0	0	53	287	0
Precinct 9449 - Election Day	43	14	34	162	98	0	0	7	91	0
Precinct 9449	177	67	134	881	438	0	0	60	378	0
Precinct 9451 - Vote By Mail	61	44	50	353	178	0	0	23	155	0
Precinct 9451 - Election Day	30	7	13	88	55	0	0	5	50	0
Precinct 9451	91	51	63	441	233	0	0	28	205	0
Precinct 9452 - Vote By Mail	154	65	96	647	334	0	0	19	315	0
Precinct 9452 - Election Day	53	23	46	195	134	0	0	12	122	0
Precinct 9452	207	88	142	842	468	0	0	31	437	0
Precinct 9453 - Vote By Mail	101	51	43	409	217	0	1	21	195	0
Precinct 9453 - Election Day	37	11	17	115	70	0	0	5	65	0
Precinct 9453	138	62	60	524	287	0	1	26	260	0
Precinct 9501 MB - Vote By Mail	62	11	15	158	92	0	0	4	88	0
Precinct 9501 MB - Election Day	1	0	1	-8	2	0	0	0	2	0
Precinct 9501 MB	63	11	16	150	94	0	0	4	90	0
Precinct 9502 MB - Vote By Mail	76	7	45	294	136	0	0	8	128	0
Precinct 9502 MB - Election Day	1	0	1	-43	2	0	0	0	2	0
Precinct 9502 MB	77	7	46	251	138	0	0	8	130	0
Precinct 9503/9504 - Vote By Mail	161	9	68	550	260	0	0	22	238	0
Precinct 9503/9504 - Election Day	49	8	23	150	83	0	0	3	80	0
Precinct 9503/9504	210	17	91	700	343	0	0	25	318	0
Precinct 9505 - Vote By Mail	184	21	70	589	296	0	0	21	275	0
Precinct 9505 - Election Day	72	2	32	176	113	0	0	7	106	0
Precinct 9505	256	23	102	765	409	0	0	28	381	0
Precinct 9506 - Vote By Mail	144	9	69	547	232	0	0	10	222	0
Precinct 9506 - Election Day	70	2	49	207	132	0	0	11	121	0
Precinct 9506	214	11	118	754	364	0	0	21	343	0
Precinct 9507 - Vote By Mail	166	12	104	556	305	0	0	23	282	0
Precinct 9507 - Election Day	80	7	54	160	155	0	0	13	142	1
Precinct 9507	246	19	158	716	460	0	0	36	424	1
Precinct 9508 - Vote By Mail	181	7	117	632	317	0	0	12	305	0
Precinct 9508 - Election Day	63	1	70	148	141	0	0	7	134	0
Precinct 9508	244	8	187	780	458	0	0	19	439	0
Precinct 9509 - Vote By Mail	168	5	96	585	296	0	0	27	269	0
Precinct 9509 - Election Day	63	3	56	142	134	0	0	11	123	1
Precinct 9509	231	8	152	727	430	0	0	38	392	1
Precinct 9511 - Vote By Mail	120	16	92	458	240	0	1	11	228	0
Precinct 9511 - Election Day	58	9	45	176	122	0	1	8	113	1
Precinct 9511	178	25	137	634	362	0	2	19	341	1
Precinct 9512 - Vote By Mail	155	9	129	617	327	0	0	34	293	0
Precinct 9512 - Election Day	65	2	63	160	136	0	0	6	130	0
Precinct 9512	220	11	192	777	463	0	0	40	423	0
Precinct 9513 - Vote By Mail	172	13	124	686	334	0	1	24	309	0
Precinct 9513 - Election Day	64	4	56	191	133	0	0	9	124	0
Precinct 9513	236	17	180	877	467	0	1	33	433	0
Precinct 9514/9522 - Vote By Mail	188	16	112	713	352	0	1	35	316	0
Precinct 9514/9522 - Election Day	77	7	77	183	172	0	0	11	161	0
Precinct 9514/9522	265	23	189	896	524	0	1	46	477	0
Precinct 9515 - Vote By Mail	162	25	90	543	304	0	0	27	277	0
Precinct 9515 - Election Day	54	10	56	169	135	0	0	15	120	0
Precinct 9515	216	35	146	712	439	0	0	42	397	0
Precinct 9516 - Vote By Mail	180	37	117	705	366	0	0	32	334	0
Precinct 9516 - Election Day	77	13	54	184	158	0	0	13	145	1
Precinct 9516	257	50	171	889	524	0	0	45	479	1
Precinct 9517 - Vote By Mail	162	20	132	626	335	0	1	20	314	0
Precinct 9517 - Election Day	51	4	67	162	137	0	0	15	122	0
Precinct 9517	213	24	199	788	472	0	1	35	436	0
Precinct 9518 - Vote By Mail	176	22	87	642	315	0	0	30	285	0
Precinct 9518 - Election Day	76	7	56	146	149	0	0	9	140	1
Precinct 9518	252	29	143	788	464	0	0	39	425	1
Precinct 9519 - Vote By Mail	191	22	130	693	368	0	0	25	343	0
Precinct 9519 - Election Day	84	13	62	198	170	0	0	11	159	0
Precinct 9519	275	35	192	891	538	0	0	36	502	0
Precinct 9521 - Vote By Mail	177	20	130	687	352	0	0	25	327	0
Precinct 9521 - Election Day	87	9	86	214	193	0	0	11	182	0
Precinct 9521	264	29	216	901	545	0	0	36	509	0
Precinct 9701 - Vote By Mail	123	31	83	498	269	0	0	32	237	0
Precinct 9701 - Election Day	64	6	55	156	135	0	0	10	125	0
Precinct 9701	187	37	138	654	404	0	0	42	362	0
Precinct 9702 - Vote By Mail	144	23	93	554	305	0	0	45	260	0
Precinct 9702 - Election Day	72	5	58	166	148	0	0	13	135	0
Precinct 9702	216	28	151	720	453	0	0	58	395	0
Precinct 9703 - Vote By Mail	207	58	92	809	403	0	0	46	357	0
Precinct 9703 - Election Day	69	15	49	182	143	0	0	9	134	1
