Subtotal Area	DOROTHY CHOU PROUDFOOT	MICHELLE TONG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7952	118	212	912	378	0	0	47	331	1
Precinct 7953 - Vote By Mail	122	163	669	331	0	0	46	285	0
Precinct 7953 - Election Day	31	57	161	106	0	0	18	88	0
Precinct 7953	153	220	830	437	0	0	64	373	0
Precinct 7955 - Vote By Mail	106	172	774	350	0	0	72	278	0
Precinct 7955 - Election Day	29	47	173	101	0	0	24	77	1
Precinct 7955	135	219	947	451	0	0	96	355	1
Precinct 7956 - Vote By Mail	92	133	699	267	0	0	42	225	0
Precinct 7956 - Election Day	12	21	170	42	0	0	9	33	0
Precinct 7956	104	154	869	309	0	0	51	258	0
Precinct 7957 - Vote By Mail	91	117	538	261	0	1	52	208	0
Precinct 7957 - Election Day	21	38	135	85	0	0	26	59	0
Precinct 7957	112	155	673	346	0	1	78	267	0
Precinct 7958 MB - Vote By Mail	41	43	320	104	0	2	18	84	0
Precinct 7958 MB - Election Day	0	0	-23	0	0	0	0	0	0
Precinct 7958 MB	41	43	297	104	0	2	18	84	0
Precinct 7959 - Vote By Mail	71	102	541	230	0	0	57	173	0
Precinct 7959 - Election Day	14	39	145	68	0	0	14	54	1
Precinct 7959	85	141	686	298	0	0	71	227	1
Precinct 9001 MB - Vote By Mail	39	49	314	100	0	0	12	88	0
Precinct 9001 MB - Election Day	0	0	-30	0	0	0	0	0	0
Precinct 9001 MB	39	49	284	100	0	0	12	88	0
Precinct 9101 - Vote By Mail	153	160	712	378	0	1	64	313	0
Precinct 9101 - Election Day	66	86	201	195	0	0	42	153	1
Precinct 9101	219	246	913	573	0	1	106	466	1
Precinct 9102 - Vote By Mail	145	179	788	393	0	0	69	324	0
Precinct 9102 - Election Day	56	80	204	175	0	0	36	139	3
Precinct 9102	201	259	992	568	0	0	105	463	3
Precinct 9103 - Vote By Mail	169	135	719	381	0	0	77	304	0
Precinct 9103 - Election Day	66	85	238	194	0	0	41	153	2
Precinct 9103	235	220	957	575	0	0	118	457	2
Precinct 9104 - Vote By Mail	122	179	810	382	0	1	80	301	0
Precinct 9104 - Election Day	42	98	220	181	0	0	41	140	0
Precinct 9104	164	277	1,030	563	0	1	121	441	0
Precinct 9105 - Vote By Mail	142	173	719	413	0	0	98	315	0
Precinct 9105 - Election Day	74	97	199	223	0	0	51	172	1
Precinct 9105	216	270	918	636	0	0	149	487	1
Precinct 9106 - Vote By Mail	151	163	748	397	0	1	82	314	0
Precinct 9106 - Election Day	77	102	198	225	0	0	46	179	0
Precinct 9106	228	265	946	622	0	1	128	493	0
Precinct 9107 - Vote By Mail	103	151	636	305	0	1	50	254	0
Precinct 9107 - Election Day	41	85	208	166	0	0	40	126	0
Precinct 9107	144	236	844	471	0	1	90	380	0
Precinct 9108 - Vote By Mail	121	154	610	337	0	1	61	275	0
Precinct 9108 - Election Day	44	73	200	143	0	0	26	117	0
Precinct 9108	165	227	810	480	0	1	87	392	0
Precinct 9109 - Vote By Mail	127	122	672	300	0	0	51	249	0
Precinct 9109 - Election Day	62	89	211	199	0	0	47	152	1
Precinct 9109	189	211	883	499	0	0	98	401	1
Precinct 9111 - Vote By Mail	114	147	639	317	0	1	55	261	0
Precinct 9111 - Election Day	38	89	195	170	0	0	43	127	0
Precinct 9111	152	236	834	487	0	1	98	388	0
Precinct 9112 - Vote By Mail	117	151	742	351	0	0	83	268	0
Precinct 9112 - Election Day	65	98	219	207	0	0	42	165	2
Precinct 9112	182	249	961	558	0	0	125	433	2
Precinct 9113 - Vote By Mail	139	164	796	371	0	0	68	303	0
Precinct 9113 - Election Day	85	98	208	245	0	1	60	184	1
Precinct 9113	224	262	1,004	616	0	1	128	487	1
Precinct 9114 - Vote By Mail	102	148	659	291	0	0	41	250	0
Precinct 9114 - Election Day	57	89	231	184	0	0	38	146	0
Precinct 9114	159	237	890	475	0	0	79	396	0
Precinct 9115 - Vote By Mail	99	166	699	322	0	0	57	265	0
Precinct 9115 - Election Day	45	109	182	180	0	0	26	154	0
Precinct 9115	144	275	881	502	0	0	83	419	0
Precinct 9116 - Vote By Mail	110	181	782	346	0	0	55	291	0
Precinct 9116 - Election Day	42	94	179	181	0	0	45	136	0
Precinct 9116	152	275	961	527	0	0	100	427	0
Precinct 9117 - Vote By Mail	129	140	629	328	0	0	59	269	0
Precinct 9117 - Election Day	78	75	171	195	0	0	42	153	0
Precinct 9117	207	215	800	523	0	0	101	422	0
Precinct 9118 - Vote By Mail	136	137	742	340	0	0	67	273	0
Precinct 9118 - Election Day	77	102	242	228	0	0	46	182	3
Precinct 9118	213	239	984	568	0	0	113	455	3
Precinct 9119 - Vote By Mail	150	178	703	387	0	0	59	328	0
Precinct 9119 - Election Day	57	67	197	160	0	0	36	124	0
Precinct 9119	207	245	900	547	0	0	95	452	0
Precinct 9121 - Vote By Mail	135	136	735	335	0	0	64	271	0
Precinct 9121 - Election Day	59	92	218	185	0	0	34	151	0
Precinct 9121	194	228	953	520	0	0	98	422	0
Precinct 9122 - Vote By Mail	142	164	775	364	0	0	58	306	0
Precinct 9122 - Election Day	53	79	192	161	0	0	28	133	1
Precinct 9122	195	243	967	525	0	0	86	439	1
Precinct 9123 - Vote By Mail	119	145	661	319	0	0	55	264	0
Precinct 9123 - Election Day	54	92	191	190	0	0	41	149	3
Precinct 9123	173	237	852	509	0	0	96	413	3
Precinct 9124 - Vote By Mail	128	163	736	351	0	0	60	291	0
Precinct 9124 - Election Day	43	90	167	161	0	0	28	133	0
Precinct 9124	171	253	903	512	0	0	88	424	0
Precinct 9125 - Vote By Mail	134	151	681	358	0	1	72	285	0
Precinct 9125 - Election Day	43	78	188	154	0	0	33	121	0
Precinct 9125	177	229	869	512	0	1	105	406	0
Precinct 9126 - Vote By Mail	139	172	819	385	0	1	73	311	0
Precinct 9126 - Election Day	55	104	194	200	0	0	41	159	0
Precinct 9126	194	276	1,013	585	0	1	114	470	0
Precinct 9127 - Vote By Mail	128	177	748	382	0	0	77	305	0
Precinct 9127 - Election Day	74	105	223	221	0	0	42	179	0
Precinct 9127	202	282	971	603	0	0	119	484	0
Precinct 9128 - Vote By Mail	125	145	628	333	0	0	63	270	0
Precinct 9128 - Election Day	79	76	190	196	0	0	41	155	0
Precinct 9128	204	221	818	529	0	0	104	425	0
Precinct 9129 - Vote By Mail	83	146	587	272	0	0	43	229	0
Precinct 9129 - Election Day	37	86	151	154	0	1	30	123	0
Precinct 9129	120	232	738	426	0	1	73	352	0
Precinct 9131 - Vote By Mail	98	144	596	285	0	0	43	242	0
Precinct 9131 - Election Day	33	83	138	154	0	0	37	117	1
Precinct 9131	131	227	734	439	0	0	80	359	1
Precinct 9132 - Vote By Mail	96	121	627	262	0	2	43	217	0
Precinct 9132 - Election Day	47	84	194	172	0	0	40	132	1
Precinct 9132	143	205	821	434	0	2	83	349	1
Precinct 9133 - Vote By Mail	138	186	808	382	0	0	58	324	0
Precinct 9133 - Election Day	69	111	209	214	0	0	34	180	0
Precinct 9133	207	297	1,017	596	0	0	92	504	0
Precinct 9134 - Vote By Mail	125	148	736	327	0	0	54	273	0
Precinct 9134 - Election Day	29	49	155	106	0	1	27	78	0
Precinct 9134	154	197	891	433	0	1	81	351	0
Precinct 9135 - Vote By Mail	127	122	640	305	0	0	56	249	0
Precinct 9135 - Election Day	54	75	182	159	0	0	30	129	0
Precinct 9135	181	197	822	464	0	0	86	378	0
Precinct 9136 - Vote By Mail	124	160	706	368	0	2	82	284	0
Precinct 9136 - Election Day	39	88	212	165	0	0	38	127	0
Precinct 9136	163	248	918	533	0	2	120	411	0
Precinct 9137 - Vote By Mail	144	179	806	389	0	0	66	323	0
Precinct 9137 - Election Day	63	75	209	176	0	0	36	140	2
Precinct 9137	207	254	1,015	565	0	0	102	463	2
Precinct 9138 - Vote By Mail	165	183	770	398	0	1	49	348	0
Precinct 9138 - Election Day	37	75	175	150	0	0	35	115	3
Precinct 9138	202	258	945	548	0	1	84	463	3
Precinct 9139 - Vote By Mail	159	202	828	423	0	0	62	361	0
Precinct 9139 - Election Day	64	72	190	178	0	1	40	137	1
Precinct 9139	223	274	1,018	601	0	1	102	498	1
Precinct 9141 - Vote By Mail	159	173	789	418	0	3	83	332	0
Precinct 9141 - Election Day	50	91	184	173	0	0	31	142	1
Precinct 9141	209	264	973	591	0	3	114	474	1
Precinct 9142 - Vote By Mail	138	177	747	364	0	0	49	315	0
Precinct 9142 - Election Day	69	98	239	210	0	0	43	167	0
Precinct 9142	207	275	986	574	0	0	92	482	0
Precinct 9143 - Vote By Mail	135	159	705	360	0	0	66	294	0
Precinct 9143 - Election Day	54	88	209	172	0	1	29	142	0
Precinct 9143	189	247	914	532	0	1	95	436	0
Precinct 9144 - Vote By Mail	132	180	767	376	0	1	63	312	0
Precinct 9144 - Election Day	76	102	203	215	0	0	37	178	0
Precinct 9144	208	282	970	591	0	1	100	490	0
Precinct 9145 - Vote By Mail	118	156	681	334	0	0	60	274	0
Precinct 9145 - Election Day	62	91	194	178	0	0	25	153	0
Precinct 9145	180	247	875	512	0	0	85	427	0
Precinct 9146 - Vote By Mail	120	162	725	353	0	0	71	282	0
Precinct 9146 - Election Day	55	110	160	194	0	0	29	165	0
Precinct 9146	175	272	885	547	0	0	100	447	0
Precinct 9147 - Vote By Mail	134	190	765	373	0	0	49	324	0
Precinct 9147 - Election Day	62	107	225	211	0	1	39	171	2
Precinct 9147	196	297	990	584	0	1	88	495	2
Precinct 9148 - Vote By Mail	138	196	779	397	0	0	63	334	0
Precinct 9148 - Election Day	63	120	235	230	0	1	46	183	0
Precinct 9148	201	316	1,014	627	0	1	109	517	0
Precinct 9149 - Vote By Mail	129	182	813	385	0	4	70	311	0
Precinct 9149 - Election Day	74	119	178	252	0	0	59	193	0
Precinct 9149	203	301	991	637	0	4	129	504	0
Precinct 9151 - Vote By Mail	130	155	693	351	0	0	66	285	0
Precinct 9151 - Election Day	36	58	168	116	0	1	21	94	0
Precinct 9151	166	213	861	467	0	1	87	379	0
Precinct 9152 - Vote By Mail	58	91	550	196	0	0	47	149	0
Precinct 9152 - Election Day	51	68	187	143	0	0	24	119	0
Precinct 9152	109	159	737	339	0	0	71	268	0
Precinct 9201 - Vote By Mail	113	187	785	358	0	0	58	300	0
Precinct 9201 - Election Day	62	117	186	228	0	0	49	179	0
Precinct 9201	175	304	971	586	0	0	107	479	0
Precinct 9202 - Vote By Mail	147	131	819	368	0	0	90	278	0
Precinct 9202 - Election Day	76	85	177	228	0	0	66	162	1
Precinct 9202	223	216	996	596	0	0	156	440	1
Precinct 9203 - Vote By Mail	143	129	847	373	0	0	101	272	0
Precinct 9203 - Election Day	65	55	155	191	0	0	70	121	1
Precinct 9203	208	184	1,002	564	0	0	171	393	1
Precinct 9204 - Vote By Mail	154	82	686	309	0	0	73	236	0
Precinct 9204 - Election Day	75	69	176	198	0	1	52	145	1
Precinct 9204	229	151	862	507	0	1	125	381	1
Precinct 9205 - Vote By Mail	110	101	621	288	0	0	77	211	0
Precinct 9205 - Election Day	35	63	115	154	0	0	54	100	2
Precinct 9205	145	164	736	442	0	0	131	311	2
Precinct 9206 - Vote By Mail	172	89	741	351	0	0	90	261	0
Precinct 9206 - Election Day	64	55	188	194	0	0	73	121	2
Precinct 9206	236	144	929	545	0	0	163	382	2
Precinct 9207 - Vote By Mail	169	118	824	370	0	0	83	287	0
Precinct 9207 - Election Day	62	62	165	194	0	0	69	125	1
Precinct 9207	231	180	989	564	0	0	152	412	1
Precinct 9208 - Vote By Mail	142	124	808	357	0	0	91	266	0
Precinct 9208 - Election Day	67	65	179	179	0	0	47	132	0
Precinct 9208	209	189	987	536	0	0	138	398	0
Precinct 9209 - Vote By Mail	106	96	615	276	0	1	73	202	0
Precinct 9209 - Election Day	54	62	156	172	0	0	56	116	0
Precinct 9209	160	158	771	448	0	1	129	318	0
Precinct 9211 - Vote By Mail	117	92	730	314	0	0	105	209	0
Precinct 9211 - Election Day	59	55	161	155	0	0	39	116	2
Precinct 9211	176	147	891	469	0	0	144	325	2
Precinct 9212 - Vote By Mail	109	109	671	284	0	0	66	218	0
Precinct 9212 - Election Day	47	68	137	175	0	0	60	115	0
Precinct 9212	156	177	808	459	0	0	126	333	0
Precinct 9213 - Vote By Mail	140	134	776	350	0	0	76	274	0
Precinct 9213 - Election Day	64	71	161	200	0	0	63	137	2
Precinct 9213	204	205	937	550	0	0	139	411	2
Precinct 9214 - Vote By Mail	113	74	517	236	0	0	49	187	0
Precinct 9214 - Election Day	41	48	110	136	0	0	45	91	2
Precinct 9214	154	122	627	372	0	0	94	278	2
Precinct 9215 - Vote By Mail	111	78	524	246	0	0	57	189	0
Precinct 9215 - Election Day	58	34	120	131	0	0	39	92	0
Precinct 9215	169	112	644	377	0	0	96	281	0
Precinct 9216 - Vote By Mail	109	89	669	264	0	0	66	198	0
Precinct 9216 - Election Day	68	57	155	173	0	0	48	125	0
Precinct 9216	177	146	824	437	0	0	114	323	0
Precinct 9217 - Vote By Mail	122	89	588	268	0	0	57	211	0
Precinct 9217 - Election Day	53	41	117	134	0	0	39	95	1
Precinct 9217	175	130	705	402	0	0	96	306	1
Precinct 9218 - Vote By Mail	105	107	652	278	0	0	66	212	0
Precinct 9218 - Election Day	52	59	164	160	0	0	47	113	2
Precinct 9218	157	166	816	438	0	0	113	325	2
Precinct 9219 - Vote By Mail	92	121	646	288	0	0	75	213	0
Precinct 9219 - Election Day	61	67	144	172	0	0	44	128	0
Precinct 9219	153	188	790	460	0	0	119	341	0
Precinct 9221 - Vote By Mail	157	70	562	322	0	0	95	227	0
Precinct 9221 - Election Day	52	35	89	140	0	1	50	89	2
Precinct 9221	209	105	651	462	0	1	145	316	2
Precinct 9222 - Vote By Mail	186	105	773	373	0	0	82	291	0
Precinct 9222 - Election Day	66	60	137	176	0	0	49	127	1
Precinct 9222	252	165	910	549	0	0	131	418	1
Precinct 9223 - Vote By Mail	123	77	558	266	0	0	66	200	0
Precinct 9223 - Election Day	39	42	109	115	0	0	34	81	0
Precinct 9223	162	119	667	381	0	0	100	281	0
Precinct 9224 - Vote By Mail	184	123	768	380	0	0	73	307	0
Precinct 9224 - Election Day	61	62	181	168	0	0	44	124	1
Precinct 9224	245	185	949	548	0	0	117	431	1
Precinct 9225 - Vote By Mail	124	121	757	303	0	0	58	245	0
Precinct 9225 - Election Day	72	78	169	219	0	0	66	153	3
Precinct 9225	196	199	926	522	0	0	124	398	3
Precinct 9226 - Vote By Mail	154	115	741	355	0	0	86	269	0
Precinct 9226 - Election Day	66	63	155	179	0	0	50	129	0
Precinct 9226	220	178	896	534	0	0	136	398	0
Precinct 9227 - Vote By Mail	176	120	605	372	0	0	76	296	0
Precinct 9227 - Election Day	55	61	124	149	0	0	32	117	1
Precinct 9227	231	181	729	521	0	0	108	413	1
Precinct 9228 - Vote By Mail	144	113	578	314	0	0	57	257	0
Precinct 9228 - Election Day	68	53	160	180	0	0	59	121	0
Precinct 9228	212	166	738	494	0	0	116	378	0
Precinct 9229 - Vote By Mail	123	81	460	257	0	0	53	204	0
Precinct 9229 - Election Day	47	44	119	122	0	0	31	91	0
Precinct 9229	170	125	579	379	0	0	84	295	0
Precinct 9231 - Vote By Mail	144	126	726	352	0	2	80	270	0
Precinct 9231 - Election Day	94	91	236	264	0	0	78	186	1
Precinct 9231	238	217	962	616	0	2	158	456	1
Precinct 9232 - Vote By Mail	120	109	608	293	0	0	64	229	0
Precinct 9232 - Election Day	56	71	126	157	0	0	30	127	0
Precinct 9232	176	180	734	450	0	0	94	356	0
Precinct 9233 - Vote By Mail	153	97	668	332	0	0	82	250	0
Precinct 9233 - Election Day	74	59	150	188	0	0	54	134	1
Precinct 9233	227	156	818	520	0	0	136	384	1
Precinct 9234 - Vote By Mail	136	106	643	319	0	0	77	242	0
Precinct 9234 - Election Day	54	46	91	145	0	0	44	101	1
Precinct 9234	190	152	734	464	0	0	121	343	1
Precinct 9235 - Vote By Mail	173	86	703	365	0	0	106	259	0
Precinct 9235 - Election Day	86	68	160	195	0	0	41	154	0
Precinct 9235	259	154	863	560	0	0	147	413	0
Precinct 9236 - Vote By Mail	115	99	537	283	0	1	68	214	0
Precinct 9236 - Election Day	46	47	136	137	0	0	43	94	1
Precinct 9236	161	146	673	420	0	1	111	308	1
Precinct 9237 - Vote By Mail	175	129	779	395	0	1	90	304	0
Precinct 9237 - Election Day	50	70	118	183	0	0	62	121	1
Precinct 9237	225	199	897	578	0	1	152	425	1
Precinct 9238 - Vote By Mail	158	103	687	330	0	0	69	261	0
Precinct 9238 - Election Day	49	71	118	174	0	0	54	120	0
Precinct 9238	207	174	805	504	0	0	123	381	0
Precinct 9239 - Vote By Mail	174	112	740	391	0	0	105	286	0
Precinct 9239 - Election Day	50	52	124	161	0	0	59	102	0
Precinct 9239	224	164	864	552	0	0	164	388	0
Precinct 9241 - Vote By Mail	164	137	819	403	0	0	102	301	0
Precinct 9241 - Election Day	74	68	141	196	0	0	54	142	0
Precinct 9241	238	205	960	599	0	0	156	443	0
Precinct 9242 - Vote By Mail	127	123	771	349	0	0	99	250	0
Precinct 9242 - Election Day	51	100	172	215	0	0	62	153	2
Precinct 9242	178	223	943	564	0	0	161	403	2
Precinct 9243 - Vote By Mail	116	84	480	242	0	0	42	200	0
Precinct 9243 - Election Day	31	64	123	141	0	0	46	95	0
Precinct 9243	147	148	603	383	0	0	88	295	0
Precinct 9244 - Vote By Mail	144	155	756	396	0	0	97	299	0
Precinct 9244 - Election Day	54	81	154	186	0	0	48	138	3
Precinct 9244	198	236	910	582	0	0	145	437	3
Precinct 9245 - Vote By Mail	111	118	616	300	0	0	71	229	0
Precinct 9245 - Election Day	42	49	98	129	0	0	36	93	2
Precinct 9245	153	167	714	429	0	0	107	322	2
Precinct 9246 - Vote By Mail	162	161	815	430	0	0	107	323	0
Precinct 9246 - Election Day	56	71	155	196	0	0	69	127	0
Precinct 9246	218	232	970	626	0	0	176	450	0
Precinct 9247 - Vote By Mail	157	148	764	381	0	0	76	305	0
Precinct 9247 - Election Day	60	87	148	205	0	0	57	148	1
Precinct 9247	217	235	912	586	0	0	133	453	1
Precinct 9248 - Vote By Mail	126	138	757	358	0	0	94	264	0
Precinct 9248 - Election Day	66	74	150	192	0	1	51	140	0
Precinct 9248	192	212	907	550	0	1	145	404	0
Precinct 9249 - Vote By Mail	150	146	724	379	0	0	83	296	0
Precinct 9249 - Election Day	74	84	191	214	0	0	55	159	1
Precinct 9249	224	230	915	593	0	0	138	455	1
Precinct 9251 - Vote By Mail	156	162	792	392	0	1	73	318	0
Precinct 9251 - Election Day	93	96	174	236	0	0	46	190	1
Precinct 9251	249	258	966	628	0	1	119	508	1
Precinct 9252 - Vote By Mail	161	142	811	382	0	0	79	303	0
Precinct 9252 - Election Day	70	61	142	179	0	0	47	132	1
Precinct 9252	231	203	953	561	0	0	126	435	1
Precinct 9253 - Vote By Mail	128	117	599	300	0	0	55	245	0
Precinct 9253 - Election Day	47	71	162	150	0	0	32	118	0
Precinct 9253	175	188	761	450	0	0	87	363	0
Precinct 9254 - Vote By Mail	154	170	758	415	0	1	90	324	0
Precinct 9254 - Election Day	57	86	163	197	0	0	54	143	0
Precinct 9254	211	256	921	612	0	1	144	467	0
Precinct 9255 - Vote By Mail	59	93	436	196	0	0	44	152	0
Precinct 9255 - Election Day	30	67	114	135	0	0	38	97	0
Precinct 9255	89	160	550	331	0	0	82	249	0
Precinct 9256 - Vote By Mail	59	74	367	169	0	0	36	133	0
Precinct 9256 - Election Day	40	50	95	119	0	0	28	91	1
Precinct 9256	99	124	462	288	0	0	64	224	1
Precinct 9257 MB - Vote By Mail	50	86	359	162	0	0	26	136	0
Precinct 9257 MB - Election Day	2	9	-39	13	0	0	2	11	0
Precinct 9257 MB	52	95	320	175	0	0	28	147	0
Precinct 9258 - Vote By Mail	113	144	583	307	0	0	50	257	0
Precinct 9258 - Election Day	41	72	120	148	0	0	34	114	1
Precinct 9258	154	216	703	455	0	0	84	371	1
Precinct 9401 - Vote By Mail	112	195	796	358	0	1	50	307	0
Precinct 9401 - Election Day	57	127	242	226	0	0	42	184	0
Precinct 9401	169	322	1,038	584	0	1	92	491	0
Precinct 9402 - Vote By Mail	119	195	775	377	0	0	63	314	0
Precinct 9402 - Election Day	69	104	242	207	0	0	34	173	0
Precinct 9402	188	299	1,017	584	0	0	97	487	0
Precinct 9403 - Vote By Mail	116	177	731	348	0	1	54	293	0
Precinct 9403 - Election Day	42	88	190	168	0	0	38	130	0
Precinct 9403	158	265	921	516	0	1	92	423	0
Precinct 9404 - Vote By Mail	112	176	753	345	0	1	56	288	0
Precinct 9404 - Election Day	57	95	191	197	0	0	45	152	0
Precinct 9404	169	271	944	542	0	1	101	440	0
Precinct 9405 - Vote By Mail	106	127	629	276	0	0	43	233	0
Precinct 9405 - Election Day	45	67	151	131	0	0	19	112	0
Precinct 9405	151	194	780	407	0	0	62	345	0
Precinct 9406 - Vote By Mail	110	164	695	330	0	0	56	274	0
Precinct 9406 - Election Day	58	76	188	169	0	0	35	134	0
Precinct 9406	168	240	883	499	0	0	91	408	0
Precinct 9407 - Vote By Mail	112	199	712	368	0	0	57	311	0
Precinct 9407 - Election Day	51	86	201	174	0	0	37	137	0
Precinct 9407	163	285	913	542	0	0	94	448	0
Precinct 9408 - Vote By Mail	95	173	711	321	0	0	53	268	0
Precinct 9408 - Election Day	49	93	152	171	0	0	27	144	2
Precinct 9408	144	266	863	492	0	0	80	412	2
Precinct 9409 - Vote By Mail	88	93	443	226	0	0	45	181	0
Precinct 9409 - Election Day	51	77	158	146	0	0	18	128	0
Precinct 9409	139	170	601	372	0	0	63	309	0
Precinct 9411 - Vote By Mail	122	196	816	378	0	2	58	318	0
Precinct 9411 - Election Day	50	120	191	212	0	0	42	170	0
Precinct 9411	172	316	1,007	590	0	2	100	488	0
Precinct 9412 - Vote By Mail	134	153	668	339	0	0	52	287	0
Precinct 9412 - Election Day	53	98	202	186	0	0	32	154	3
Precinct 9412	187	251	870	525	0	0	84	441	3
Precinct 9413 - Vote By Mail	130	167	757	375	0	0	78	297	0
Precinct 9413 - Election Day	44	86	179	170	0	0	39	131	1
Precinct 9413	174	253	936	545	0	0	117	428	1
Precinct 9414 - Vote By Mail	115	183	734	361	0	0	63	298	0
Precinct 9414 - Election Day	49	60	186	142	0	0	33	109	0
Precinct 9414	164	243	920	503	0	0	96	407	0
Precinct 9415 - Vote By Mail	121	143	634	315	0	1	50	264	0
Precinct 9415 - Election Day	41	65	154	135	0	0	29	106	0
Precinct 9415	162	208	788	450	0	1	79	370	0
Precinct 9416 - Vote By Mail	148	166	769	391	0	2	75	314	0
Precinct 9416 - Election Day	60	66	230	151	0	0	25	126	0
Precinct 9416	208	232	999	542	0	2	100	440	0
Precinct 9417 - Vote By Mail	115	154	629	321	0	0	52	269	0
Precinct 9417 - Election Day	41	66	145	125	0	0	18	107	0
Precinct 9417	156	220	774	446	0	0	70	376	0
Precinct 9418 - Vote By Mail	122	123	631	310	0	0	65	245	0
Precinct 9418 - Election Day	34	77	188	141	0	0	30	111	0
Precinct 9418	156	200	819	451	0	0	95	356	0
Precinct 9419 - Vote By Mail	131	176	736	369	0	1	61	307	0
Precinct 9419 - Election Day	55	58	173	140	0	0	27	113	0
Precinct 9419	186	234	909	509	0	1	88	420	0
Precinct 9421 - Vote By Mail	113	157	752	338	0	0	68	270	0
Precinct 9421 - Election Day	50	73	173	154	0	0	30	124	1
Precinct 9421	163	230	925	492	0	0	98	394	1
Precinct 9422 - Vote By Mail	136	196	831	413	0	0	81	332	0
Precinct 9422 - Election Day	53	119	270	209	0	0	37	172	0
Precinct 9422	189	315	1,101	622	0	0	118	504	0
Precinct 9423 - Vote By Mail	116	143	714	316	0	0	57	259	0
Precinct 9423 - Election Day	56	75	190	158	0	0	25	133	2
Precinct 9423	172	218	904	474	0	0	82	392	2
Precinct 9424 - Vote By Mail	137	187	799	385	0	0	61	324	0
Precinct 9424 - Election Day	42	83	210	154	0	0	29	125	0
Precinct 9424	179	270	1,009	539	0	0	90	449	0
Precinct 9425 - Vote By Mail	128	166	789	346	0	0	52	294	0
Precinct 9425 - Election Day	41	92	187	171	0	1	36	134	1
Precinct 9425	169	258	976	517	0	1	88	428	1
Precinct 9426 - Vote By Mail	102	159	697	324	0	0	63	261	0
Precinct 9426 - Election Day	41	61	156	139	0	0	37	102	0
Precinct 9426	143	220	853	463	0	0	100	363	0
Precinct 9427 - Vote By Mail	156	166	799	383	0	0	61	322	0
Precinct 9427 - Election Day	41	63	188	149	0	0	44	105	1
Precinct 9427	197	229	987	532	0	0	105	427	1
Precinct 9428 - Vote By Mail	131	166	811	351	0	0	54	297	0
Precinct 9428 - Election Day	31	76	179	144	0	0	37	107	0
Precinct 9428	162	242	990	495	0	0	91	404	0
Precinct 9429 - Vote By Mail	123	165	709	343	0	0	55	288	0
Precinct 9429 - Election Day	51	65	197	146	0	0	30	116	0
Precinct 9429	174	230	906	489	0	0	85	404	0
Precinct 9431 - Vote By Mail	166	176	832	412	0	1	69	342	0
Precinct 9431 - Election Day	60	77	204	171	0	0	34	137	0
Precinct 9431	226	253	1,036	583	0	1	103	479	0
Precinct 9432 - Vote By Mail	147	145	743	358	0	0	66	292	0
Precinct 9432 - Election Day	45	61	215	136	0	0	30	106	0
Precinct 9432	192	206	958	494	0	0	96	398	0
Precinct 9433 - Vote By Mail	110	176	794	373	0	0	87	286	0
Precinct 9433 - Election Day	33	56	164	124	0	0	32	92	3
Precinct 9433	143	232	958	497	0	0	119	378	3
Precinct 9434 - Vote By Mail	171	158	785	387	0	0	58	329	0
Precinct 9434 - Election Day	71	85	227	210	0	0	54	156	0
Precinct 9434	242	243	1,012	597	0	0	112	485	0
Precinct 9435 - Vote By Mail	122	166	779	366	0	0	78	288	0
Precinct 9435 - Election Day	64	84	225	186	0	0	37	149	1
Precinct 9435	186	250	1,004	552	0	0	115	437	1
Precinct 9436 - Vote By Mail	134	182	842	386	0	3	67	316	0
Precinct 9436 - Election Day	52	73	226	149	0	0	23	126	1
Precinct 9436	186	255	1,068	535	0	3	90	442	1
Precinct 9437 - Vote By Mail	142	170	736	376	0	1	63	312	0
Precinct 9437 - Election Day	52	71	191	149	0	0	26	123	0
Precinct 9437	194	241	927	525	0	1	89	435	0
Precinct 9438 - Vote By Mail	188	162	837	419	0	0	69	350	0
Precinct 9438 - Election Day	36	53	152	108	0	0	18	90	1
Precinct 9438	224	215	989	527	0	0	87	440	1
Precinct 9439 - Vote By Mail	132	151	718	343	0	1	59	283	0
Precinct 9439 - Election Day	52	59	199	141	0	0	30	111	0
Precinct 9439	184	210	917	484	0	1	89	394	0
Precinct 9441 - Vote By Mail	128	192	778	396	0	0	76	320	0
Precinct 9441 - Election Day	40	90	193	166	0	0	36	130	0
Precinct 9441	168	282	971	562	0	0	112	450	0
Precinct 9442 - Vote By Mail	118	192	830	379	0	0	69	310	0
Precinct 9442 - Election Day	70	106	210	212	0	0	36	176	0
Precinct 9442	188	298	1,040	591	0	0	105	486	0
Precinct 9443 - Vote By Mail	119	192	759	362	0	0	51	311	0
Precinct 9443 - Election Day	48	74	196	152	0	0	29	123	1
Precinct 9443	167	266	955	514	0	0	80	434	1
Precinct 9444 - Vote By Mail	152	134	768	340	0	0	54	286	0
Precinct 9444 - Election Day	51	46	197	134	0	0	37	97	0
Precinct 9444	203	180	965	474	0	0	91	383	0
Precinct 9445 - Vote By Mail	148	179	829	406	0	0	79	327	0
Precinct 9445 - Election Day	42	83	167	147	0	0	21	126	1
Precinct 9445	190	262	996	553	0	0	100	453	1
Precinct 9446 - Vote By Mail	165	216	900	465	0	1	83	381	0
