Subtotal Area	JOEL VENTRESCA	WILMA PANG	ROBERT L. JORDAN, JR.	PAUL YBARRA ROBERTSON	ELLEN LEE ZHOU	LONDON N. BREED	MARC ROTH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
Precinct 7708	45	15	4	22	38	300	0	881	474	0	0	50	0	424	0
Precinct 7709 - Election Day	12	0	0	4	5	42	0	395	75	0	0	12	0	63	0
Precinct 7709 - Vote By Mail	19	2	2	6	13	77	1	395	149	0	1	28	0	120	1
Precinct 7709	31	2	2	10	18	119	1	395	224	0	1	40	0	183	1
Precinct 7712/7711 - Election Day	25	7	2	3	15	119	0	1,308	198	0	0	27	0	171	0
Precinct 7712/7711 - Vote By Mail	22	15	3	11	45	277	0	1,308	453	0	3	77	0	373	0
Precinct 7712/7711	47	22	5	14	60	396	0	1,308	651	0	3	104	0	544	0
Precinct 7801 - Election Day	12	2	1	10	8	88	0	968	138	0	0	17	0	121	0
Precinct 7801 - Vote By Mail	21	7	1	10	20	247	0	968	365	0	0	59	0	306	0
Precinct 7801	33	9	2	20	28	335	0	968	503	0	0	76	0	427	0
Precinct 7802 - Election Day	8	3	1	3	0	87	0	788	131	0	0	29	0	102	0
Precinct 7802 - Vote By Mail	11	6	2	6	9	200	0	788	275	0	0	41	0	234	0
Precinct 7802	19	9	3	9	9	287	0	788	406	0	0	70	0	336	0
Precinct 7803 - Election Day	4	5	0	3	4	52	0	822	85	0	1	16	0	68	0
Precinct 7803 - Vote By Mail	20	9	3	13	23	246	0	822	373	0	1	58	0	314	0
Precinct 7803	24	14	3	16	27	298	0	822	458	0	2	74	0	382	0
Precinct 7805/7804 - Election Day	23	6	1	9	10	190	0	1,683	283	0	0	44	0	239	0
Precinct 7805/7804 - Vote By Mail	45	5	3	13	24	445	0	1,683	632	0	0	97	0	535	0
Precinct 7805/7804	68	11	4	22	34	635	0	1,683	915	0	0	141	0	774	0
Precinct 7807 - Election Day	11	7	3	5	4	89	0	796	155	0	0	36	0	119	0
Precinct 7807 - Vote By Mail	16	8	2	7	12	165	0	796	243	0	0	33	0	210	0
Precinct 7807	27	15	5	12	16	254	0	796	398	0	0	69	0	329	0
Precinct 7808/7806 - Election Day	17	9	4	9	8	147	0	1,377	244	0	0	50	0	194	0
Precinct 7808/7806 - Vote By Mail	26	4	0	11	27	300	0	1,377	461	0	0	93	0	368	0
Precinct 7808/7806	43	13	4	20	35	447	0	1,377	705	0	0	143	0	562	0
Precinct 7809 - Election Day	10	7	1	2	4	73	0	770	112	0	0	15	0	97	0
Precinct 7809 - Vote By Mail	13	4	2	4	12	173	0	770	249	0	0	41	0	208	0
Precinct 7809	23	11	3	6	16	246	0	770	361	0	0	56	0	305	0
Precinct 7811 - Election Day	4	4	1	1	10	74	0	726	126	0	0	32	0	94	0
Precinct 7811 - Vote By Mail	14	5	4	4	9	120	0	726	199	0	1	42	0	156	0
Precinct 7811	18	9	5	5	19	194	0	726	325	0	1	74	0	250	0
Precinct 7812 - Election Day	10	8	1	3	9	74	0	871	132	0	1	26	0	105	0
Precinct 7812 - Vote By Mail	10	6	2	5	21	193	0	871	285	0	0	48	0	237	0
Precinct 7812	20	14	3	8	30	267	0	871	417	0	1	74	0	342	0
Precinct 7813 - Election Day	16	5	2	6	10	99	0	1,037	179	0	0	41	0	138	0
Precinct 7813 - Vote By Mail	18	5	1	9	23	231	0	1,037	347	0	0	60	0	287	0
Precinct 7813	34	10	3	15	33	330	0	1,037	526	0	0	101	0	425	0
Precinct 7814 - Election Day	8	6	2	3	10	64	0	887	122	0	2	27	0	93	0
Precinct 7814 - Vote By Mail	15	8	1	5	14	142	0	887	215	0	3	27	0	185	0
Precinct 7814	23	14	3	8	24	206	0	887	337	0	5	54	0	278	0
Precinct 7815/7816 - Election Day	21	4	3	8	10	149	0	1,779	231	0	1	35	0	195	0
Precinct 7815/7816 - Vote By Mail	41	9	1	24	30	468	0	1,779	662	0	0	89	0	573	0
Precinct 7815/7816	62	13	4	32	40	617	0	1,779	893	0	1	124	0	768	0
Precinct 7817/7818 - Election Day	29	7	3	7	14	179	0	1,641	291	0	1	51	0	239	0
Precinct 7817/7818 - Vote By Mail	41	17	6	13	27	371	0	1,641	586	0	0	111	0	475	0
Precinct 7817/7818	70	24	9	20	41	550	0	1,641	877	0	1	162	0	714	0
Precinct 7819/7827 - Election Day	23	13	6	5	22	95	0	1,585	230	0	1	65	0	164	0
Precinct 7819/7827 - Vote By Mail	41	20	4	9	33	316	0	1,585	500	0	1	76	0	423	0
Precinct 7819/7827	64	33	10	14	55	411	0	1,585	730	0	2	141	0	587	0
Precinct 7821 - Election Day	10	7	2	4	9	103	0	965	168	0	0	33	0	135	0
Precinct 7821 - Vote By Mail	24	6	3	13	18	234	0	965	372	0	0	74	0	298	0
Precinct 7821	34	13	5	17	27	337	0	965	540	0	0	107	0	433	0
Precinct 7822/7823 - Election Day	22	11	1	9	23	186	0	1,748	322	0	0	70	0	252	0
Precinct 7822/7823 - Vote By Mail	41	9	2	23	33	415	0	1,748	625	0	1	101	0	523	0
Precinct 7822/7823	63	20	3	32	56	601	0	1,748	947	0	1	171	0	775	0
Precinct 7824/7825 - Election Day	22	6	2	4	11	155	0	1,353	243	0	0	43	0	200	0
Precinct 7824/7825 - Vote By Mail	25	7	0	14	16	282	0	1,353	417	0	1	72	0	344	0
Precinct 7824/7825	47	13	2	18	27	437	0	1,353	660	0	1	115	0	544	0
Precinct 7826 - Election Day	9	6	0	6	10	77	0	661	140	0	0	32	0	108	0
Precinct 7826 - Vote By Mail	12	2	2	6	15	105	0	661	175	0	0	33	0	142	0
Precinct 7826	21	8	2	12	25	182	0	661	315	0	0	65	0	250	0
Precinct 7828 - Election Day	12	2	0	3	6	91	0	997	132	0	0	18	0	114	0
Precinct 7828 - Vote By Mail	28	7	5	7	15	226	0	997	326	0	0	38	0	288	0
Precinct 7828	40	9	5	10	21	317	0	997	458	0	0	56	0	402	0
Precinct 7829 - Election Day	9	4	0	2	7	94	0	884	134	0	0	18	0	116	0
Precinct 7829 - Vote By Mail	28	4	0	7	20	238	0	884	346	0	2	47	0	297	0
Precinct 7829	37	8	0	9	27	332	0	884	480	0	2	65	0	413	0
Precinct 7832 - Election Day	8	2	0	3	5	63	0	773	103	0	0	22	0	81	0
Precinct 7832 - Vote By Mail	14	8	1	7	17	204	0	773	291	0	0	40	0	251	0
Precinct 7832	22	10	1	10	22	267	0	773	394	0	0	62	0	332	0
Precinct 7834/7833 - Election Day	16	14	6	10	27	133	0	1,593	279	0	0	73	0	206	0
Precinct 7834/7833 - Vote By Mail	36	14	1	6	26	293	0	1,593	473	0	1	96	0	376	0
Precinct 7834/7833	52	28	7	16	53	426	0	1,593	752	0	1	169	0	582	0
Precinct 7835 - Election Day	7	5	1	1	5	65	0	847	97	0	1	12	0	84	0
Precinct 7835 - Vote By Mail	20	7	4	17	18	193	0	847	289	0	0	30	0	259	0
Precinct 7835	27	12	5	18	23	258	0	847	386	0	1	42	0	343	0
Precinct 7836 - Election Day	14	6	0	3	8	88	0	1,011	131	0	0	12	0	119	0
Precinct 7836 - Vote By Mail	31	8	4	16	20	252	0	1,011	374	0	0	43	0	331	0
Precinct 7836	45	14	4	19	28	340	0	1,011	505	0	0	55	0	450	0
Precinct 7837/7838 - Election Day	12	10	1	7	9	200	0	1,784	281	0	0	42	0	239	0
Precinct 7837/7838 - Vote By Mail	38	8	3	22	23	489	0	1,784	675	0	0	92	0	583	0
Precinct 7837/7838	50	18	4	29	32	689	0	1,784	956	0	0	134	0	822	0
Precinct 7839/7831 - Election Day	13	7	1	11	14	139	0	1,718	238	0	0	53	0	185	0
Precinct 7839/7831 - Vote By Mail	50	16	3	15	25	463	0	1,718	681	0	0	109	0	572	0
Precinct 7839/7831	63	23	4	26	39	602	0	1,718	919	0	0	162	0	757	0
Precinct 7841/7842 - Election Day	20	12	4	12	14	197	0	1,778	331	0	0	72	0	259	0
Precinct 7841/7842 - Vote By Mail	35	8	3	14	18	377	0	1,778	561	0	1	105	0	455	0
Precinct 7841/7842	55	20	7	26	32	574	0	1,778	892	0	1	177	0	714	0
Precinct 7843 - Election Day	9	6	2	2	10	80	0	719	148	0	0	39	0	109	0
Precinct 7843 - Vote By Mail	12	3	2	2	13	152	0	719	225	0	1	40	0	184	0
Precinct 7843	21	9	4	4	23	232	0	719	373	0	1	79	0	293	0
Precinct 7844 - Election Day	8	4	1	5	2	64	0	630	105	0	0	21	0	84	0
Precinct 7844 - Vote By Mail	7	4	1	5	13	116	0	630	199	0	0	53	0	146	0
Precinct 7844	15	8	2	10	15	180	0	630	304	0	0	74	0	230	0
Precinct 7845 - Election Day	10	7	0	9	6	86	0	870	137	0	0	19	0	118	0
Precinct 7845 - Vote By Mail	33	8	0	4	17	210	0	870	298	0	2	24	0	272	0
Precinct 7845	43	15	0	13	23	296	0	870	435	0	2	43	0	390	0
Precinct 7846 - Election Day	10	7	2	3	10	75	0	888	122	0	1	14	0	107	0
Precinct 7846 - Vote By Mail	19	2	2	6	17	224	0	888	306	0	0	36	0	270	0
Precinct 7846	29	9	4	9	27	299	0	888	428	0	1	50	0	377	0
Precinct 7847/7848 - Election Day	28	6	3	9	17	162	0	1,718	274	0	0	49	0	225	0
Precinct 7847/7848 - Vote By Mail	35	2	2	13	25	411	0	1,718	593	0	1	104	0	488	0
Precinct 7847/7848	63	8	5	22	42	573	0	1,718	867	0	1	153	0	713	0
Precinct 7849 - Election Day	7	7	2	6	6	105	0	887	165	0	0	32	0	133	0
Precinct 7849 - Vote By Mail	11	6	1	11	16	214	0	887	312	0	0	53	0	259	0
Precinct 7849	18	13	3	17	22	319	0	887	477	0	0	85	0	392	0
Precinct 7852/7851 - Election Day	9	5	2	6	14	100	0	1,153	158	0	0	22	0	136	0
Precinct 7852/7851 - Vote By Mail	30	19	0	14	45	331	0	1,153	478	0	2	37	0	439	0
Precinct 7852/7851	39	24	2	20	59	431	0	1,153	636	0	2	59	0	575	0
Precinct 7853/7859 - Election Day	15	11	1	7	14	147	0	1,736	230	0	0	35	0	195	0
Precinct 7853/7859 - Vote By Mail	37	14	4	19	27	438	0	1,736	603	0	3	61	0	539	0
Precinct 7853/7859	52	25	5	26	41	585	0	1,736	833	0	3	96	0	734	0
Precinct 7854 - Election Day	12	5	2	3	6	73	0	866	127	0	0	26	0	101	0
Precinct 7854 - Vote By Mail	15	3	2	12	18	210	0	866	314	0	1	53	0	260	0
Precinct 7854	27	8	4	15	24	283	0	866	441	0	1	79	0	361	0
Precinct 7855/7856 - Election Day	19	13	1	10	8	199	0	1,775	307	0	0	57	0	250	0
Precinct 7855/7856 - Vote By Mail	51	16	3	14	22	417	0	1,775	596	0	0	73	0	523	0
Precinct 7855/7856	70	29	4	24	30	616	0	1,775	903	0	0	130	0	773	0
Precinct 7858/7857 - Election Day	17	7	0	7	14	135	0	1,646	251	0	1	70	0	180	0
Precinct 7858/7857 - Vote By Mail	23	10	3	20	25	338	0	1,646	530	0	2	109	0	419	0
Precinct 7858/7857	40	17	3	27	39	473	0	1,646	781	0	3	179	0	599	0
Precinct 7861 - Election Day	5	1	1	4	11	76	0	854	131	0	0	33	0	98	0
Precinct 7861 - Vote By Mail	17	5	0	11	21	212	0	854	311	0	0	45	0	266	0
Precinct 7861	22	6	1	15	32	288	0	854	442	0	0	78	0	364	0
Precinct 7862 - Election Day	16	2	3	1	8	104	0	857	155	0	0	21	0	134	0
Precinct 7862 - Vote By Mail	19	4	0	7	14	190	0	857	275	0	0	41	0	234	0
Precinct 7862	35	6	3	8	22	294	0	857	430	0	0	62	0	368	0
Precinct 7863 - Election Day	9	9	4	10	12	84	0	881	155	0	0	27	0	128	0
Precinct 7863 - Vote By Mail	7	8	4	6	11	176	0	881	264	0	1	51	0	212	0
Precinct 7863	16	17	8	16	23	260	0	881	419	0	1	78	0	340	0
Precinct 7864 - Election Day	8	3	1	6	7	82	0	804	127	0	0	20	0	107	0
Precinct 7864 - Vote By Mail	19	4	1	6	18	173	0	804	267	0	0	46	0	221	0
Precinct 7864	27	7	2	12	25	255	0	804	394	0	0	66	0	328	0
Precinct 7866 - Election Day	7	3	1	3	14	87	0	822	129	0	0	14	0	115	0
Precinct 7866 - Vote By Mail	15	17	6	12	48	224	0	822	357	0	1	34	0	322	0
Precinct 7866	22	20	7	15	62	311	0	822	486	0	1	48	0	437	0
Precinct 7867 - Election Day	7	4	0	6	6	108	0	969	149	0	0	18	0	131	0
Precinct 7867 - Vote By Mail	32	10	1	6	13	251	0	969	365	0	0	52	0	313	0
Precinct 7867	39	14	1	12	19	359	0	969	514	0	0	70	0	444	0
Precinct 7868 - Election Day	11	5	3	3	8	107	0	870	151	0	1	13	0	137	0
Precinct 7868 - Vote By Mail	11	9	3	21	17	182	0	870	267	0	1	23	0	243	0
Precinct 7868	22	14	6	24	25	289	0	870	418	0	2	36	0	380	0
Precinct 7869 - Election Day	11	4	1	4	1	103	0	863	146	0	0	22	0	124	0
Precinct 7869 - Vote By Mail	29	8	2	16	14	215	0	863	355	0	0	71	0	284	0
Precinct 7869	40	12	3	20	15	318	0	863	501	0	0	93	0	408	0
Precinct 7871 - Election Day	10	3	2	4	11	99	0	877	151	0	1	21	0	129	0
Precinct 7871 - Vote By Mail	23	5	3	5	9	221	0	877	303	0	0	37	0	266	0
Precinct 7871	33	8	5	9	20	320	0	877	454	0	1	58	0	395	0
Precinct 7872 - Election Day	19	7	0	2	2	98	0	863	157	0	0	29	0	128	0
Precinct 7872 - Vote By Mail	28	6	1	10	9	236	0	863	332	0	1	41	0	290	0
Precinct 7872	47	13	1	12	11	334	0	863	489	0	1	70	0	418	0
Precinct 7873/7865 - Election Day	24	8	4	11	14	160	0	1,688	279	0	0	58	0	221	0
Precinct 7873/7865 - Vote By Mail	29	15	2	17	31	427	0	1,688	618	0	0	97	0	521	0
Precinct 7873/7865	53	23	6	28	45	587	0	1,688	897	0	0	155	0	742	0
Precinct 7874 - Election Day	4	1	2	1	5	40	0	474	67	0	0	14	0	53	0
Precinct 7874 - Vote By Mail	16	2	1	4	7	91	0	474	143	0	0	22	0	121	0
Precinct 7874	20	3	3	5	12	131	0	474	210	0	0	36	0	174	0
Precinct 7875 - Election Day	5	7	1	4	3	45	0	624	82	0	0	17	0	65	0
Precinct 7875 - Vote By Mail	10	2	4	6	24	102	0	624	179	0	0	31	0	148	0
Precinct 7875	15	9	5	10	27	147	0	624	261	0	0	48	0	213	0
Precinct 7876 - Election Day	4	2	0	2	8	43	0	523	68	0	0	9	0	59	0
Precinct 7876 - Vote By Mail	14	4	2	4	11	120	0	523	182	0	0	27	0	155	0
Precinct 7876	18	6	2	6	19	163	0	523	250	0	0	36	0	214	0
Precinct 7902/7904 - Election Day	12	9	2	6	12	112	0	1,729	212	0	0	59	0	153	0
Precinct 7902/7904 - Vote By Mail	26	9	7	10	35	231	0	1,729	392	0	3	71	0	318	0
Precinct 7902/7904	38	18	9	16	47	343	0	1,729	604	0	3	130	0	471	0
Precinct 7903 - Election Day	4	7	7	3	6	56	0	826	112	0	1	28	0	83	0
Precinct 7903 - Vote By Mail	19	3	4	5	24	125	0	826	219	0	0	39	0	180	0
Precinct 7903	23	10	11	8	30	181	0	826	331	0	1	67	0	263	0
Precinct 7905 - Election Day	4	9	3	8	10	69	0	880	135	0	0	32	0	103	0
Precinct 7905 - Vote By Mail	23	2	5	10	27	152	0	880	263	0	2	42	0	219	0
Precinct 7905	27	11	8	18	37	221	0	880	398	0	2	74	0	322	0
Precinct 7906 - Election Day	7	4	3	2	2	48	0	757	104	0	1	37	0	66	0
Precinct 7906 - Vote By Mail	10	1	2	2	12	114	0	757	174	0	0	33	0	141	0
Precinct 7906	17	5	5	4	14	162	0	757	278	0	1	70	0	207	0
Precinct 7908/7907 - Election Day	15	10	7	5	15	129	3	1,907	267	0	1	82	0	184	3
Precinct 7908/7907 - Vote By Mail	34	7	10	14	38	325	0	1,907	514	0	1	85	0	428	0
Precinct 7908/7907	49	17	17	19	53	454	3	1,907	781	0	2	167	0	612	3
Precinct 7909 - Election Day	15	4	3	1	4	57	0	718	120	0	0	36	0	84	0
Precinct 7909 - Vote By Mail	11	3	3	4	8	125	0	718	198	0	0	44	0	154	0
Precinct 7909	26	7	6	5	12	182	0	718	318	0	0	80	0	238	0
Precinct 7911 - Election Day	7	3	2	3	7	67	0	845	122	0	0	33	0	89	0
Precinct 7911 - Vote By Mail	20	1	1	4	13	115	0	845	197	0	0	43	0	154	0
Precinct 7911	27	4	3	7	20	182	0	845	319	0	0	76	0	243	0
Precinct 7912/7913 - Election Day	30	11	6	11	18	149	0	1,940	319	0	0	94	0	225	0
Precinct 7912/7913 - Vote By Mail	42	8	9	16	23	295	0	1,940	488	0	0	95	0	393	0
Precinct 7912/7913	72	19	15	27	41	444	0	1,940	807	0	0	189	0	618	0
Precinct 7915/7914 - Election Day	16	13	10	4	13	152	0	1,692	283	0	1	74	0	208	0
Precinct 7915/7914 - Vote By Mail	21	5	5	11	18	271	0	1,692	427	0	2	94	0	331	0
Precinct 7915/7914	37	18	15	15	31	423	0	1,692	710	0	3	168	0	539	0
Precinct 7916 - Election Day	8	6	3	1	13	72	0	842	145	0	0	42	0	103	0
Precinct 7916 - Vote By Mail	19	3	7	1	12	140	0	842	236	0	0	54	0	182	0
Precinct 7916	27	9	10	2	25	212	0	842	381	0	0	96	0	285	0
Precinct 7917/7919 - Election Day	32	7	12	6	17	130	0	1,823	298	0	4	90	0	204	0
Precinct 7917/7919 - Vote By Mail	32	7	9	9	30	266	0	1,823	461	0	4	104	0	353	0
Precinct 7917/7919	64	14	21	15	47	396	0	1,823	759	0	8	194	0	557	0
Precinct 7918 - Election Day	11	5	1	4	8	60	0	798	129	0	0	40	0	89	0
Precinct 7918 - Vote By Mail	15	5	1	3	4	130	0	798	194	0	0	36	0	158	0
Precinct 7918	26	10	2	7	12	190	0	798	323	0	0	76	0	247	0
Precinct 7921/7922 - Election Day	21	6	2	7	12	117	0	1,729	219	0	1	53	0	165	0
Precinct 7921/7922 - Vote By Mail	37	7	14	6	33	250	0	1,729	436	0	1	88	0	347	0
Precinct 7921/7922	58	13	16	13	45	367	0	1,729	655	0	2	141	0	512	0
Precinct 7923/7924 - Election Day	18	6	4	9	11	109	0	1,708	233	0	0	76	0	157	0
Precinct 7923/7924 - Vote By Mail	41	11	7	16	42	235	0	1,708	432	0	0	80	0	352	0
Precinct 7923/7924	59	17	11	25	53	344	0	1,708	665	0	0	156	0	509	0
Precinct 7925 - Election Day	7	2	2	1	3	33	0	530	74	0	0	26	0	48	0
Precinct 7925 - Vote By Mail	12	2	4	6	6	92	0	530	165	0	1	42	0	122	0
Precinct 7925	19	4	6	7	9	125	0	530	239	0	1	68	0	170	0
Precinct 7926 - Election Day	5	7	1	3	7	85	0	783	143	0	0	35	0	108	0
Precinct 7926 - Vote By Mail	19	3	3	10	10	131	0	783	233	0	1	56	0	176	0
Precinct 7926	24	10	4	13	17	216	0	783	376	0	1	91	0	284	0
Precinct 7928/7927 - Election Day	24	10	8	4	19	170	0	1,661	310	0	1	74	0	235	0
Precinct 7928/7927 - Vote By Mail	52	4	6	15	24	324	0	1,661	532	0	0	107	0	425	0
Precinct 7928/7927	76	14	14	19	43	494	0	1,661	842	0	1	181	0	660	0
Precinct 7929 - Election Day	4	3	2	3	12	97	0	830	151	0	0	30	0	121	0
Precinct 7929 - Vote By Mail	21	4	6	6	9	218	0	830	311	0	1	46	0	264	0
Precinct 7929	25	7	8	9	21	315	0	830	462	0	1	76	0	385	0
Precinct 7931 - Election Day	9	2	1	4	1	82	0	742	116	0	1	16	0	99	0
Precinct 7931 - Vote By Mail	15	5	1	8	9	181	0	742	284	0	0	65	0	219	0
Precinct 7931	24	7	2	12	10	263	0	742	400	0	1	81	0	318	0
Precinct 7932 - Election Day	8	0	1	2	4	56	0	547	84	0	0	13	0	71	0
Precinct 7932 - Vote By Mail	17	3	1	2	13	113	0	547	177	0	0	28	0	149	0
Precinct 7932	25	3	2	4	17	169	0	547	261	0	0	41	0	220	0
Precinct 7933 MB - Election Day	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Precinct 7933 MB - Vote By Mail	0	0	0	0	1	3	0	7	4	0	0	0	0	4	0
Precinct 7933 MB	0	0	0	0	1	3	0	7	4	0	0	0	0	4	0
Precinct 7934 - Election Day	11	4	3	3	12	63	0	866	125	0	0	29	0	96	0
Precinct 7934 - Vote By Mail	30	3	5	7	14	175	0	866	304	0	1	69	0	234	0
Precinct 7934	41	7	8	10	26	238	0	866	429	0	1	98	0	330	0
Precinct 7935 - Election Day	14	4	2	5	11	98	0	927	173	0	0	39	0	134	0
Precinct 7935 - Vote By Mail	28	7	2	7	7	202	0	927	310	0	0	57	0	253	0
Precinct 7935	42	11	4	12	18	300	0	927	483	0	0	96	0	387	0
Precinct 7936/7939 - Election Day	16	12	5	4	18	195	0	1,508	340	0	2	88	0	250	0
Precinct 7936/7939 - Vote By Mail	30	7	8	8	17	297	0	1,508	452	0	1	84	0	367	0
Precinct 7936/7939	46	19	13	12	35	492	0	1,508	792	0	3	172	0	617	0
Precinct 7937 - Election Day	8	8	2	3	6	90	0	899	155	0	0	38	0	117	0
Precinct 7937 - Vote By Mail	19	5	3	8	14	202	0	899	300	0	0	49	0	251	0
Precinct 7937	27	13	5	11	20	292	0	899	455	0	0	87	0	368	0
Precinct 7938 - Election Day	1	3	4	2	5	74	0	758	114	0	0	25	0	89	0
Precinct 7938 - Vote By Mail	13	0	1	4	18	118	0	758	203	0	0	49	0	154	0
Precinct 7938	14	3	5	6	23	192	0	758	317	0	0	74	0	243	0
Precinct 7941 - Election Day	3	5	3	1	5	76	0	752	117	0	0	24	0	93	0
Precinct 7941 - Vote By Mail	9	10	3	11	12	135	0	752	223	0	0	43	0	180	0
Precinct 7941	12	15	6	12	17	211	0	752	340	0	0	67	0	273	0
Precinct 7942 - Election Day	10	1	3	5	9	51	0	923	92	0	0	13	0	79	0
Precinct 7942 - Vote By Mail	21	6	3	15	27	165	0	923	267	0	1	29	0	237	0
Precinct 7942	31	7	6	20	36	216	0	923	359	0	1	42	0	316	0
Precinct 7943/7944 - Election Day	14	3	6	10	19	155	0	1,675	262	0	1	54	0	207	0
Precinct 7943/7944 - Vote By Mail	33	6	5	21	38	338	0	1,675	514	0	2	71	0	441	0
Precinct 7943/7944	47	9	11	31	57	493	0	1,675	776	0	3	125	0	648	0
Precinct 7945 - Election Day	6	1	2	3	2	42	0	940	67	0	0	11	0	56	0
Precinct 7945 - Vote By Mail	23	5	7	8	15	170	0	940	264	0	0	36	0	228	0
Precinct 7945	29	6	9	11	17	212	0	940	331	0	0	47	0	284	0
Precinct 7946/7949 - Election Day	4	6	4	3	19	79	0	1,553	132	0	0	17	0	115	0
Precinct 7946/7949 - Vote By Mail	27	8	15	22	120	238	0	1,553	470	0	2	38	0	430	0
Precinct 7946/7949	31	14	19	25	139	317	0	1,553	602	0	2	55	0	545	0
Precinct 7947 - Election Day	3	2	3	5	12	37	0	960	71	0	0	9	0	62	0
Precinct 7947 - Vote By Mail	10	7	11	13	91	137	0	960	290	0	1	20	0	269	0
Precinct 7947	13	9	14	18	103	174	0	960	361	0	1	29	0	331	0
Precinct 7948 - Election Day	14	0	2	4	11	46	0	918	94	0	0	17	0	77	0
Precinct 7948 - Vote By Mail	12	2	9	9	59	169	0	918	291	0	0	31	0	260	0
Precinct 7948	26	2	11	13	70	215	0	918	385	0	0	48	0	337	0
Precinct 7951/7955 - Election Day	11	3	2	5	20	86	0	1,818	138	0	0	11	0	127	0
Precinct 7951/7955 - Vote By Mail	34	16	18	26	186	263	0	1,818	589	0	2	44	0	543	0
Precinct 7951/7955	45	19	20	31	206	349	0	1,818	727	0	2	55	0	670	0
Precinct 7953 - Election Day	2	3	2	4	12	48	0	824	83	0	1	11	0	71	0
Precinct 7953 - Vote By Mail	14	4	12	10	48	143	0	824	245	0	3	11	0	231	0
Precinct 7953	16	7	14	14	60	191	0	824	328	0	4	22	0	302	0
Precinct 7954 MB - Election Day	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Precinct 7954 MB - Vote By Mail	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0
Precinct 7954 MB	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0
Precinct 7956/7952 - Election Day	10	5	6	4	27	56	0	1,759	120	0	0	12	0	108	0
Precinct 7956/7952 - Vote By Mail	23	10	11	12	163	208	0	1,759	461	0	3	31	0	427	0
Precinct 7956/7952	33	15	17	16	190	264	0	1,759	581	0	3	43	0	535	0
Precinct 7957 - Election Day	5	1	4	0	6	48	0	665	74	0	0	10	0	64	0
Precinct 7957 - Vote By Mail	15	0	2	6	32	132	0	665	209	0	0	22	0	187	0
Precinct 7957	20	1	6	6	38	180	0	665	283	0	0	32	0	251	0
Precinct 7958 MB - Election Day	0	0	1	0	1	2	0	301	6	0	0	2	0	4	0
Precinct 7958 MB - Vote By Mail	0	1	3	4	31	40	0	301	91	0	2	10	0	79	0
Precinct 7958 MB	0	1	4	4	32	42	0	301	97	0	2	12	0	83	0
Precinct 7959/7901 - Election Day	8	5	4	2	11	70	0	1,198	127	0	0	27	0	100	0
Precinct 7959/7901 - Vote By Mail	17	1	6	14	17	181	0	1,198	277	0	4	37	0	236	0
Precinct 7959/7901	25	6	10	16	28	251	0	1,198	404	0	4	64	0	336	0
Precinct 9001 MB - Election Day	0	0	0	0	0	2	0	286	3	0	0	1	0	2	0
Precinct 9001 MB - Vote By Mail	7	3	1	2	14	58	0	286	90	0	0	5	0	85	0
Precinct 9001 MB	7	3	1	2	14	60	0	286	93	0	0	6	0	87	0
Precinct 9103 - Election Day	12	8	1	10	10	74	0	946	125	0	0	10	0	115	0
Precinct 9103 - Vote By Mail	13	5	1	15	33	150	0	946	255	0	1	37	0	217	0
Precinct 9103	25	13	2	25	43	224	0	946	380	0	1	47	0	332	0
Precinct 9104 - Election Day	6	2	2	1	19	53	0	993	100	0	0	17	0	83	0
Precinct 9104 - Vote By Mail	17	8	2	11	47	163	0	993	294	0	0	46	0	248	0
Precinct 9104	23	10	4	12	66	216	0	993	394	0	0	63	0	331	0
Precinct 9105/9107 - Election Day	12	7	0	4	35	125	0	1,747	223	0	0	40	0	183	0
Precinct 9105/9107 - Vote By Mail	33	10	3	23	75	293	0	1,747	511	0	4	70	0	437	0
Precinct 9105/9107	45	17	3	27	110	418	0	1,747	734	0	4	110	0	620	0
Precinct 9106 - Election Day	10	5	0	4	10	83	0	935	135	0	0	23	0	112	0
Precinct 9106 - Vote By Mail	20	4	1	8	24	188	0	935	296	0	1	50	0	245	0
Precinct 9106	30	9	1	12	34	271	0	935	431	0	1	73	0	357	0
Precinct 9109/9108 - Election Day	18	8	1	15	34	135	0	1,651	244	0	0	33	0	211	0
Precinct 9109/9108 - Vote By Mail	29	7	1	16	43	260	0	1,651	436	0	0	80	0	356	0
Precinct 9109/9108	47	15	2	31	77	395	0	1,651	680	0	0	113	0	567	0
Precinct 9111 - Election Day	5	2	1	6	10	60	0	809	105	0	1	20	0	84	0
Precinct 9111 - Vote By Mail	20	4	2	5	33	114	0	809	208	0	2	28	0	178	0
Precinct 9111	25	6	3	11	43	174	0	809	313	0	3	48	0	262	0
Precinct 9113 - Election Day	21	6	4	4	11	100	0	997	164	0	1	17	0	146	0
Precinct 9113 - Vote By Mail	22	7	5	12	34	182	0	997	317	0	2	53	0	262	0
Precinct 9113	43	13	9	16	45	282	0	997	481	0	3	70	0	408	0
Precinct 9114/9112 - Election Day	17	6	1	7	23	143	0	1,806	237	0	1	39	0	197	0
