Subtotal Area	PAUL MIYAMOTO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
Precinct 7323/7319 - Vote By Mail	350	1,967	498	0	0	148	0	350	0
Precinct 7323/7319	491	1,967	688	0	0	197	0	491	0
Precinct 7325/7324 - Election Day	105	1,588	145	0	0	40	0	105	0
Precinct 7325/7324 - Vote By Mail	313	1,588	425	0	0	112	0	313	0
Precinct 7325/7324	418	1,588	570	0	0	152	0	418	0
Precinct 7326/7337 - Election Day	130	1,709	164	0	0	34	0	130	0
Precinct 7326/7337 - Vote By Mail	362	1,709	525	0	0	163	0	362	0
Precinct 7326/7337	492	1,709	689	0	0	197	0	492	0
Precinct 7327 - Election Day	29	668	40	0	0	11	0	29	0
Precinct 7327 - Vote By Mail	146	668	217	0	0	71	0	146	0
Precinct 7327	175	668	257	0	0	82	0	175	0
Precinct 7328 - Election Day	28	985	42	0	0	14	0	28	0
Precinct 7328 - Vote By Mail	223	985	331	0	0	108	0	223	0
Precinct 7328	251	985	373	0	0	122	0	251	0
Precinct 7329 - Election Day	34	638	52	0	0	18	0	34	0
Precinct 7329 - Vote By Mail	141	638	196	0	1	54	0	141	0
Precinct 7329	175	638	248	0	1	72	0	175	0
Precinct 7331 - Election Day	82	850	113	0	0	31	0	82	0
Precinct 7331 - Vote By Mail	218	850	302	0	0	84	0	218	0
Precinct 7331	300	850	415	0	0	115	0	300	0
Precinct 7332/7334 - Election Day	134	1,601	185	0	0	51	0	134	0
Precinct 7332/7334 - Vote By Mail	326	1,601	439	0	0	113	0	326	0
Precinct 7332/7334	460	1,601	624	0	0	164	0	460	0
Precinct 7333/7335 - Election Day	146	1,930	190	0	0	44	0	146	0
Precinct 7333/7335 - Vote By Mail	389	1,930	542	0	0	153	0	389	0
Precinct 7333/7335	535	1,930	732	0	0	197	0	535	0
Precinct 7336/7345 - Election Day	144	2,021	214	0	0	70	0	144	0
Precinct 7336/7345 - Vote By Mail	412	2,021	557	0	0	145	0	412	0
Precinct 7336/7345	556	2,021	771	0	0	215	0	556	0
Precinct 7338/7349 - Election Day	105	1,783	151	0	0	46	0	105	0
Precinct 7338/7349 - Vote By Mail	375	1,783	541	0	0	166	0	375	0
Precinct 7338/7349	480	1,783	692	0	0	212	0	480	0
Precinct 7339/7341 - Election Day	117	1,588	158	0	0	41	0	117	0
Precinct 7339/7341 - Vote By Mail	297	1,588	411	0	0	114	0	297	0
Precinct 7339/7341	414	1,588	569	0	0	155	0	414	0
Precinct 7342 - Election Day	113	909	158	0	0	45	0	113	0
Precinct 7342 - Vote By Mail	172	909	231	0	0	59	0	172	0
Precinct 7342	285	909	389	0	0	104	0	285	0
Precinct 7343 - Election Day	63	706	89	0	0	26	0	63	0
Precinct 7343 - Vote By Mail	111	706	145	0	0	34	0	111	0
Precinct 7343	174	706	234	0	0	60	0	174	0
Precinct 7344 - Election Day	76	1,052	113	0	0	37	0	76	0
Precinct 7344 - Vote By Mail	218	1,052	290	0	0	72	0	218	0
Precinct 7344	294	1,052	403	0	0	109	0	294	0
Precinct 7346 - Election Day	64	879	89	0	0	25	0	64	0
Precinct 7346 - Vote By Mail	113	879	170	0	0	57	0	113	0
Precinct 7346	177	879	259	0	0	82	0	177	0
Precinct 7348/7347 - Election Day	113	1,826	152	0	0	39	0	113	0
Precinct 7348/7347 - Vote By Mail	308	1,826	432	0	0	124	0	308	0
Precinct 7348/7347	421	1,826	584	0	0	163	0	421	0
Precinct 7502 - Election Day	54	779	70	0	0	16	0	54	0
Precinct 7502 - Vote By Mail	178	779	248	0	0	70	0	178	0
Precinct 7502	232	779	318	0	0	86	0	232	0
Precinct 7503 - Election Day	64	725	79	0	0	15	0	64	0
Precinct 7503 - Vote By Mail	152	725	204	0	0	52	0	152	0
Precinct 7503	216	725	283	0	0	67	0	216	0
Precinct 7504/7501 - Election Day	98	1,019	121	0	0	23	0	98	0
Precinct 7504/7501 - Vote By Mail	248	1,019	308	0	0	60	0	248	0
Precinct 7504/7501	346	1,019	429	0	0	83	0	346	0
Precinct 7505 - Election Day	82	851	101	0	0	19	0	82	0
Precinct 7505 - Vote By Mail	282	851	363	0	0	81	0	282	0
Precinct 7505	364	851	464	0	0	100	0	364	0
Precinct 7506/7507 - Election Day	137	1,913	188	0	0	51	0	137	0
Precinct 7506/7507 - Vote By Mail	362	1,913	514	0	0	152	0	362	0
Precinct 7506/7507	499	1,913	702	0	0	203	0	499	0
Precinct 7508 - Election Day	74	720	96	0	0	22	0	74	0
Precinct 7508 - Vote By Mail	217	720	286	0	0	69	0	217	0
Precinct 7508	291	720	382	0	0	91	0	291	0
Precinct 7509/7511 - Election Day	90	914	128	0	0	38	0	90	0
Precinct 7509/7511 - Vote By Mail	213	914	287	0	0	74	0	213	0
Precinct 7509/7511	303	914	415	0	0	112	0	303	0
Precinct 7512 - Election Day	49	588	78	0	0	29	0	49	0
Precinct 7512 - Vote By Mail	142	588	207	0	0	65	0	142	0
Precinct 7512	191	588	285	0	0	94	0	191	0
Precinct 7513 - Election Day	69	784	101	0	0	32	0	69	0
Precinct 7513 - Vote By Mail	141	784	194	0	0	53	0	141	0
Precinct 7513	210	784	295	0	0	85	0	210	0
Precinct 7514 - Election Day	67	901	87	0	0	20	0	67	0
Precinct 7514 - Vote By Mail	171	901	234	0	0	63	0	171	0
Precinct 7514	238	901	321	0	0	83	0	238	0
Precinct 7515 - Election Day	69	852	97	0	0	28	0	69	0
Precinct 7515 - Vote By Mail	163	852	241	0	0	78	0	163	0
Precinct 7515	232	852	338	0	0	106	0	232	0
Precinct 7516 - Election Day	85	906	112	0	0	27	0	85	0
Precinct 7516 - Vote By Mail	254	906	359	0	0	105	0	254	0
Precinct 7516	339	906	471	0	0	132	0	339	0
Precinct 7518/7517 - Election Day	219	1,754	328	0	0	109	0	219	0
Precinct 7518/7517 - Vote By Mail	355	1,754	563	0	0	208	0	355	0
Precinct 7518/7517	574	1,754	891	0	0	317	0	574	0
Precinct 7519 - Election Day	72	709	116	0	0	44	0	72	0
Precinct 7519 - Vote By Mail	133	709	204	0	0	71	0	133	0
Precinct 7519	205	709	320	0	0	115	0	205	0
Precinct 7521 - Election Day	93	761	135	0	0	42	0	93	0
Precinct 7521 - Vote By Mail	154	761	248	0	0	94	0	154	0
Precinct 7521	247	761	383	0	0	136	0	247	0
Precinct 7522/7523 - Election Day	185	1,464	290	0	0	105	0	185	0
Precinct 7522/7523 - Vote By Mail	280	1,464	424	0	0	144	0	280	0
Precinct 7522/7523	465	1,464	714	0	0	249	0	465	0
Precinct 7524 - Election Day	71	606	98	0	0	27	0	71	0
Precinct 7524 - Vote By Mail	120	606	167	0	0	47	0	120	0
Precinct 7524	191	606	265	0	0	74	0	191	0
Precinct 7525 - Election Day	78	762	97	0	0	19	0	78	0
Precinct 7525 - Vote By Mail	129	762	191	0	0	62	0	129	0
Precinct 7525	207	762	288	0	0	81	0	207	0
Precinct 7526 - Election Day	82	974	125	0	0	43	0	82	0
Precinct 7526 - Vote By Mail	198	974	297	0	0	99	0	198	0
Precinct 7526	280	974	422	0	0	142	0	280	0
Precinct 7527/7528 - Election Day	80	689	120	0	0	40	0	80	0
Precinct 7527/7528 - Vote By Mail	140	689	215	0	0	75	0	140	0
Precinct 7527/7528	220	689	335	0	0	115	0	220	0
Precinct 7529 - Election Day	110	906	172	0	0	62	0	110	0
Precinct 7529 - Vote By Mail	175	906	294	0	0	119	0	175	0
Precinct 7529	285	906	466	0	0	181	0	285	0
Precinct 7531 - Election Day	70	839	116	0	0	46	0	70	0
Precinct 7531 - Vote By Mail	171	839	276	0	0	105	0	171	0
Precinct 7531	241	839	392	0	0	151	0	241	0
Precinct 7532 - Election Day	83	792	114	0	0	31	0	83	0
Precinct 7532 - Vote By Mail	159	792	221	0	0	62	0	159	0
Precinct 7532	242	792	335	0	0	93	0	242	0
Precinct 7533 - Election Day	128	936	201	0	0	73	0	128	0
Precinct 7533 - Vote By Mail	170	936	275	0	0	105	0	170	0
Precinct 7533	298	936	476	0	0	178	0	298	0
Precinct 7534 - Election Day	83	881	153	0	0	70	0	83	0
Precinct 7534 - Vote By Mail	145	881	237	0	0	92	0	145	0
Precinct 7534	228	881	390	0	0	162	0	228	0
Precinct 7536/7535 - Election Day	201	1,594	318	0	0	117	0	201	0
Precinct 7536/7535 - Vote By Mail	329	1,594	495	0	0	166	0	329	0
Precinct 7536/7535	530	1,594	813	0	0	283	0	530	0
Precinct 7537/7538 - Election Day	203	1,472	301	0	0	98	0	203	0
Precinct 7537/7538 - Vote By Mail	287	1,472	437	0	0	150	0	287	0
Precinct 7537/7538	490	1,472	738	0	0	248	0	490	0
Precinct 7539 - Election Day	141	906	233	0	0	92	0	141	0
Precinct 7539 - Vote By Mail	166	906	279	0	0	113	0	166	0
Precinct 7539	307	906	512	0	0	205	0	307	0
Precinct 7541 - Election Day	85	769	136	0	0	51	0	85	0
Precinct 7541 - Vote By Mail	159	769	247	0	0	88	0	159	0
Precinct 7541	244	769	383	0	0	139	0	244	0
Precinct 7543/7542 - Election Day	148	1,718	252	0	0	104	0	148	0
Precinct 7543/7542 - Vote By Mail	357	1,718	549	0	0	192	0	357	0
Precinct 7543/7542	505	1,718	801	0	0	296	0	505	0
Precinct 7544 - Election Day	98	892	152	0	0	54	0	98	0
Precinct 7544 - Vote By Mail	175	892	281	0	0	106	0	175	0
Precinct 7544	273	892	433	0	0	160	0	273	0
Precinct 7545 - Election Day	86	877	139	0	0	53	0	86	0
Precinct 7545 - Vote By Mail	205	877	277	0	0	72	0	205	0
Precinct 7545	291	877	416	0	0	125	0	291	0
Precinct 7546/7547 - Election Day	223	1,900	340	0	0	117	0	223	0
Precinct 7546/7547 - Vote By Mail	450	1,900	670	0	0	220	0	450	0
Precinct 7546/7547	673	1,900	1,010	0	0	337	0	673	0
Precinct 7548 - Election Day	130	1,027	198	0	0	68	0	130	0
Precinct 7548 - Vote By Mail	223	1,027	322	0	1	98	0	223	0
Precinct 7548	353	1,027	520	0	1	166	0	353	0
Precinct 7549 - Election Day	92	799	135	0	0	43	0	92	0
Precinct 7549 - Vote By Mail	180	799	286	0	0	106	0	180	0
Precinct 7549	272	799	421	0	0	149	0	272	0
Precinct 7552 - Election Day	101	685	136	0	0	35	0	101	0
Precinct 7552 - Vote By Mail	149	685	213	0	0	64	0	149	0
Precinct 7552	250	685	349	0	0	99	0	250	0
Precinct 7553 MB - Election Day	1	182	1	0	0	0	0	1	0
Precinct 7553 MB - Vote By Mail	58	182	81	0	0	23	0	58	0
Precinct 7553 MB	59	182	82	0	0	23	0	59	0
Precinct 7554 - Election Day	100	795	135	0	0	35	0	100	0
Precinct 7554 - Vote By Mail	213	795	311	0	0	98	0	213	0
Precinct 7554	313	795	446	0	0	133	0	313	0
Precinct 7555/7551 - Election Day	256	1,584	340	0	0	84	0	256	0
Precinct 7555/7551 - Vote By Mail	385	1,584	565	0	0	180	0	385	0
Precinct 7555/7551	641	1,584	905	0	0	264	0	641	0
Precinct 7556/7557 - Election Day	108	958	147	0	0	39	0	108	0
Precinct 7556/7557 - Vote By Mail	304	958	400	0	0	96	0	304	0
Precinct 7556/7557	412	958	547	0	0	135	0	412	0
Precinct 7601 - Election Day	50	677	81	0	0	31	0	50	0
Precinct 7601 - Vote By Mail	111	677	151	0	0	40	0	111	0
Precinct 7601	161	677	232	0	0	71	0	161	0
Precinct 7602/7603 - Election Day	115	1,659	176	0	0	61	0	115	0
Precinct 7602/7603 - Vote By Mail	262	1,659	383	0	0	121	0	262	0
Precinct 7602/7603	377	1,659	559	0	0	182	0	377	0
Precinct 7605/7609 - Election Day	86	1,508	114	0	0	28	0	86	0
Precinct 7605/7609 - Vote By Mail	328	1,508	444	0	2	114	0	328	0
Precinct 7605/7609	414	1,508	558	0	2	142	0	414	0
Precinct 7606 - Election Day	57	887	74	0	0	17	0	57	0
Precinct 7606 - Vote By Mail	134	887	180	0	0	46	0	134	0
Precinct 7606	191	887	254	0	0	63	0	191	0
Precinct 7607 - Election Day	61	900	86	0	1	24	0	61	0
Precinct 7607 - Vote By Mail	160	900	236	0	1	75	0	160	0
Precinct 7607	221	900	322	0	2	99	0	221	0
Precinct 7608/7604 - Election Day	72	1,300	102	0	0	30	0	72	0
Precinct 7608/7604 - Vote By Mail	207	1,300	279	0	0	72	0	207	0
Precinct 7608/7604	279	1,300	381	0	0	102	0	279	0
Precinct 7611 - Election Day	51	763	65	0	0	14	0	51	0
Precinct 7611 - Vote By Mail	142	763	190	0	0	48	0	142	0
Precinct 7611	193	763	255	0	0	62	0	193	0
Precinct 7613/7612 - Election Day	85	1,421	139	0	1	53	0	85	0
Precinct 7613/7612 - Vote By Mail	266	1,421	372	0	0	106	0	266	0
Precinct 7613/7612	351	1,421	511	0	1	159	0	351	0
Precinct 7614 - Election Day	58	932	83	0	1	24	0	58	0
Precinct 7614 - Vote By Mail	136	932	188	0	0	52	0	136	0
Precinct 7614	194	932	271	0	1	76	0	194	0
Precinct 7615 - Election Day	39	745	61	0	0	22	0	39	0
Precinct 7615 - Vote By Mail	113	745	153	0	0	40	0	113	0
Precinct 7615	152	745	214	0	0	62	0	152	0
Precinct 7616/7654 - Election Day	64	1,246	90	0	0	26	0	64	0
Precinct 7616/7654 - Vote By Mail	247	1,246	347	0	0	100	0	247	0
Precinct 7616/7654	311	1,246	437	0	0	126	0	311	0
Precinct 7617 - Election Day	35	737	49	0	0	14	0	35	0
Precinct 7617 - Vote By Mail	145	737	196	0	0	51	0	145	0
Precinct 7617	180	737	245	0	0	65	0	180	0
Precinct 7618 - Election Day	51	873	82	0	0	31	0	51	0
Precinct 7618 - Vote By Mail	151	873	237	0	0	86	0	151	0
Precinct 7618	202	873	319	0	0	117	0	202	0
Precinct 7619 - Election Day	56	1,055	89	0	0	33	0	56	0
Precinct 7619 - Vote By Mail	200	1,055	301	0	0	101	0	200	0
Precinct 7619	256	1,055	390	0	0	134	0	256	0
Precinct 7621 - Election Day	70	1,064	89	0	0	19	0	70	0
Precinct 7621 - Vote By Mail	213	1,064	290	0	0	77	0	213	0
Precinct 7621	283	1,064	379	0	0	96	0	283	0
Precinct 7622 - Election Day	49	923	69	0	0	20	0	49	0
Precinct 7622 - Vote By Mail	118	923	159	0	0	41	0	118	0
Precinct 7622	167	923	228	0	0	61	0	167	0
Precinct 7623 - Election Day	59	965	81	0	0	22	0	59	0
Precinct 7623 - Vote By Mail	140	965	188	0	0	48	0	140	0
Precinct 7623	199	965	269	0	0	70	0	199	0
Precinct 7624 - Election Day	45	835	59	0	0	14	0	45	0
Precinct 7624 - Vote By Mail	134	835	173	0	0	39	0	134	0
Precinct 7624	179	835	232	0	0	53	0	179	0
Precinct 7625 - Election Day	35	809	40	0	0	5	0	35	0
Precinct 7625 - Vote By Mail	296	809	398	0	0	102	0	296	0
Precinct 7625	331	809	438	0	0	107	0	331	0
Precinct 7626 - Election Day	48	1,037	61	0	0	13	0	48	0
Precinct 7626 - Vote By Mail	222	1,037	294	0	0	72	0	222	0
Precinct 7626	270	1,037	355	0	0	85	0	270	0
Precinct 7628 - Election Day	63	933	98	0	0	35	0	63	0
Precinct 7628 - Vote By Mail	143	933	231	0	0	88	0	143	0
Precinct 7628	206	933	329	0	0	123	0	206	0
Precinct 7629 - Election Day	54	847	75	0	0	21	0	54	0
Precinct 7629 - Vote By Mail	120	847	187	0	0	67	0	120	0
Precinct 7629	174	847	262	0	0	88	0	174	0
Precinct 7632 - Election Day	61	1,112	95	0	0	34	0	61	0
Precinct 7632 - Vote By Mail	168	1,112	258	0	0	90	0	168	0
Precinct 7632	229	1,112	353	0	0	124	0	229	0
Precinct 7633/7631 - Election Day	108	1,902	153	0	0	45	0	108	0
Precinct 7633/7631 - Vote By Mail	370	1,902	514	0	0	144	0	370	0
Precinct 7633/7631	478	1,902	667	0	0	189	0	478	0
Precinct 7634 - Election Day	56	864	86	0	0	30	0	56	0
Precinct 7634 - Vote By Mail	195	864	254	0	0	59	0	195	0
Precinct 7634	251	864	340	0	0	89	0	251	0
Precinct 7635 - Election Day	48	821	60	0	0	12	0	48	0
Precinct 7635 - Vote By Mail	160	821	221	0	0	61	0	160	0
Precinct 7635	208	821	281	0	0	73	0	208	0
Precinct 7636 - Election Day	58	945	79	0	0	21	0	58	0
Precinct 7636 - Vote By Mail	162	945	233	0	0	71	0	162	0
Precinct 7636	220	945	312	0	0	92	0	220	0
Precinct 7637 - Election Day	46	841	56	0	0	10	0	46	0
Precinct 7637 - Vote By Mail	168	841	231	0	0	63	0	168	0
Precinct 7637	214	841	287	0	0	73	0	214	0
Precinct 7638/7656 - Election Day	60	1,467	89	0	0	29	0	60	0
Precinct 7638/7656 - Vote By Mail	324	1,467	460	0	0	136	0	324	0
Precinct 7638/7656	384	1,467	549	0	0	165	0	384	0
Precinct 7639/7641 - Election Day	99	1,935	137	0	0	38	0	99	0
Precinct 7639/7641 - Vote By Mail	407	1,935	596	0	0	189	0	407	0
Precinct 7639/7641	506	1,935	733	0	0	227	0	506	0
Precinct 7642 - Election Day	49	946	68	0	0	19	0	49	0
Precinct 7642 - Vote By Mail	145	946	209	0	0	64	0	145	0
Precinct 7642	194	946	277	0	0	83	0	194	0
Precinct 7643 - Election Day	67	927	87	0	0	20	0	67	0
Precinct 7643 - Vote By Mail	232	927	308	0	0	76	0	232	0
Precinct 7643	299	927	395	0	0	96	0	299	0
Precinct 7644 - Election Day	71	1,111	87	0	0	16	0	71	0
Precinct 7644 - Vote By Mail	175	1,111	250	0	0	75	0	175	0
Precinct 7644	246	1,111	337	0	0	91	0	246	0
Precinct 7645 - Election Day	33	626	42	0	0	9	0	33	0
Precinct 7645 - Vote By Mail	146	626	218	0	0	72	0	146	0
Precinct 7645	179	626	260	0	0	81	0	179	0
Precinct 7646 - Election Day	43	1,090	60	0	0	17	0	43	0
Precinct 7646 - Vote By Mail	255	1,090	346	0	0	91	0	255	0
Precinct 7646	298	1,090	406	0	0	108	0	298	0
Precinct 7647 - Election Day	41	968	55	0	0	14	0	41	0
Precinct 7647 - Vote By Mail	98	968	136	0	0	38	0	98	0
Precinct 7647	139	968	191	0	0	52	0	139	0
Precinct 7648 MB - Election Day	0	2	0	0	0	0	0	0	0
Precinct 7648 MB - Vote By Mail	0	2	0	0	0	0	0	0	0
Precinct 7648 MB	0	2	0	0	0	0	0	0	0
Precinct 7649 - Election Day	41	888	58	0	0	17	0	41	0
Precinct 7649 - Vote By Mail	154	888	212	0	0	58	0	154	0
Precinct 7649	195	888	270	0	0	75	0	195	0
Precinct 7651 - Election Day	42	830	50	0	0	8	0	42	0
Precinct 7651 - Vote By Mail	152	830	206	0	0	54	0	152	0
Precinct 7651	194	830	256	0	0	62	0	194	0
Precinct 7652 - Election Day	37	596	48	0	0	11	0	37	0
Precinct 7652 - Vote By Mail	105	596	152	0	0	47	0	105	0
Precinct 7652	142	596	200	0	0	58	0	142	0
Precinct 7653/7657 - Election Day	65	1,373	79	0	0	14	0	65	0
Precinct 7653/7657 - Vote By Mail	267	1,373	366	0	0	99	0	267	0
Precinct 7653/7657	332	1,373	445	0	0	113	0	332	0
Precinct 7655/7627 - Election Day	38	1,150	63	0	0	25	0	38	0
Precinct 7655/7627 - Vote By Mail	206	1,150	269	0	0	63	0	206	0
Precinct 7655/7627	244	1,150	332	0	0	88	0	244	0
Precinct 7701 - Election Day	96	1,035	139	0	0	43	0	96	0
Precinct 7701 - Vote By Mail	268	1,035	372	0	0	104	0	268	0
Precinct 7701	364	1,035	511	0	0	147	0	364	0
Precinct 7703 MB - Election Day	1	178	1	0	0	0	0	1	0
Precinct 7703 MB - Vote By Mail	43	178	54	0	0	11	0	43	0
Precinct 7703 MB	44	178	55	0	0	11	0	44	0
Precinct 7704/7702 - Election Day	193	1,723	249	0	0	56	0	193	0
Precinct 7704/7702 - Vote By Mail	508	1,723	632	0	0	124	0	508	0
Precinct 7704/7702	701	1,723	881	0	0	180	0	701	0
Precinct 7705 - Election Day	77	570	91	0	0	14	0	77	0
Precinct 7705 - Vote By Mail	171	570	219	0	0	48	0	171	0
Precinct 7705	248	570	310	0	0	62	0	248	0
Precinct 7706 - Election Day	132	839	151	0	0	19	0	132	0
Precinct 7706 - Vote By Mail	254	839	337	0	0	83	0	254	0
Precinct 7706	386	839	488	0	0	102	0	386	0
Precinct 7707 - Election Day	113	861	139	0	0	26	0	113	0
Precinct 7707 - Vote By Mail	264	861	344	0	0	80	0	264	0
Precinct 7707	377	861	483	0	0	106	0	377	0
Precinct 7708 - Election Day	90	881	116	0	0	26	0	90	0
Precinct 7708 - Vote By Mail	280	881	358	0	0	78	0	280	0
Precinct 7708	370	881	474	0	0	104	0	370	0
Precinct 7709 - Election Day	52	395	75	0	0	23	0	52	0
Precinct 7709 - Vote By Mail	112	395	149	0	0	37	0	112	0
Precinct 7709	164	395	224	0	0	60	0	164	0
Precinct 7712/7711 - Election Day	148	1,308	198	0	0	50	0	148	0
Precinct 7712/7711 - Vote By Mail	322	1,308	453	0	0	131	0	322	0
Precinct 7712/7711	470	1,308	651	0	0	181	0	470	0
Precinct 7801 - Election Day	99	968	138	0	0	39	0	99	0
Precinct 7801 - Vote By Mail	258	968	365	0	0	107	0	258	0
Precinct 7801	357	968	503	0	0	146	0	357	0
Precinct 7802 - Election Day	98	788	131	0	0	33	0	98	0
Precinct 7802 - Vote By Mail	187	788	275	0	0	88	0	187	0
Precinct 7802	285	788	406	0	0	121	0	285	0
Precinct 7803 - Election Day	60	822	85	0	0	25	0	60	0
Precinct 7803 - Vote By Mail	282	822	373	0	0	91	0	282	0
Precinct 7803	342	822	458	0	0	116	0	342	0
Precinct 7805/7804 - Election Day	215	1,683	283	0	0	68	0	215	0
Precinct 7805/7804 - Vote By Mail	430	1,683	632	0	0	202	0	430	0
Precinct 7805/7804	645	1,683	915	0	0	270	0	645	0
Precinct 7807 - Election Day	108	796	155	0	0	47	0	108	0
Precinct 7807 - Vote By Mail	157	796	243	0	0	86	0	157	0
Precinct 7807	265	796	398	0	0	133	0	265	0
Precinct 7808/7806 - Election Day	160	1,377	244	0	0	84	0	160	0
Precinct 7808/7806 - Vote By Mail	320	1,377	461	0	0	141	0	320	0
Precinct 7808/7806	480	1,377	705	0	0	225	0	480	0
Precinct 7809 - Election Day	85	770	112	0	0	27	0	85	0
Precinct 7809 - Vote By Mail	168	770	249	0	0	81	0	168	0
Precinct 7809	253	770	361	0	0	108	0	253	0
Precinct 7811 - Election Day	85	726	126	0	0	41	0	85	0
Precinct 7811 - Vote By Mail	125	726	199	0	0	74	0	125	0
Precinct 7811	210	726	325	0	0	115	0	210	0
Precinct 7812 - Election Day	91	871	132	0	0	41	0	91	0
Precinct 7812 - Vote By Mail	193	871	285	0	0	92	0	193	0
Precinct 7812	284	871	417	0	0	133	0	284	0
Precinct 7813 - Election Day	122	1,037	179	0	0	57	0	122	0
Precinct 7813 - Vote By Mail	246	1,037	347	0	1	100	0	246	0
Precinct 7813	368	1,037	526	0	1	157	0	368	0
Precinct 7814 - Election Day	77	887	122	0	0	45	0	77	0
Precinct 7814 - Vote By Mail	143	887	215	0	1	71	0	143	0
Precinct 7814	220	887	337	0	1	116	0	220	0
Precinct 7815/7816 - Election Day	175	1,779	231	0	0	56	0	175	0
Precinct 7815/7816 - Vote By Mail	502	1,779	662	0	0	160	0	502	0
Precinct 7815/7816	677	1,779	893	0	0	216	0	677	0
Precinct 7817/7818 - Election Day	213	1,641	291	0	0	78	0	213	0
Precinct 7817/7818 - Vote By Mail	392	1,641	586	0	0	194	0	392	0
Precinct 7817/7818	605	1,641	877	0	0	272	0	605	0
Precinct 7819/7827 - Election Day	148	1,585	230	0	0	82	0	148	0
Precinct 7819/7827 - Vote By Mail	340	1,585	500	0	0	160	0	340	0
Precinct 7819/7827	488	1,585	730	0	0	242	0	488	0
Precinct 7821 - Election Day	125	965	168	0	0	43	0	125	0
Precinct 7821 - Vote By Mail	252	965	372	0	0	120	0	252	0
Precinct 7821	377	965	540	0	0	163	0	377	0
Precinct 7822/7823 - Election Day	232	1,748	322	0	0	90	0	232	0
Precinct 7822/7823 - Vote By Mail	441	1,748	625	0	0	184	0	441	0
Precinct 7822/7823	673	1,748	947	0	0	274	0	673	0
Precinct 7824/7825 - Election Day	179	1,353	243	0	0	64	0	179	0
Precinct 7824/7825 - Vote By Mail	275	1,353	417	0	0	142	0	275	0
Precinct 7824/7825	454	1,353	660	0	0	206	0	454	0
Precinct 7826 - Election Day	88	661	140	0	0	52	0	88	0
Precinct 7826 - Vote By Mail	113	661	175	0	0	62	0	113	0
Precinct 7826	201	661	315	0	0	114	0	201	0
Precinct 7828 - Election Day	107	997	132	0	0	25	0	107	0
Precinct 7828 - Vote By Mail	245	997	326	0	0	81	0	245	0
Precinct 7828	352	997	458	0	0	106	0	352	0
Precinct 7829 - Election Day	103	884	134	0	0	31	0	103	0
Precinct 7829 - Vote By Mail	241	884	346	0	0	105	0	241	0
Precinct 7829	344	884	480	0	0	136	0	344	0
Precinct 7832 - Election Day	79	773	103	0	0	24	0	79	0
Precinct 7832 - Vote By Mail	215	773	291	0	0	76	0	215	0
Precinct 7832	294	773	394	0	0	100	0	294	0
Precinct 7834/7833 - Election Day	159	1,593	279	0	0	119	0	160	1
Precinct 7834/7833 - Vote By Mail	302	1,593	473	0	0	171	0	302	0
Precinct 7834/7833	461	1,593	752	0	0	290	0	462	1
Precinct 7835 - Election Day	80	847	97	0	0	17	0	80	0
Precinct 7835 - Vote By Mail	228	847	289	0	0	61	0	228	0
Precinct 7835	308	847	386	0	0	78	0	308	0
Precinct 7836 - Election Day	97	1,011	131	0	0	34	0	97	0
Precinct 7836 - Vote By Mail	276	1,011	374	0	0	98	0	276	0
Precinct 7836	373	1,011	505	0	0	132	0	373	0
Precinct 7837/7838 - Election Day	214	1,784	281	0	0	67	0	214	0
Precinct 7837/7838 - Vote By Mail	493	1,784	675	0	0	182	0	493	0
Precinct 7837/7838	707	1,784	956	0	0	249	0	707	0
Precinct 7839/7831 - Election Day	165	1,718	238	0	0	73	0	165	0
Precinct 7839/7831 - Vote By Mail	466	1,718	681	0	0	215	0	466	0
Precinct 7839/7831	631	1,718	919	0	0	288	0	631	0
Precinct 7841/7842 - Election Day	237	1,778	331	0	0	94	0	237	0
Precinct 7841/7842 - Vote By Mail	387	1,778	561	0	0	174	0	387	0
Precinct 7841/7842	624	1,778	892	0	0	268	0	624	0
Precinct 7843 - Election Day	94	719	148	0	0	54	0	94	0
Precinct 7843 - Vote By Mail	152	719	225	0	0	73	0	152	0
Precinct 7843	246	719	373	0	0	127	0	246	0
Precinct 7844 - Election Day	71	630	105	0	0	34	0	71	0
Precinct 7844 - Vote By Mail	119	630	199	0	0	80	0	119	0
Precinct 7844	190	630	304	0	0	114	0	190	0
Precinct 7845 - Election Day	105	870	137	0	0	32	0	105	0
Precinct 7845 - Vote By Mail	233	870	298	0	0	65	0	233	0
Precinct 7845	338	870	435	0	0	97	0	338	0
Precinct 7846 - Election Day	86	888	122	0	0	36	0	86	0
Precinct 7846 - Vote By Mail	219	888	306	0	0	87	0	219	0
Precinct 7846	305	888	428	0	0	123	0	305	0
Precinct 7847/7848 - Election Day	199	1,718	274	0	0	75	0	199	0
Precinct 7847/7848 - Vote By Mail	414	1,718	593	0	0	179	0	414	0
Precinct 7847/7848	613	1,718	867	0	0	254	0	613	0
Precinct 7849 - Election Day	126	887	165	0	0	39	0	126	0
Precinct 7849 - Vote By Mail	221	887	312	0	0	91	0	221	0
Precinct 7849	347	887	477	0	0	130	0	347	0
Precinct 7852/7851 - Election Day	112	1,153	158	0	0	46	0	112	0
Precinct 7852/7851 - Vote By Mail	403	1,153	478	0	0	75	0	403	0
