Subtotal Area	IVY LEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9001 MB - Election Day	2	286	3	0	0	1	2	0
Precinct 9001 MB - Vote By Mail	76	286	91	0	0	15	76	0
Precinct 9001 MB	78	286	94	0	0	16	78	0
Precinct 9103 - Election Day	97	946	125	0	0	28	97	0
Precinct 9103 - Vote By Mail	180	946	255	0	1	74	180	0
Precinct 9103	277	946	380	0	1	102	277	0
Precinct 9104 - Election Day	77	993	100	0	0	23	77	0
Precinct 9104 - Vote By Mail	219	993	293	0	0	74	219	0
Precinct 9104	296	993	393	0	0	97	296	0
Precinct 9105/9107 - Election Day	174	1,747	223	0	0	49	174	0
Precinct 9105/9107 - Vote By Mail	390	1,747	514	0	0	124	390	0
Precinct 9105/9107	564	1,747	737	0	0	173	564	0
Precinct 9106 - Election Day	116	935	135	0	0	19	116	0
Precinct 9106 - Vote By Mail	226	935	296	0	0	70	226	0
Precinct 9106	342	935	431	0	0	89	342	0
Precinct 9109/9108 - Election Day	195	1,651	245	0	0	50	195	0
Precinct 9109/9108 - Vote By Mail	336	1,651	438	0	0	102	336	0
Precinct 9109/9108	531	1,651	683	0	0	152	531	0
Precinct 9111 - Election Day	80	809	105	0	0	25	80	0
Precinct 9111 - Vote By Mail	160	809	210	0	0	50	160	0
Precinct 9111	240	809	315	0	0	75	240	0
Precinct 9113 - Election Day	125	997	164	0	0	39	125	0
Precinct 9113 - Vote By Mail	243	997	317	0	0	74	243	0
Precinct 9113	368	997	481	0	0	113	368	0
Precinct 9114/9112 - Election Day	186	1,806	237	0	0	51	186	0
Precinct 9114/9112 - Vote By Mail	393	1,806	521	0	0	128	393	0
Precinct 9114/9112	579	1,806	758	0	0	179	579	0
Precinct 9116/9115 - Election Day	209	1,822	251	0	0	42	209	0
Precinct 9116/9115 - Vote By Mail	396	1,822	509	0	0	113	396	0
Precinct 9116/9115	605	1,822	760	0	0	155	605	0
Precinct 9117/9101 - Election Day	204	1,691	254	0	0	50	204	0
Precinct 9117/9101 - Vote By Mail	400	1,691	533	0	0	133	400	0
Precinct 9117/9101	604	1,691	787	0	0	183	604	0
Precinct 9118/9102 - Election Day	178	1,938	229	0	0	51	178	0
Precinct 9118/9102 - Vote By Mail	402	1,938	535	0	0	133	402	0
Precinct 9118/9102	580	1,938	764	0	0	184	580	0
Precinct 9119 - Election Day	69	899	91	0	0	22	69	0
Precinct 9119 - Vote By Mail	226	899	302	0	0	76	226	0
Precinct 9119	295	899	393	0	0	98	295	0
Precinct 9122/9121 - Election Day	150	1,865	190	0	0	40	150	0
Precinct 9122/9121 - Vote By Mail	415	1,865	537	0	0	122	415	0
Precinct 9122/9121	565	1,865	727	0	0	162	565	0
Precinct 9124/9142 - Election Day	176	1,843	218	0	0	42	176	0
Precinct 9124/9142 - Vote By Mail	395	1,843	542	0	0	147	395	0
Precinct 9124/9142	571	1,843	760	0	0	189	571	0
Precinct 9125 - Election Day	80	879	97	0	0	17	80	0
Precinct 9125 - Vote By Mail	195	879	267	0	0	72	195	0
Precinct 9125	275	879	364	0	0	89	275	0
Precinct 9127/9126 - Election Day	235	1,974	273	0	0	38	235	0
Precinct 9127/9126 - Vote By Mail	473	1,974	633	0	0	160	473	0
Precinct 9127/9126	708	1,974	906	0	0	198	708	0
Precinct 9128 - Election Day	102	814	125	0	0	23	102	0
Precinct 9128 - Vote By Mail	204	814	267	0	0	63	204	0
Precinct 9128	306	814	392	0	0	86	306	0
Precinct 9129/9131 - Election Day	143	1,459	176	0	0	33	143	0
Precinct 9129/9131 - Vote By Mail	360	1,459	461	0	0	101	360	0
Precinct 9129/9131	503	1,459	637	0	0	134	503	0
Precinct 9132 - Election Day	77	805	105	0	0	28	77	0
Precinct 9132 - Vote By Mail	176	805	221	0	0	45	176	0
Precinct 9132	253	805	326	0	0	73	253	0
Precinct 9133/9148 - Election Day	217	1,984	271	0	0	54	217	0
Precinct 9133/9148 - Vote By Mail	451	1,984	596	0	0	145	451	0
Precinct 9133/9148	668	1,984	867	0	0	199	668	0
Precinct 9134 - Election Day	60	891	87	0	0	27	60	0
Precinct 9134 - Vote By Mail	184	891	246	0	0	62	184	0
Precinct 9134	244	891	333	0	0	89	244	0
Precinct 9135 - Election Day	74	802	114	0	0	40	74	0
Precinct 9135 - Vote By Mail	169	802	231	0	0	62	169	0
Precinct 9135	243	802	345	0	0	102	243	0
Precinct 9136 - Election Day	90	900	119	0	0	29	90	0
Precinct 9136 - Vote By Mail	186	900	251	0	0	65	186	0
Precinct 9136	276	900	370	0	0	94	276	0
Precinct 9137 - Election Day	88	999	115	0	0	27	88	0
Precinct 9137 - Vote By Mail	212	999	279	0	0	67	212	0
Precinct 9137	300	999	394	0	0	94	300	0
Precinct 9138 - Election Day	84	929	101	0	0	17	84	0
Precinct 9138 - Vote By Mail	220	929	283	0	0	63	220	0
Precinct 9138	304	929	384	0	0	80	304	0
Precinct 9139 - Election Day	89	986	105	0	0	16	89	0
Precinct 9139 - Vote By Mail	275	986	341	0	0	66	275	0
Precinct 9139	364	986	446	0	0	82	364	0
Precinct 9141/9123 - Election Day	182	1,803	231	0	0	49	182	0
Precinct 9141/9123 - Vote By Mail	428	1,803	549	0	0	121	428	0
Precinct 9141/9123	610	1,803	780	0	0	170	610	0
Precinct 9143 - Election Day	92	895	120	0	0	28	92	0
Precinct 9143 - Vote By Mail	213	895	281	0	0	68	213	0
Precinct 9143	305	895	401	0	0	96	305	0
Precinct 9144 - Election Day	111	958	141	0	0	30	111	0
Precinct 9144 - Vote By Mail	230	958	289	0	0	59	230	0
Precinct 9144	341	958	430	0	0	89	341	0
Precinct 9145 - Election Day	102	851	124	0	0	22	102	0
Precinct 9145 - Vote By Mail	205	851	275	0	0	70	205	0
Precinct 9145	307	851	399	0	0	92	307	0
Precinct 9146/9147 - Election Day	217	1,837	275	0	0	58	217	0
Precinct 9146/9147 - Vote By Mail	406	1,837	558	0	0	152	406	0
Precinct 9146/9147	623	1,837	833	0	0	210	623	0
Precinct 9149 - Election Day	119	957	150	0	0	31	119	0
Precinct 9149 - Vote By Mail	222	957	277	0	0	55	222	0
Precinct 9149	341	957	427	0	0	86	341	0
Precinct 9152/9151 - Election Day	140	1,630	167	0	0	27	140	0
Precinct 9152/9151 - Vote By Mail	297	1,630	400	0	0	103	297	0
Precinct 9152/9151	437	1,630	567	0	0	130	437	0
Precinct 9201 - Election Day	88	950	111	0	0	23	88	0
Precinct 9201 - Vote By Mail	167	950	209	0	0	42	167	0
Precinct 9201	255	950	320	0	0	65	255	0
Precinct 9202 - Election Day	92	977	116	0	0	24	92	0
Precinct 9202 - Vote By Mail	161	977	205	0	0	44	161	0
Precinct 9202	253	977	321	0	0	68	253	0
Precinct 9203 - Election Day	49	984	78	0	0	29	49	0
Precinct 9203 - Vote By Mail	168	984	250	0	0	82	168	0
Precinct 9203	217	984	328	0	0	111	217	0
Precinct 9204 - Election Day	78	855	109	0	0	31	78	0
Precinct 9204 - Vote By Mail	139	855	208	0	0	69	139	0
Precinct 9204	217	855	317	0	0	100	217	0
Precinct 9205/9212 - Election Day	110	1,484	141	0	0	31	110	0
Precinct 9205/9212 - Vote By Mail	259	1,484	355	0	0	96	259	0
Precinct 9205/9212	369	1,484	496	0	0	127	369	0
Precinct 9208/9207 - Election Day	130	1,935	178	0	0	48	130	0
Precinct 9208/9207 - Vote By Mail	342	1,935	484	0	0	142	342	0
Precinct 9208/9207	472	1,935	662	0	0	190	472	0
Precinct 9209 - Election Day	54	742	84	0	0	30	54	0
Precinct 9209 - Vote By Mail	128	742	178	0	0	50	128	0
Precinct 9209	182	742	262	0	0	80	182	0
Precinct 9211/9206 - Election Day	113	1,788	166	0	0	53	113	0
Precinct 9211/9206 - Vote By Mail	305	1,788	468	0	0	163	305	0
Precinct 9211/9206	418	1,788	634	0	0	216	418	0
Precinct 9213 - Election Day	69	927	85	0	0	16	69	0
Precinct 9213 - Vote By Mail	182	927	244	0	0	62	182	0
Precinct 9213	251	927	329	0	0	78	251	0
Precinct 9214 - Election Day	46	633	66	0	0	20	46	0
Precinct 9214 - Vote By Mail	123	633	178	0	0	55	123	0
Precinct 9214	169	633	244	0	0	75	169	0
Precinct 9215 - Election Day	53	641	79	0	0	26	53	0
Precinct 9215 - Vote By Mail	113	641	171	0	0	58	113	0
Precinct 9215	166	641	250	0	0	84	166	0
Precinct 9216 - Election Day	67	818	82	0	0	15	67	0
Precinct 9216 - Vote By Mail	123	818	171	0	0	48	123	0
Precinct 9216	190	818	253	0	0	63	190	0
Precinct 9217 - Election Day	50	704	65	0	0	15	50	0
Precinct 9217 - Vote By Mail	116	704	163	0	0	47	116	0
Precinct 9217	166	704	228	0	0	62	166	0
Precinct 9218 - Election Day	64	805	87	0	0	23	64	0
Precinct 9218 - Vote By Mail	132	805	200	0	1	67	132	0
Precinct 9218	196	805	287	0	1	90	196	0
Precinct 9219/9225 - Election Day	152	1,727	186	0	0	34	152	0
Precinct 9219/9225 - Vote By Mail	269	1,727	383	0	0	114	269	0
Precinct 9219/9225	421	1,727	569	0	0	148	421	0
Precinct 9221 - Election Day	54	638	73	0	0	19	54	0
Precinct 9221 - Vote By Mail	150	638	244	0	0	94	150	0
Precinct 9221	204	638	317	0	0	113	204	0
Precinct 9222 - Election Day	61	886	91	0	0	30	61	0
Precinct 9222 - Vote By Mail	167	886	262	0	0	95	167	0
Precinct 9222	228	886	353	0	0	125	228	0
Precinct 9223 - Election Day	40	651	53	0	0	13	40	0
Precinct 9223 - Vote By Mail	138	651	188	0	0	50	138	0
Precinct 9223	178	651	241	0	0	63	178	0
Precinct 9224 - Election Day	77	928	107	0	0	30	77	0
Precinct 9224 - Vote By Mail	197	928	270	0	0	73	197	0
Precinct 9224	274	928	377	0	0	103	274	0
Precinct 9226 - Election Day	63	892	85	0	0	22	63	0
Precinct 9226 - Vote By Mail	161	892	233	0	0	72	161	0
Precinct 9226	224	892	318	0	0	94	224	0
Precinct 9227 - Election Day	62	713	83	0	0	21	62	0
Precinct 9227 - Vote By Mail	208	713	292	0	0	84	208	0
Precinct 9227	270	713	375	0	0	105	270	0
Precinct 9228 - Election Day	71	740	89	0	0	18	71	0
Precinct 9228 - Vote By Mail	178	740	240	0	0	62	178	0
Precinct 9228	249	740	329	0	0	80	249	0
Precinct 9229 - Election Day	70	574	93	0	0	23	70	0
Precinct 9229 - Vote By Mail	127	574	190	0	0	63	127	0
Precinct 9229	197	574	283	0	0	86	197	0
Precinct 9231 - Election Day	117	954	157	0	0	40	117	0
Precinct 9231 - Vote By Mail	198	954	272	0	0	74	198	0
Precinct 9231	315	954	429	0	0	114	315	0
Precinct 9232 - Election Day	75	716	92	0	0	17	75	0
Precinct 9232 - Vote By Mail	177	716	238	0	0	61	177	0
Precinct 9232	252	716	330	0	0	78	252	0
Precinct 9233 - Election Day	56	814	77	0	0	21	56	0
Precinct 9233 - Vote By Mail	190	814	260	0	0	70	190	0
Precinct 9233	246	814	337	0	0	91	246	0
Precinct 9234 - Election Day	62	747	84	0	0	22	62	0
Precinct 9234 - Vote By Mail	149	747	216	0	0	67	149	0
Precinct 9234	211	747	300	0	0	89	211	0
Precinct 9235/9243 - Election Day	123	1,439	164	0	0	41	123	0
Precinct 9235/9243 - Vote By Mail	321	1,439	443	0	0	122	321	0
Precinct 9235/9243	444	1,439	607	0	0	163	444	0
Precinct 9236 - Election Day	50	659	65	0	0	15	50	0
Precinct 9236 - Vote By Mail	131	659	204	0	0	73	131	0
Precinct 9236	181	659	269	0	0	88	181	0
Precinct 9237 - Election Day	68	874	86	0	0	18	68	0
Precinct 9237 - Vote By Mail	179	874	266	0	0	87	179	0
Precinct 9237	247	874	352	0	0	105	247	0
Precinct 9238/9246 - Election Day	122	1,769	161	0	0	39	122	0
Precinct 9238/9246 - Vote By Mail	376	1,769	526	0	0	150	376	0
Precinct 9238/9246	498	1,769	687	0	0	189	498	0
Precinct 9239 - Election Day	64	866	78	0	1	13	64	0
Precinct 9239 - Vote By Mail	197	866	288	0	0	91	197	0
Precinct 9239	261	866	366	0	1	104	261	0
Precinct 9241 - Election Day	74	968	95	0	0	21	74	0
Precinct 9241 - Vote By Mail	211	968	282	0	0	71	211	0
Precinct 9241	285	968	377	0	0	92	285	0
Precinct 9242/9247 - Election Day	116	1,845	158	0	0	42	116	0
Precinct 9242/9247 - Vote By Mail	374	1,845	509	0	0	135	374	0
Precinct 9242/9247	490	1,845	667	0	0	177	490	0
Precinct 9244 - Election Day	88	881	99	0	0	11	88	0
Precinct 9244 - Vote By Mail	160	881	226	0	0	66	160	0
Precinct 9244	248	881	325	0	0	77	248	0
Precinct 9245/7206 - Election Day	101	1,081	131	0	0	30	101	0
Precinct 9245/7206 - Vote By Mail	204	1,081	278	0	0	74	204	0
Precinct 9245/7206	305	1,081	409	0	0	104	305	0
Precinct 9248 - Election Day	68	870	88	0	0	20	68	0
Precinct 9248 - Vote By Mail	166	870	243	0	0	77	166	0
Precinct 9248	234	870	331	0	0	97	234	0
Precinct 9251/9249 - Election Day	212	1,887	283	0	0	71	212	0
Precinct 9251/9249 - Vote By Mail	405	1,887	559	0	0	154	405	0
Precinct 9251/9249	617	1,887	842	0	0	225	617	0
Precinct 9252 - Election Day	69	918	83	0	0	14	69	0
Precinct 9252 - Vote By Mail	194	918	286	0	0	92	194	0
Precinct 9252	263	918	369	0	0	106	263	0
Precinct 9253 - Election Day	77	752	103	0	0	26	77	0
Precinct 9253 - Vote By Mail	174	752	238	0	0	64	174	0
Precinct 9253	251	752	341	0	0	90	251	0
Precinct 9255/9258 - Election Day	136	1,236	168	0	0	32	136	0
Precinct 9255/9258 - Vote By Mail	268	1,236	351	0	0	83	268	0
Precinct 9255/9258	404	1,236	519	0	0	115	404	0
Precinct 9256/9254 - Election Day	129	1,373	150	0	0	21	129	0
Precinct 9256/9254 - Vote By Mail	299	1,373	408	0	0	109	299	0
Precinct 9256/9254	428	1,373	558	0	0	130	428	0
Precinct 9257 MB - Election Day	2	311	3	0	0	1	2	0
Precinct 9257 MB - Vote By Mail	98	311	124	0	0	26	98	0
Precinct 9257 MB	100	311	127	0	0	27	100	0
Precinct 9401 - Election Day	129	1,015	159	0	0	30	129	0
Precinct 9401 - Vote By Mail	202	1,015	259	0	0	57	202	0
Precinct 9401	331	1,015	418	0	0	87	331	0
Precinct 9402 - Election Day	111	988	148	0	0	37	111	0
Precinct 9402 - Vote By Mail	213	988	287	0	0	74	213	0
Precinct 9402	324	988	435	0	0	111	324	0
Precinct 9404/9403 - Election Day	158	1,814	207	0	0	49	158	0
Precinct 9404/9403 - Vote By Mail	376	1,814	502	0	0	126	376	0
Precinct 9404/9403	534	1,814	709	0	0	175	534	0
Precinct 9405 - Election Day	89	770	113	0	0	24	89	0
Precinct 9405 - Vote By Mail	170	770	224	0	0	54	170	0
Precinct 9405	259	770	337	0	0	78	259	0
Precinct 9406 - Election Day	97	873	133	0	0	36	97	0
Precinct 9406 - Vote By Mail	171	873	225	0	0	54	171	0
Precinct 9406	268	873	358	0	0	90	268	0
Precinct 9407 - Election Day	96	887	126	0	0	30	96	0
Precinct 9407 - Vote By Mail	188	887	242	0	0	54	188	0
Precinct 9407	284	887	368	0	0	84	284	0
Precinct 9408 - Election Day	95	834	129	0	0	34	95	0
Precinct 9408 - Vote By Mail	164	834	204	0	1	39	164	0
Precinct 9408	259	834	333	0	1	73	259	0
Precinct 9409 - Election Day	82	591	105	0	0	23	82	0
Precinct 9409 - Vote By Mail	110	591	133	0	0	23	110	0
Precinct 9409	192	591	238	0	0	46	192	0
Precinct 9411/9412 - Election Day	205	1,842	255	0	0	50	205	0
Precinct 9411/9412 - Vote By Mail	388	1,842	523	0	0	135	388	0
Precinct 9411/9412	593	1,842	778	0	0	185	593	0
Precinct 9413 - Election Day	79	920	102	0	0	23	79	0
Precinct 9413 - Vote By Mail	186	920	281	0	0	95	186	0
Precinct 9413	265	920	383	0	0	118	265	0
Precinct 9415 - Election Day	65	779	79	0	0	14	65	0
Precinct 9415 - Vote By Mail	194	779	255	0	0	61	194	0
Precinct 9415	259	779	334	0	0	75	259	0
Precinct 9416 - Election Day	126	988	152	0	0	26	126	0
Precinct 9416 - Vote By Mail	213	988	279	0	0	66	213	0
Precinct 9416	339	988	431	0	0	92	339	0
Precinct 9418/9417 - Election Day	170	1,561	201	0	0	31	170	0
Precinct 9418/9417 - Vote By Mail	375	1,561	514	0	0	139	375	0
Precinct 9418/9417	545	1,561	715	0	0	170	545	0
Precinct 9419/9414 - Election Day	125	1,790	174	0	0	49	125	0
Precinct 9419/9414 - Vote By Mail	413	1,790	586	0	1	172	413	0
Precinct 9419/9414	538	1,790	760	0	1	221	538	0
Precinct 9421 - Election Day	57	917	94	0	0	37	57	0
Precinct 9421 - Vote By Mail	201	917	283	0	0	82	201	0
Precinct 9421	258	917	377	0	0	119	258	0
Precinct 9422 - Election Day	110	1,068	138	0	0	28	110	0
Precinct 9422 - Vote By Mail	265	1,068	330	0	0	65	265	0
Precinct 9422	375	1,068	468	0	0	93	375	0
Precinct 9423 - Election Day	70	906	88	0	0	18	70	0
Precinct 9423 - Vote By Mail	219	906	264	0	1	44	219	0
Precinct 9423	289	906	352	0	1	62	289	0
Precinct 9424/9425 - Election Day	131	1,949	182	0	0	51	131	0
Precinct 9424/9425 - Vote By Mail	501	1,949	637	0	0	136	501	0
Precinct 9424/9425	632	1,949	819	0	0	187	632	0
Precinct 9426 - Election Day	60	832	83	0	0	23	60	0
Precinct 9426 - Vote By Mail	172	832	264	0	0	92	172	0
Precinct 9426	232	832	347	0	0	115	232	0
Precinct 9427 - Election Day	92	964	116	0	0	24	92	0
Precinct 9427 - Vote By Mail	221	964	285	0	0	64	221	0
Precinct 9427	313	964	401	0	0	88	313	0
Precinct 9431/9429 - Election Day	168	1,914	218	0	0	50	168	0
Precinct 9431/9429 - Vote By Mail	449	1,914	588	0	0	139	449	0
Precinct 9431/9429	617	1,914	806	0	0	189	617	0
Precinct 9432 - Election Day	82	943	100	0	0	18	82	0
Precinct 9432 - Vote By Mail	203	943	268	0	0	65	203	0
Precinct 9432	285	943	368	0	0	83	285	0
Precinct 9433/9428 - Election Day	119	1,923	152	0	0	33	119	0
Precinct 9433/9428 - Vote By Mail	450	1,923	609	0	1	158	450	0
Precinct 9433/9428	569	1,923	761	0	1	191	569	0
Precinct 9434 - Election Day	88	982	118	0	0	30	88	0
Precinct 9434 - Vote By Mail	212	982	297	0	0	85	212	0
Precinct 9434	300	982	415	0	0	115	300	0
Precinct 9436 - Election Day	91	1,057	123	0	0	32	91	0
Precinct 9436 - Vote By Mail	258	1,057	325	0	0	67	258	0
Precinct 9436	349	1,057	448	0	0	99	349	0
Precinct 9437 - Election Day	74	908	95	0	0	21	74	0
Precinct 9437 - Vote By Mail	194	908	281	0	0	87	194	0
Precinct 9437	268	908	376	0	0	108	268	0
Precinct 9439/9438 - Election Day	126	1,863	163	0	0	37	126	0
Precinct 9439/9438 - Vote By Mail	443	1,863	598	0	0	155	443	0
Precinct 9439/9438	569	1,863	761	0	0	192	569	0
Precinct 9441 - Election Day	95	985	118	0	0	23	95	0
Precinct 9441 - Vote By Mail	223	985	316	0	0	93	223	0
Precinct 9441	318	985	434	0	0	116	318	0
Precinct 9442/9435 - Election Day	189	2,015	249	0	0	60	189	0
Precinct 9442/9435 - Vote By Mail	423	2,015	565	0	0	142	423	0
Precinct 9442/9435	612	2,015	814	0	0	202	612	0
Precinct 9443/9444 - Election Day	143	1,908	176	0	0	33	143	0
Precinct 9443/9444 - Vote By Mail	428	1,908	561	0	0	133	428	0
Precinct 9443/9444	571	1,908	737	0	0	166	571	0
Precinct 9445 - Election Day	62	971	92	0	0	30	62	0
Precinct 9445 - Vote By Mail	236	971	306	0	0	70	236	0
Precinct 9445	298	971	398	0	0	100	298	0
Precinct 9446/9452 - Election Day	178	1,940	230	0	0	52	178	0
Precinct 9446/9452 - Vote By Mail	439	1,940	621	0	0	182	439	0
Precinct 9446/9452	617	1,940	851	0	0	234	617	0
Precinct 9447 - Election Day	97	889	122	0	0	25	97	0
Precinct 9447 - Vote By Mail	199	889	275	0	0	76	199	0
Precinct 9447	296	889	397	0	0	101	296	0
Precinct 9448 - Election Day	84	936	105	0	0	21	84	0
Precinct 9448 - Vote By Mail	190	936	265	0	0	75	190	0
Precinct 9448	274	936	370	0	0	96	274	0
Precinct 9449 - Election Day	72	862	86	0	0	14	72	0
Precinct 9449 - Vote By Mail	194	862	274	0	2	78	194	0
Precinct 9449	266	862	360	0	2	92	266	0
Precinct 9451 - Election Day	31	437	41	0	0	10	31	0
Precinct 9451 - Vote By Mail	95	437	144	0	0	49	95	0
Precinct 9451	126	437	185	0	0	59	126	0
Precinct 9453 - Election Day	44	520	57	0	0	13	44	0
Precinct 9453 - Vote By Mail	135	520	166	0	0	31	135	0
Precinct 9453	179	520	223	0	0	44	179	0
Precinct 9501 MB - Election Day	1	147	2	0	0	1	1	0
Precinct 9501 MB - Vote By Mail	50	147	69	0	0	19	50	0
Precinct 9501 MB	51	147	71	0	0	20	51	0
Precinct 9502 MB - Election Day	5	253	5	0	0	0	5	0
Precinct 9502 MB - Vote By Mail	85	253	104	0	0	19	85	0
Precinct 9502 MB	90	253	109	0	0	19	90	0
Precinct 9503/9504 - Election Day	73	667	86	0	0	13	73	0
Precinct 9503/9504 - Vote By Mail	132	667	175	0	1	42	132	0
Precinct 9503/9504	205	667	261	0	1	55	205	0
Precinct 9505 - Election Day	88	760	115	0	0	27	88	0
Precinct 9505 - Vote By Mail	202	760	246	0	0	44	202	0
Precinct 9505	290	760	361	0	0	71	290	0
Precinct 9506 - Election Day	72	750	95	0	0	23	72	0
Precinct 9506 - Vote By Mail	146	750	186	0	0	40	146	0
Precinct 9506	218	750	281	0	0	63	218	0
Precinct 9507 - Election Day	103	713	122	0	0	19	103	0
Precinct 9507 - Vote By Mail	152	713	210	0	0	58	152	0
Precinct 9507	255	713	332	0	0	77	255	0
Precinct 9511/9509 - Election Day	167	1,314	228	0	0	61	167	0
Precinct 9511/9509 - Vote By Mail	281	1,314	382	0	0	101	281	0
Precinct 9511/9509	448	1,314	610	0	0	162	448	0
Precinct 9512/9508 - Election Day	186	1,544	231	0	0	45	186	0
Precinct 9512/9508 - Vote By Mail	380	1,544	489	0	1	108	380	0
Precinct 9512/9508	566	1,544	720	0	1	153	566	0
Precinct 9513 - Election Day	130	872	161	0	0	31	130	0
Precinct 9513 - Vote By Mail	190	872	243	0	0	53	190	0
Precinct 9513	320	872	404	0	0	84	320	0
Precinct 9514/9522 - Election Day	127	888	157	0	0	30	127	0
Precinct 9514/9522 - Vote By Mail	205	888	270	0	0	65	205	0
Precinct 9514/9522	332	888	427	0	0	95	332	0
Precinct 9516/9515 - Election Day	214	1,579	275	0	0	61	214	0
Precinct 9516/9515 - Vote By Mail	372	1,579	486	0	0	114	372	0
Precinct 9516/9515	586	1,579	761	0	0	175	586	0
Precinct 9517/9518 - Election Day	215	1,554	252	0	0	37	215	0
Precinct 9517/9518 - Vote By Mail	379	1,554	484	0	0	105	379	0
Precinct 9517/9518	594	1,554	736	0	0	142	594	0
Precinct 9519 - Election Day	109	882	148	0	0	39	109	0
Precinct 9519 - Vote By Mail	234	882	305	0	0	71	234	0
Precinct 9519	343	882	453	0	0	110	343	0
Precinct 9521 - Election Day	140	870	182	0	0	42	140	0
Precinct 9521 - Vote By Mail	221	870	295	0	0	74	221	0
Precinct 9521	361	870	477	0	0	116	361	0
Precinct 9701 - Election Day	98	652	122	0	0	24	98	0
Precinct 9701 - Vote By Mail	136	652	183	0	0	47	136	0
Precinct 9701	234	652	305	0	0	71	234	0
Precinct 9702 - Election Day	97	709	121	0	0	24	97	0
Precinct 9702 - Vote By Mail	153	709	210	0	0	57	153	0
Precinct 9702	250	709	331	0	0	81	250	0
Precinct 9703 - Election Day	103	981	120	0	0	17	103	0
Precinct 9703 - Vote By Mail	257	981	330	0	0	73	257	0
Precinct 9703	360	981	450	0	0	90	360	0
Precinct 9704 - Election Day	105	946	133	0	0	28	105	0
Precinct 9704 - Vote By Mail	257	946	337	0	0	80	257	0
Precinct 9704	362	946	470	0	0	108	362	0
Precinct 9705/9708 - Election Day	229	1,865	274	0	0	45	229	0
Precinct 9705/9708 - Vote By Mail	480	1,865	610	0	0	130	480	0
Precinct 9705/9708	709	1,865	884	0	0	175	709	0
Precinct 9706 MB - Election Day	0	48	0	0	0	0	0	0
Precinct 9706 MB - Vote By Mail	17	48	20	0	0	3	17	0
Precinct 9706 MB	17	48	20	0	0	3	17	0
Precinct 9709 - Election Day	81	1,021	108	0	0	27	81	0
Precinct 9709 - Vote By Mail	251	1,021	338	0	0	87	251	0
Precinct 9709	332	1,021	446	0	0	114	332	0
Precinct 9711/9707 - Election Day	174	1,433	222	0	0	48	174	0
Precinct 9711/9707 - Vote By Mail	403	1,433	529	0	0	126	403	0
Precinct 9711/9707	577	1,433	751	0	0	174	577	0
Precinct 9712/9715 - Election Day	155	1,237	190	0	0	35	155	0
Precinct 9712/9715 - Vote By Mail	326	1,237	463	0	0	137	326	0
Precinct 9712/9715	481	1,237	653	0	0	172	481	0
Precinct 9716 - Election Day	97	951	134	0	0	37	97	0
Precinct 9716 - Vote By Mail	240	951	324	0	0	84	240	0
Precinct 9716	337	951	458	0	0	121	337	0
Precinct 9717/9713 - Election Day	176	1,917	224	0	0	48	176	0
Precinct 9717/9713 - Vote By Mail	466	1,917	611	0	0	145	466	0
Precinct 9717/9713	642	1,917	835	0	0	193	642	0
Precinct 9718/9714 - Election Day	216	1,833	277	0	0	61	216	0
Precinct 9718/9714 - Vote By Mail	509	1,833	703	0	0	194	509	0
Precinct 9718/9714	725	1,833	980	0	0	255	725	0
Precinct 9719 - Election Day	96	910	135	0	0	39	96	0
Precinct 9719 - Vote By Mail	242	910	349	0	0	107	242	0
Precinct 9719	338	910	484	0	0	146	338	0
Precinct 9721 - Election Day	103	660	128	0	0	25	103	0
Precinct 9721 - Vote By Mail	183	660	251	0	0	68	183	0
Precinct 9721	286	660	379	0	0	93	286	0
Precinct 9722 - Election Day	51	587	70	0	0	19	51	0
Precinct 9722 - Vote By Mail	190	587	245	0	0	55	190	0
Precinct 9722	241	587	315	0	0	74	241	0
Precinct 9723 - Election Day	30	505	38	0	0	8	30	0
Precinct 9723 - Vote By Mail	140	505	186	0	0	46	140	0
Precinct 9723	170	505	224	0	0	54	170	0
Precinct 9724 - Election Day	76	1,003	100	0	0	24	76	0
Precinct 9724 - Vote By Mail	261	1,003	380	0	0	119	261	0
Precinct 9724	337	1,003	480	0	0	143	337	0
Precinct 9725 - Election Day	61	965	88	0	0	27	61	0
Precinct 9725 - Vote By Mail	236	965	325	0	0	89	236	0
Precinct 9725	297	965	413	0	0	116	297	0
Precinct 9726 - Election Day	63	621	74	0	0	11	63	0
Precinct 9726 - Vote By Mail	104	621	127	0	0	23	104	0
Precinct 9726	167	621	201	0	0	34	167	0
Precinct 9727 - Election Day	42	453	51	0	0	9	42	0
Precinct 9727 - Vote By Mail	121	453	163	0	0	42	121	0
Precinct 9727	163	453	214	0	0	51	163	0
Precinct 9728/9746 - Election Day	214	1,829	272	0	0	58	214	0
Precinct 9728/9746 - Vote By Mail	447	1,829	616	0	0	169	447	0
Precinct 9728/9746	661	1,829	888	0	0	227	661	0
Precinct 9729 - Election Day	83	809	105	0	0	22	83	0
Precinct 9729 - Vote By Mail	230	809	316	0	0	86	230	0
Precinct 9729	313	809	421	0	0	108	313	0
Precinct 9731 - Election Day	67	572	77	0	0	10	67	0
Precinct 9731 - Vote By Mail	134	572	190	0	0	56	134	0
Precinct 9731	201	572	267	0	0	66	201	0
